Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
LLBS,"1,325.00","1,325.00","1,288.00","1,472.00","1,304.00","1,348.00","1,931,283.20",10-08-2022
LLBS,"1,325.00","1,325.00","1,288.00","1,472.00","1,304.00","1,348.00","1,931,283.20",10-08-2022
LLBS,"1,278.00","1,305.00","1,255.00","2,265.00","1,255.00","1,304.00","2,859,926.00",11-08-2022
LLBS,"1,278.00","1,305.00","1,255.00","2,265.00","1,255.00","1,304.00","2,859,926.00",12-08-2022
LLBS,"1,278.00","1,305.00","1,255.00","2,265.00","1,255.00","1,304.00","2,859,926.00",13-08-2022
LLBS,"1,280.00","1,280.00","1,239.00",473.00,"1,239.00","1,255.00","593,531.00",14-08-2022
LLBS,"1,260.00","1,285.00","1,238.00","2,231.00","1,280.00","1,239.00","2,795,363.00",15-08-2022
LLBS,"1,304.00","1,304.00","1,252.50","1,173.00","1,258.00","1,280.00","1,483,168.00",16-08-2022
LLBS,"1,250.00","1,275.00","1,250.00","1,141.00","1,260.00","1,258.00","1,440,968.00",17-08-2022
LLBS,"1,284.00","1,310.00","1,271.50","1,263.00","1,305.00","1,260.00","1,629,794.00",18-08-2022
LLBS,"1,284.00","1,310.00","1,271.50","1,263.00","1,305.00","1,260.00","1,629,794.00",19-08-2022
LLBS,"1,284.00","1,310.00","1,271.50","1,263.00","1,305.00","1,260.00","1,629,794.00",20-08-2022
LLBS,"1,325.00","1,325.00","1,272.60","1,297.00","1,280.00","1,305.00","1,670,531.60",21-08-2022
