Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
LVF2,9.7,9.75,9.7,820.0,9.75,10.0,"7,960.00",06-07-2026
LVF2,9.75,10.0,9.75,"26,300.00",10.0,9.75,"262,763.00",07-07-2026
LVF2,9.71,10.05,9.71,"31,733.00",10.0,10.0,"317,812.08",08-07-2026
LVF2,9.7,10.0,9.7,"21,800.00",9.95,10.0,"217,889.00",09-07-2026
LVF2,9.75,9.8,9.75,700.00,9.75,9.95,"6,835.00",10-07-2026
LVF2,9.76,9.77,9.76,700.00,9.77,9.75,"6,835.00",13-07-2026
LVF2,9.76,10.0,9.72,"1,600.00",10.0,9.77,"15,773.00",14-07-2026
LVF2,10.0,10.05,9.95,"10,850.00",9.95,10.0,"108,467.50",15-07-2026
LVF2,9.75,9.77,9.75,"12,500.00",9.77,9.95,"122,023.00",16-07-2026
LVF2,9.7,10.0,9.7,900.00,10.0,9.77,"8,841.00",17-07-2026
LVF2,9.8,9.81,9.8,"1,500.00",9.81,10.0,"14,714.00",20-07-2026
LVF2,9.85,10.02,9.80,"7,720.00",9.88,9.81,"77,117.80",21-07-2026
