Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MATRI,888.0,903.0,862.1,314.0,865.1,888.0,"274,771.20",06-07-2026
MATRI,870.0,875.0,865.2,148.0,865.2,865.1,"128,905.20",07-07-2026
MATRI,865.3,865.3,839.3,"1,474.00",840.0,865.2,"1,243,084.40",08-07-2026
MATRI,824.1,828.0,824.1,333.00,826.0,840.0,"275,155.30",09-07-2026
MATRI,825.0,839.5,818.3,381.00,820.1,826.0,"313,715.30",10-07-2026
MATRI,837.5,837.5,813.0,278.00,813.0,820.1,"228,495.50",13-07-2026
MATRI,815.0,815.0,790.0,674.00,815.0,813.0,"541,635.40",14-07-2026
MATRI,818.0,818.0,815.2,21.00,815.2,815.0,"17,147.20",15-07-2026
MATRI,808.1,839.0,808.1,289.00,839.0,815.2,"240,121.60",16-07-2026
MATRI,840.0,874.0,840.0,152.00,874.0,839.0,"131,686.00",17-07-2026
MATRI,851.0,889.9,840.0,"1,550.00",865.0,874.0,"1,321,444.00",20-07-2026
MATRI,889.9,889.9,862.2,"1,130.00",865.0,865.0,"977,303.00",21-07-2026
MATRI,890.2,890.9,786.3,"2,579.00",874.0,865.0,"2,179,561.60",22-07-2026
MATRI,848.5,864.9,828.0,768.00,864.0,874.0,"648,903.00",23-07-2026
MATRI,828.0,845.0,828.0,529.00,845.0,843.0,"441,802.20",27-07-2026
MATRI,820.3,869.9,820.2,237.00,859.0,845.0,"201,095.30",28-07-2026
MATRI,834.5,865.0,820.0,"1,200.00",820.0,859.0,"1,002,233.20",29-07-2026
MATRI,820.0,844.6,820.0,346.00,829.9,820.0,"287,525.60",30-07-2026
MATRI,810.20,834.50,810.20,326.00,830.00,829.90,"268,065.50",31-07-2026
