Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MBJC,251.0,257.0,242.0,"18,208.00",248.0,251.0,"4,508,642.50",10-08-2022
MBJC,251.0,257.0,242.0,"18,208.00",248.0,251.0,"4,508,642.50",10-08-2022
MBJC,244.0,259.0,243.0,"15,263.00",243.2,248.0,"3,746,118.90",11-08-2022
MBJC,244.0,259.0,243.0,"15,263.00",243.2,248.0,"3,746,118.90",12-08-2022
MBJC,244.0,259.0,243.0,"15,263.00",243.2,248.0,"3,746,118.90",13-08-2022
MBJC,239.0,248.0,239.0,"11,878.00",239.1,243.2,"2,859,223.80",14-08-2022
MBJC,235.2,255.0,235.2,"19,386.00",255.0,239.1,"4,767,642.20",15-08-2022
MBJC,255.0,262.0,245.2,"32,219.00",247.0,255.0,"8,105,682.90",16-08-2022
MBJC,242.3,255.0,242.2,"11,235.00",248.0,247.0,"2,767,669.50",17-08-2022
MBJC,244.0,255.0,244.0,"17,334.00",253.0,248.0,"4,355,146.60",18-08-2022
MBJC,244.0,255.0,244.0,"17,334.00",253.0,248.0,"4,355,146.60",19-08-2022
MBJC,244.0,255.0,244.0,"17,334.00",253.0,248.0,"4,355,146.60",20-08-2022
MBJC,253.0,257.2,243.0,"19,342.00",247.8,253.0,"4,833,124.50",21-08-2022
MBJC,245.1,249.0,243.0,"8,872.00",243.0,247.8,"2,180,146.50",22-08-2022
MBJC,240.0,246.0,240.0,"14,525.00",245.0,243.0,"3,549,234.80",23-08-2022
MBJC,240.2,258.9,240.2,"9,335.00",245.0,245.0,"2,288,018.00",24-08-2022
MBJC,240.5,249.9,240.5,"18,213.00",244.3,245.0,"4,488,125.30",25-08-2022
MBJC,240.3,242.0,236.5,"9,508.00",238.9,244.3,"2,282,046.80",26-08-2022
MBJC,240.3,242.0,236.5,"9,508.00",238.9,244.3,"2,282,046.80",27-08-2022
MBJC,236.0,241.7,231.9,"14,819.00",233.0,238.9,"3,473,507.90",28-08-2022
MBJC,228.4,237.5,223.6,"17,662.00",233.9,233.0,"4,034,436.00",29-08-2022
MBJC,230.0,242.0,229.4,"12,197.00",231.1,233.9,"2,860,209.50",30-08-2022
MBJC,228.0,232.6,225.0,"13,172.00",225.1,231.1,"2,988,780.80",31-08-2022
MBJC,224.9,230.0,222.0,"13,432.00",227.0,225.1,"3,021,462.80",01-09-2022
MBJC,224.0,232.5,224.0,"5,099.00",229.0,227.0,"1,161,839.00",02-09-2022
MBJC,224.0,232.5,224.0,"5,099.00",229.0,227.0,"1,161,839.00",03-09-2022
MBJC,225.0,235.0,225.0,"11,132.00",233.0,229.0,"2,576,992.60",04-09-2022
MBJC,233.0,238.0,228.4,"12,364.00",232.0,233.0,"2,904,259.80",05-09-2022
MBJC,228.6,233.0,225.5,"10,570.00",226.0,232.0,"2,422,606.80",06-09-2022
MBJC,226.0,233.5,222.0,"5,801.00",226.0,226.0,"1,298,048.50",07-09-2022
MBJC,222.0,230.0,220.1,"6,856.00",228.0,226.0,"1,545,352.90",08-09-2022
MBJC,222.0,230.0,220.1,"6,856.00",228.0,226.0,"1,545,352.90",09-09-2022
MBJC,222.0,230.0,220.1,"6,856.00",228.0,226.0,"1,545,352.90",10-09-2022
MBJC,224.0,228.0,221.0,"7,524.00",222.1,228.0,"1,684,683.60",11-09-2022
MBJC,218.1,231.0,218.1,"5,972.00",219.2,222.1,"1,316,177.70",12-09-2022
MBJC,215.1,225.0,215.1,"5,866.00",225.0,219.2,"1,305,491.40",13-09-2022
MBJC,221.0,241.1,219.0,"11,146.00",238.0,225.0,"2,586,267.00",14-09-2022
MBJC,242.0,242.0,221.0,"19,976.00",223.0,238.0,"4,513,606.20",15-09-2022
MBJC,218.6,222.0,212.2,"8,105.00",219.8,223.0,"1,764,579.20",16-09-2022
MBJC,218.6,222.0,212.2,"8,105.00",219.8,223.0,"1,764,579.20",17-09-2022
MBJC,219.8,219.8,211.0,"10,878.00",214.0,219.8,"2,324,261.30",18-09-2022
MBJC,219.8,219.8,211.0,"10,878.00",214.0,219.8,"2,324,261.30",19-09-2022
MBJC,210.0,210.0,204.1,"18,504.00",208.0,214.0,"3,837,340.60",20-09-2022
MBJC,208.0,212.1,206.1,"3,978.00",208.5,208.0,"834,434.20",21-09-2022
MBJC,205.0,209.0,202.0,"4,641.00",205.2,208.5,"952,846.50",22-09-2022
MBJC,205.0,209.0,202.0,"4,641.00",205.2,208.5,"952,846.50",23-09-2022
MBJC,205.0,209.0,202.0,"4,641.00",205.2,208.5,"952,846.50",24-09-2022
MBJC,202.0,203.0,198.5,"7,652.00",198.5,205.2,"1,527,330.40",25-09-2022
MBJC,202.0,203.0,198.5,"7,652.00",198.5,205.2,"1,527,330.40",26-09-2022
MBJC,198.0,204.0,197.0,"5,148.00",200.8,198.5,"1,032,679.90",27-09-2022
MBJC,200.0,205.0,200.0,"3,127.00",203.0,200.8,"632,928.70",28-09-2022
MBJC,200.0,208.0,200.0,"5,834.00",205.0,203.0,"1,197,722.70",29-09-2022
MBJC,200.0,208.0,200.0,"5,834.00",205.0,203.0,"1,197,722.70",30-09-2022
