Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MFLD85,"1,101.70","1,101.70","1,101.70",15.0,"1,101.70","1,115.00","16,525.50",07-07-2026
MFLD85,"1,102.00","1,103.10","1,102.00",50.0,"1,103.10","1,101.70","55,127.50",08-07-2026
MFLD85,"1,090.30","1,090.30","1,090.30",25.0,"1,090.30","1,103.10","27,257.50",13-07-2026
MFLD85,"1,090.30","1,155.50","1,090.30",182.0,"1,155.50","1,090.30","206,287.70",15-07-2026
MFLD85,"1,180.00","1,180.00","1,180.00",25.0,"1,187.50","1,155.50","29,537.50",16-07-2026
MFLD85,"1,151.90","1,151.90","1,116.00",176.0,"1,116.00","1,187.50","201,787.50",05-08-2026
MFLD85,"1,085.00","1,085.00","1,085.00",25.0,"1,085.00","1,116.00","27,125.00",19-08-2026
MFLD85,"1,085.00","1,085.00","1,085.00",100.0,"1,085.00","1,085.00","108,500.00",20-08-2026
MFLD85,"1,075.90","1,075.90","1,075.90",50.0,"1,075.90","1,085.00","53,795.00",25-08-2026
MFLD85,"1,104.00","1,105.00","1,104.00",310.0,"1,105.00","1,075.90","342,525.00",26-08-2026
MFLD85,"1,105.00","1,105.00","1,105.00",90.0,"1,105.00","1,105.00","99,450.00",31-08-2026
MFLD85,"1,105.00","1,105.00","1,105.00",75.0,"1,105.00","1,105.00","82,875.00",03-09-2026
MFLD85,"1,090.00","1,105.00","1,090.00",245.0,"1,105.00","1,105.00","267,725.00",09-09-2026
MFLD85,"1,100.00","1,102.00","1,100.00",75.0,"1,102.00","1,105.00","82,550.00",10-09-2026
MFLD85,"1,105.00","1,105.00","1,105.00",25.00,"1,105.00","1,102.00","27,625.00",11-09-2026
