Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MHNL,299.8,301.0,290.0,"20,875.00",296.2,294.0,"6,156,770.20",10-08-2022
MHNL,299.8,301.0,290.0,"20,875.00",296.2,294.0,"6,156,770.20",10-08-2022
MHNL,296.0,308.0,285.0,"35,143.00",287.0,296.2,"10,258,538.50",11-08-2022
MHNL,296.0,308.0,285.0,"35,143.00",287.0,296.2,"10,258,538.50",12-08-2022
MHNL,296.0,308.0,285.0,"35,143.00",287.0,296.2,"10,258,538.50",13-08-2022
MHNL,292.7,298.0,284.0,"42,607.00",289.0,287.0,"12,414,930.30",14-08-2022
MHNL,292.7,306.0,291.2,"39,183.00",303.0,289.0,"11,677,801.30",15-08-2022
MHNL,303.0,307.0,290.2,"39,644.00",291.0,303.0,"11,822,053.30",16-08-2022
MHNL,291.1,306.0,291.0,"44,158.00",295.0,291.0,"13,083,883.10",17-08-2022
MHNL,299.0,308.0,296.3,"37,304.00",303.2,295.0,"11,315,189.80",18-08-2022
MHNL,299.0,308.0,296.3,"37,304.00",303.2,295.0,"11,315,189.80",19-08-2022
MHNL,299.0,308.0,296.3,"37,304.00",303.2,295.0,"11,315,189.80",20-08-2022
MHNL,307.0,310.9,295.4,"42,262.00",297.6,303.2,"12,834,199.80",21-08-2022
MHNL,300.0,302.0,295.0,"24,479.00",296.8,297.6,"7,290,298.80",22-08-2022
MHNL,298.9,300.0,292.1,"23,901.00",297.0,296.8,"7,055,841.10",23-08-2022
MHNL,297.0,300.0,290.0,"34,490.00",296.8,297.0,"10,093,461.40",24-08-2022
MHNL,299.9,299.9,286.2,"28,858.00",291.9,296.8,"8,408,895.00",25-08-2022
MHNL,286.4,290.0,280.7,"20,464.00",282.1,291.9,"5,814,241.10",26-08-2022
MHNL,286.4,290.0,280.7,"20,464.00",282.1,291.9,"5,814,241.10",27-08-2022
MHNL,280.0,282.0,268.0,"30,202.00",268.0,282.1,"8,235,137.70",28-08-2022
MHNL,267.0,274.0,267.0,"12,368.00",272.0,268.0,"3,348,292.00",29-08-2022
MHNL,274.9,275.0,268.0,"11,105.00",270.0,272.0,"2,996,031.80",30-08-2022
MHNL,270.0,273.0,262.0,"9,427.00",262.0,270.0,"2,515,885.00",31-08-2022
MHNL,261.0,270.2,260.7,"19,947.00",262.2,262.0,"5,272,234.20",01-09-2022
MHNL,266.0,267.0,260.0,"7,480.00",265.0,262.2,"1,971,499.00",02-09-2022
MHNL,266.0,267.0,260.0,"7,480.00",265.0,262.2,"1,971,499.00",03-09-2022
MHNL,268.0,273.0,264.2,"4,443.00",272.9,265.0,"1,193,359.50",04-09-2022
MHNL,276.0,276.0,270.2,"7,257.00",270.2,272.9,"1,974,172.50",05-09-2022
MHNL,270.0,270.0,262.8,"10,901.00",263.0,270.2,"2,890,909.40",06-09-2022
MHNL,258.1,261.0,255.1,"6,364.00",261.0,263.0,"1,642,630.30",07-09-2022
MHNL,258.0,266.0,256.3,"8,270.00",264.0,261.0,"2,162,977.00",08-09-2022
MHNL,258.0,266.0,256.3,"8,270.00",264.0,261.0,"2,162,977.00",09-09-2022
MHNL,258.0,266.0,256.3,"8,270.00",264.0,261.0,"2,162,977.00",10-09-2022
MHNL,260.8,265.0,258.0,"4,085.00",260.0,264.0,"1,063,266.00",11-09-2022
MHNL,258.1,258.1,252.0,"6,725.00",255.0,260.0,"1,707,636.00",12-09-2022
MHNL,259.0,263.9,257.0,"8,149.00",261.0,255.0,"2,121,483.00",13-09-2022
MHNL,264.9,280.0,260.0,"19,460.00",275.9,261.0,"5,252,957.80",14-09-2022
MHNL,276.0,276.0,257.1,"37,195.00",264.0,275.9,"9,917,671.50",15-09-2022
MHNL,259.0,259.0,245.0,"21,971.00",256.9,264.0,"5,515,721.90",16-09-2022
MHNL,259.0,259.0,245.0,"21,971.00",256.9,264.0,"5,515,721.90",17-09-2022
MHNL,252.0,255.0,239.3,"19,090.00",240.0,256.9,"4,689,867.40",18-09-2022
MHNL,252.0,255.0,239.3,"19,090.00",240.0,256.9,"4,689,867.40",19-09-2022
MHNL,236.2,237.1,232.0,"9,650.00",234.0,240.0,"2,262,296.00",20-09-2022
MHNL,236.0,242.6,235.0,"7,480.00",236.0,234.0,"1,782,710.00",21-09-2022
MHNL,239.0,239.0,230.0,"5,027.00",232.0,236.0,"1,176,401.00",22-09-2022
MHNL,239.0,239.0,230.0,"5,027.00",232.0,236.0,"1,176,401.00",23-09-2022
MHNL,239.0,239.0,230.0,"5,027.00",232.0,236.0,"1,176,401.00",24-09-2022
MHNL,228.0,234.0,219.0,"7,530.00",222.2,232.0,"1,685,900.50",25-09-2022
MHNL,228.0,234.0,219.0,"7,530.00",222.2,232.0,"1,685,900.50",26-09-2022
MHNL,225.0,235.0,225.0,"14,480.00",228.0,222.2,"3,345,790.00",27-09-2022
MHNL,231.0,235.6,229.2,"5,752.00",229.2,228.0,"1,330,799.00",28-09-2022
MHNL,230.0,230.0,226.0,"11,765.00",229.8,229.2,"2,666,912.60",29-09-2022
MHNL,230.0,230.0,226.0,"11,765.00",229.8,229.2,"2,666,912.60",30-09-2022
MHNL,230.0,230.0,226.0,"11,765.00",229.8,229.2,"2,666,912.60",01-10-2022
MHNL,230.0,230.0,226.0,"11,765.00",229.8,229.2,"2,666,912.60",02-10-2022
