Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MKCL,"1,080.00","1,086.00","1,070.00","1,387.00","1,086.00","1,097.90","1,489,164.50",06-07-2026
MKCL,"1,098.00","1,122.70","1,088.00","2,259.00","1,097.00","1,086.00","2,477,732.60",07-07-2026
MKCL,"1,080.00","1,087.90","1,070.00",960.00,"1,087.90","1,097.00","1,028,826.60",08-07-2026
MKCL,"1,070.00","1,102.00","1,065.00","2,262.00","1,082.00","1,087.90","2,420,869.50",09-07-2026
MKCL,"1,082.00","1,085.00","1,060.00","1,863.00","1,083.00","1,082.00","1,981,609.70",10-07-2026
MKCL,"1,070.00","1,075.00","1,050.60","1,943.00","1,074.00","1,083.00","2,066,545.40",13-07-2026
MKCL,"1,043.00","1,069.00","1,043.00",699.00,"1,065.00","1,074.00","737,846.00",14-07-2026
MKCL,"1,065.00","1,080.00","1,053.00","1,581.00","1,070.00","1,065.00","1,695,135.00",15-07-2026
MKCL,"1,070.00","1,101.00","1,050.00","1,594.00","1,101.00","1,070.00","1,706,698.60",16-07-2026
MKCL,"1,110.00","1,124.00","1,100.00","2,010.00","1,119.00","1,101.00","2,240,416.00",17-07-2026
MKCL,"1,090.00","1,150.00","1,090.00","2,110.00","1,149.00","1,119.00","2,407,167.00",20-07-2026
MKCL,"1,136.00","1,185.00","1,136.00","1,669.00","1,164.00","1,149.00","1,958,433.90",21-07-2026
MKCL,"1,160.00","1,163.00","1,130.00","2,479.00","1,160.00","1,164.00","2,814,969.40",22-07-2026
MKCL,"1,160.00","1,179.00","1,131.20","1,005.00","1,141.00","1,160.00","1,149,953.00",23-07-2026
MKCL,"1,152.00","1,180.00","1,144.60","1,293.00","1,158.90","1,180.00","1,488,232.40",27-07-2026
MKCL,"1,124.20","1,149.70","1,110.00","2,878.00","1,139.00","1,158.90","3,228,806.10",28-07-2026
MKCL,"1,157.90","1,158.00","1,112.00",459.00,"1,143.90","1,139.00","512,871.50",29-07-2026
MKCL,"1,150.00","1,150.00","1,110.00",660.00,"1,120.00","1,143.90","737,096.30",30-07-2026
MKCL,"1,100.00","1,124.00","1,100.00","2,255.00","1,120.00","1,120.00","2,506,565.30",31-07-2026
MKCL,"1,100.00","1,125.00","1,091.00","1,754.00","1,105.00","1,120.00","1,933,884.50",03-08-2026
MKCL,"1,105.00","1,105.00","1,072.00","3,493.00","1,080.00","1,105.00","3,758,983.10",04-08-2026
MKCL,"1,054.00","1,080.00","1,052.00","3,781.00","1,075.00","1,080.00","4,003,166.90",05-08-2026
MKCL,"1,075.00","1,083.00","1,058.00","3,386.00","1,062.00","1,075.00","3,596,298.10",06-08-2026
MKCL,"1,041.00","1,075.00","1,041.00","2,299.00","1,075.00","1,062.00","2,439,930.20",07-08-2026
MKCL,"1,050.20","1,060.00","1,050.10",944.00,"1,051.00","1,075.00","995,419.00",10-08-2026
MKCL,"1,042.50","1,082.50","1,042.50","3,179.00","1,064.00","1,051.00","3,370,858.30",11-08-2026
MKCL,"1,060.00","1,060.00","1,041.00","4,366.00","1,050.00","1,064.00","4,592,620.20",12-08-2026
MKCL,"1,050.00","1,060.00","1,046.00",625.00,"1,052.00","1,050.00","655,952.00",13-08-2026
MKCL,"1,046.00","1,050.00",991.00,"4,710.00","1,048.00","1,052.00","4,883,984.00",14-08-2026
MKCL,"1,044.00","1,044.00","1,004.10","2,099.00","1,016.00","1,048.00","2,143,625.80",17-08-2026
