Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MKJC,470.7,497.9,470.7,"3,596.00",480.0,480.1,"1,738,146.40",10-08-2022
MKJC,470.7,497.9,470.7,"3,596.00",480.0,480.1,"1,738,146.40",10-08-2022
MKJC,489.6,489.6,467.1,"5,339.00",467.1,480.0,"2,537,886.30",11-08-2022
MKJC,489.6,489.6,467.1,"5,339.00",467.1,480.0,"2,537,886.30",12-08-2022
MKJC,489.6,489.6,467.1,"5,339.00",467.1,480.0,"2,537,886.30",13-08-2022
MKJC,476.4,485.0,467.0,"1,329.00",475.0,467.1,"631,681.50",14-08-2022
MKJC,470.0,497.9,466.5,"1,700.00",497.9,475.0,"830,580.50",15-08-2022
MKJC,490.0,505.0,478.6,"6,293.00",490.0,497.9,"3,079,598.50",16-08-2022
MKJC,481.0,499.8,472.0,"6,357.00",481.9,490.0,"3,046,216.80",17-08-2022
MKJC,473.0,497.0,473.0,"2,361.00",489.0,481.9,"1,160,323.00",18-08-2022
MKJC,473.0,497.0,473.0,"2,361.00",489.0,481.9,"1,160,323.00",19-08-2022
MKJC,473.0,497.0,473.0,"2,361.00",489.0,481.9,"1,160,323.00",20-08-2022
MKJC,495.0,511.0,484.0,"6,716.00",493.0,489.0,"3,350,638.30",21-08-2022
MKJC,485.0,499.0,484.0,901.00,487.0,493.0,"440,014.50",22-08-2022
MKJC,477.7,500.0,477.7,"16,391.00",498.0,487.0,"7,947,888.50",23-08-2022
MKJC,506.9,507.8,486.9,"5,469.00",498.0,498.0,"2,712,824.40",24-08-2022
MKJC,506.0,507.9,469.0,"7,060.00",469.0,498.0,"3,408,818.00",25-08-2022
MKJC,469.1,486.0,462.0,"3,053.00",463.0,469.0,"1,429,712.50",26-08-2022
MKJC,469.1,486.0,462.0,"3,053.00",463.0,469.0,"1,429,712.50",27-08-2022
MKJC,470.0,491.0,456.0,"7,329.00",469.2,463.0,"3,384,406.10",28-08-2022
MKJC,478.0,506.9,455.9,"10,893.00",496.6,469.2,"5,154,647.90",29-08-2022
MKJC,486.7,487.0,471.0,"6,565.00",484.3,496.6,"3,130,704.00",30-08-2022
MKJC,474.7,493.9,460.0,"3,072.00",490.0,484.3,"1,447,913.00",31-08-2022
MKJC,480.2,480.2,455.3,"8,520.00",472.0,490.0,"3,977,078.80",01-09-2022
MKJC,463.0,466.0,461.0,"5,250.00",464.9,472.0,"2,431,403.00",02-09-2022
MKJC,463.0,466.0,461.0,"5,250.00",464.9,472.0,"2,431,403.00",03-09-2022
MKJC,458.0,500.0,458.0,"3,482.00",459.2,464.9,"1,604,153.10",04-09-2022
MKJC,450.1,503.0,450.1,"8,635.00",493.3,459.2,"4,096,061.80",05-09-2022
MKJC,483.5,533.4,464.0,"15,080.00",475.0,493.3,"7,284,948.90",06-09-2022
MKJC,475.0,503.0,470.1,"8,577.00",486.0,475.0,"4,171,229.40",07-09-2022
MKJC,477.0,490.0,467.8,"8,422.00",482.0,486.0,"3,980,588.40",08-09-2022
MKJC,477.0,490.0,467.8,"8,422.00",482.0,486.0,"3,980,588.40",09-09-2022
MKJC,477.0,490.0,467.8,"8,422.00",482.0,486.0,"3,980,588.40",10-09-2022
MKJC,472.4,509.7,465.4,"17,084.00",504.0,482.0,"8,402,070.90",11-09-2022
MKJC,494.0,494.0,476.1,"3,472.00",490.0,504.0,"1,687,418.20",12-09-2022
MKJC,481.0,528.0,476.0,"11,453.00",528.0,490.0,"5,713,540.50",13-09-2022
MKJC,517.5,517.5,488.0,"30,475.00",514.0,528.0,"15,364,592.40",14-09-2022
MKJC,503.8,506.0,471.0,"11,454.00",484.0,514.0,"5,611,113.70",15-09-2022
MKJC,475.0,475.0,466.0,"6,437.00",474.8,484.0,"3,025,707.00",16-09-2022
MKJC,475.0,475.0,466.0,"6,437.00",474.8,484.0,"3,025,707.00",17-09-2022
MKJC,466.1,470.0,452.3,"7,310.00",453.0,474.8,"3,353,939.00",18-09-2022
MKJC,466.1,470.0,452.3,"7,310.00",453.0,474.8,"3,353,939.00",19-09-2022
MKJC,444.0,444.0,427.4,"4,784.00",433.0,453.0,"2,071,574.90",20-09-2022
MKJC,441.0,456.0,435.0,"2,553.00",449.9,433.0,"1,119,002.40",21-09-2022
MKJC,444.1,445.0,436.1,"1,200.00",441.2,449.9,"530,354.00",22-09-2022
MKJC,444.1,445.0,436.1,"1,200.00",441.2,449.9,"530,354.00",23-09-2022
MKJC,444.1,445.0,436.1,"1,200.00",441.2,449.9,"530,354.00",24-09-2022
MKJC,440.0,440.0,423.8,"3,288.00",434.0,441.2,"1,417,084.40",25-09-2022
