Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MLBBL,"1,254.40","1,291.00","1,254.40",435.0,"1,291.00","1,280.00","553,503.20",10-08-2022
MLBBL,"1,254.40","1,291.00","1,254.40",435.0,"1,291.00","1,280.00","553,503.20",10-08-2022
MLBBL,"1,265.20","1,270.00","1,239.90","6,137.00","1,249.00","1,291.00","7,690,070.10",11-08-2022
MLBBL,"1,265.20","1,270.00","1,239.90","6,137.00","1,249.00","1,291.00","7,690,070.10",12-08-2022
MLBBL,"1,265.20","1,270.00","1,239.90","6,137.00","1,249.00","1,291.00","7,690,070.10",13-08-2022
MLBBL,"1,230.00","1,248.00","1,203.00",718.00,"1,205.00","1,249.00","878,262.20",14-08-2022
MLBBL,"1,229.10","1,242.00","1,195.00",811.00,"1,236.00","1,205.00","978,941.80",15-08-2022
MLBBL,"1,236.00","1,239.00","1,199.60",425.00,"1,224.00","1,236.00","519,040.50",16-08-2022
MLBBL,"1,203.00","1,203.00","1,178.00","1,445.00","1,201.00","1,224.00","1,723,920.50",17-08-2022
MLBBL,"1,224.00","1,235.00","1,211.00",302.00,"1,235.00","1,201.00","369,986.00",18-08-2022
MLBBL,"1,224.00","1,235.00","1,211.00",302.00,"1,235.00","1,201.00","369,986.00",19-08-2022
MLBBL,"1,224.00","1,235.00","1,211.00",302.00,"1,235.00","1,201.00","369,986.00",20-08-2022
MLBBL,"1,212.00","1,284.00","1,205.00","2,055.00","1,205.00","1,235.00","2,510,473.60",21-08-2022
MLBBL,"1,210.00","1,212.00","1,184.00","4,434.00","1,200.00","1,205.00","5,310,042.20",22-08-2022
MLBBL,"1,223.10","1,244.00","1,187.00","1,253.00","1,210.00","1,200.00","1,505,722.40",23-08-2022
MLBBL,"1,190.40","1,195.10","1,190.00",169.00,"1,190.00","1,210.00","201,247.40",24-08-2022
MLBBL,"1,200.00","1,215.00","1,180.00",588.00,"1,180.00","1,190.00","697,776.00",25-08-2022
MLBBL,"1,171.00","1,193.40","1,164.00",152.00,"1,193.40","1,180.00","178,074.00",26-08-2022
MLBBL,"1,171.00","1,193.40","1,164.00",152.00,"1,193.40","1,180.00","178,074.00",27-08-2022
MLBBL,"1,170.00","1,173.00","1,147.00","2,094.00","1,154.00","1,193.40","2,416,740.60",28-08-2022
MLBBL,"1,134.00","1,169.00","1,134.00","1,287.00","1,151.00","1,154.00","1,479,267.00",29-08-2022
MLBBL,"1,170.00","1,170.00","1,155.00",90.00,"1,155.00","1,151.00","104,750.00",30-08-2022
MLBBL,"1,173.00","1,173.00","1,134.00","1,889.00","1,134.00","1,155.00","2,146,865.00",31-08-2022
MLBBL,"1,156.60","1,156.60","1,133.60",132.00,"1,150.00","1,134.00","151,888.00",01-09-2022
MLBBL,"1,154.00","1,155.00","1,154.00",316.00,"1,155.00","1,150.00","364,880.00",02-09-2022
MLBBL,"1,154.00","1,155.00","1,154.00",316.00,"1,155.00","1,150.00","364,880.00",03-09-2022
MLBBL,"1,175.00","1,175.00","1,152.00",573.00,"1,155.00","1,155.00","662,175.00",04-09-2022
MLBBL,"1,138.20","1,151.00","1,132.00",835.00,"1,151.00","1,155.00","947,543.60",05-09-2022
MLBBL,"1,151.00","1,151.00","1,127.00",411.00,"1,127.00","1,151.00","465,028.00",06-09-2022
MLBBL,"1,127.00","1,140.00","1,120.00",184.00,"1,120.00","1,127.00","207,713.80",07-09-2022
MLBBL,"1,112.00","1,150.00","1,112.00","1,290.00","1,140.00","1,120.00","1,445,040.00",08-09-2022
MLBBL,"1,112.00","1,150.00","1,112.00","1,290.00","1,140.00","1,120.00","1,445,040.00",09-09-2022
MLBBL,"1,112.00","1,150.00","1,112.00","1,290.00","1,140.00","1,120.00","1,445,040.00",10-09-2022
MLBBL,"1,122.00","1,122.00","1,105.00",243.00,"1,111.20","1,140.00","269,972.60",11-09-2022
MLBBL,"1,115.00","1,115.00","1,115.00",62.00,"1,115.00","1,111.20","69,130.00",12-09-2022
MLBBL,"1,135.00","1,137.30","1,122.00",315.00,"1,125.00","1,115.00","357,449.60",13-09-2022
MLBBL,"1,147.50","1,170.00","1,128.00",96.00,"1,145.00","1,125.00","110,172.50",14-09-2022
MLBBL,"1,150.00","1,218.00","1,108.00",555.00,"1,130.00","1,145.00","630,401.00",15-09-2022
MLBBL,"1,108.00","1,134.00","1,102.00",104.00,"1,134.00","1,130.00","115,478.00",16-09-2022
MLBBL,"1,108.00","1,134.00","1,102.00",104.00,"1,134.00","1,130.00","115,478.00",17-09-2022
MLBBL,"1,111.50","1,111.80","1,072.00",351.00,"1,072.00","1,134.00","378,616.50",18-09-2022
MLBBL,"1,111.50","1,111.80","1,072.00",351.00,"1,072.00","1,134.00","378,616.50",19-09-2022
