Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MLBL,397.5,400.0,385.2,"80,061.00",395.0,392.2,"31,387,752.80",10-08-2022
MLBL,397.5,400.0,385.2,"80,061.00",395.0,392.2,"31,387,752.80",10-08-2022
MLBL,390.1,402.5,389.0,"54,982.00",389.0,395.0,"21,655,552.40",11-08-2022
MLBL,390.1,402.5,389.0,"54,982.00",389.0,395.0,"21,655,552.40",12-08-2022
MLBL,390.1,402.5,389.0,"54,982.00",389.0,395.0,"21,655,552.40",13-08-2022
MLBL,385.0,396.0,380.0,"53,875.00",384.9,389.0,"20,682,007.90",14-08-2022
MLBL,382.0,403.7,382.0,"69,493.00",402.8,384.9,"27,481,718.20",15-08-2022
MLBL,408.0,412.1,392.2,"145,685.00",393.2,402.8,"58,724,903.80",16-08-2022
MLBL,394.0,403.0,390.0,"55,250.00",394.1,393.2,"21,964,476.40",17-08-2022
MLBL,392.0,410.0,392.0,"66,532.00",408.0,394.1,"26,916,390.40",18-08-2022
MLBL,392.0,410.0,392.0,"66,532.00",408.0,394.1,"26,916,390.40",19-08-2022
MLBL,392.0,410.0,392.0,"66,532.00",408.0,394.1,"26,916,390.40",20-08-2022
MLBL,410.0,414.0,401.1,"58,559.00",402.0,408.0,"23,824,453.60",21-08-2022
MLBL,403.0,405.0,396.5,"36,072.00",397.0,402.0,"14,448,702.40",22-08-2022
MLBL,400.0,404.9,396.0,"23,394.00",399.8,397.0,"9,332,740.50",23-08-2022
MLBL,404.0,404.9,398.0,"35,483.00",399.2,399.8,"14,185,270.80",24-08-2022
MLBL,407.1,407.1,392.0,"35,564.00",393.8,399.2,"14,088,146.40",25-08-2022
MLBL,390.0,392.0,385.0,"34,172.00",389.0,393.8,"13,249,493.70",26-08-2022
MLBL,390.0,392.0,385.0,"34,172.00",389.0,393.8,"13,249,493.70",27-08-2022
MLBL,392.0,392.0,375.5,"68,417.00",376.0,389.0,"26,095,154.60",28-08-2022
MLBL,374.0,381.3,373.1,"27,133.00",380.0,376.0,"10,249,650.20",29-08-2022
MLBL,385.0,385.0,377.0,"21,904.00",379.8,380.0,"8,328,759.50",30-08-2022
MLBL,376.0,383.4,373.0,"28,157.00",374.9,379.8,"10,622,199.60",31-08-2022
MLBL,370.0,377.8,368.1,"35,147.00",371.0,374.9,"13,041,255.70",01-09-2022
MLBL,378.4,378.4,363.0,"20,227.00",369.0,371.0,"7,458,073.70",02-09-2022
MLBL,378.4,378.4,363.0,"20,227.00",369.0,371.0,"7,458,073.70",03-09-2022
MLBL,376.3,379.6,373.0,"21,835.00",373.1,369.0,"8,204,910.40",04-09-2022
MLBL,375.0,378.0,372.0,"12,178.00",373.0,373.1,"4,566,191.40",05-09-2022
MLBL,370.0,374.0,365.0,"22,549.00",366.0,373.0,"8,309,998.60",06-09-2022
MLBL,362.8,368.0,361.0,"10,606.00",363.0,366.0,"3,853,098.50",07-09-2022
MLBL,363.0,368.0,356.0,"32,709.00",366.0,363.0,"11,880,292.30",08-09-2022
MLBL,363.0,368.0,356.0,"32,709.00",366.0,363.0,"11,880,292.30",09-09-2022
MLBL,363.0,368.0,356.0,"32,709.00",366.0,363.0,"11,880,292.30",10-09-2022
MLBL,365.1,368.9,358.1,"18,025.00",359.5,366.0,"6,525,952.70",11-09-2022
MLBL,356.4,364.0,356.0,"23,112.00",359.4,359.5,"8,306,152.70",12-09-2022
MLBL,357.0,370.9,357.0,"25,767.00",367.0,359.4,"9,466,830.50",13-09-2022
MLBL,371.0,388.5,370.5,"46,840.00",386.0,367.0,"17,814,072.70",14-09-2022
MLBL,390.0,390.0,365.0,"80,220.00",367.0,386.0,"29,849,184.20",15-09-2022
MLBL,360.0,365.9,348.1,"41,116.00",360.0,367.0,"14,646,539.80",16-09-2022
MLBL,360.0,365.9,348.1,"41,116.00",360.0,367.0,"14,646,539.80",17-09-2022
MLBL,358.0,360.0,347.0,"32,266.00",348.0,360.0,"11,357,538.80",18-09-2022
MLBL,358.0,360.0,347.0,"32,266.00",348.0,360.0,"11,357,538.80",19-09-2022
MLBL,349.0,349.0,332.0,"49,478.00",335.0,348.0,"16,653,552.40",20-09-2022
MLBL,335.0,346.0,335.0,"25,933.00",340.0,335.0,"8,840,492.60",21-09-2022
MLBL,340.0,346.0,336.3,"19,691.00",337.5,340.0,"6,683,015.90",22-09-2022
MLBL,340.0,346.0,336.3,"19,691.00",337.5,340.0,"6,683,015.90",23-09-2022
MLBL,340.0,346.0,336.3,"19,691.00",337.5,340.0,"6,683,015.90",24-09-2022
MLBL,330.8,344.0,330.0,"32,646.00",336.0,337.5,"11,063,780.90",25-09-2022
MLBL,330.8,344.0,330.0,"32,646.00",336.0,337.5,"11,063,780.90",26-09-2022
MLBL,340.0,346.0,337.2,"24,518.00",342.0,336.0,"8,356,714.90",27-09-2022
MLBL,344.0,348.8,342.0,"12,185.00",346.0,342.0,"4,209,977.90",28-09-2022
MLBL,350.0,352.2,345.0,"19,211.00",350.0,346.0,"6,695,078.00",29-09-2022
MLBL,350.0,352.2,345.0,"19,211.00",350.0,346.0,"6,695,078.00",30-09-2022
MLBL,350.0,352.2,345.0,"19,211.00",350.0,346.0,"6,695,078.00",01-10-2022
MLBL,350.0,352.2,345.0,"19,211.00",350.0,346.0,"6,695,078.00",02-10-2022
MLBL,350.0,352.2,345.0,"19,211.00",350.0,346.0,"6,695,078.00",03-10-2022
MLBL,350.0,352.2,345.0,"19,211.00",350.0,346.0,"6,695,078.00",04-10-2022
MLBL,350.0,352.2,345.0,"19,211.00",350.0,346.0,"6,695,078.00",05-10-2022
MLBL,350.0,352.2,345.0,"19,211.00",350.0,346.0,"6,695,078.00",06-10-2022
MLBL,350.0,352.2,345.0,"19,211.00",350.0,346.0,"6,695,078.00",07-10-2022
MLBL,350.0,352.2,345.0,"19,211.00",350.0,346.0,"6,695,078.00",08-10-2022
MLBL,356.0,372.0,356.0,"24,093.00",365.0,350.0,"8,822,550.00",09-10-2022
MLBL,368.0,368.0,350.0,"48,490.00",351.0,365.0,"17,488,448.30",10-10-2022
MLBL,358.0,358.0,345.0,"30,226.00",350.0,351.0,"10,568,236.70",11-10-2022
