Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MMFDB,"1,060.00","1,123.00","1,060.00",481.0,"1,079.70","1,080.00","516,262.10",10-08-2022
MMFDB,"1,060.00","1,123.00","1,060.00",481.0,"1,079.70","1,080.00","516,262.10",10-08-2022
MMFDB,"1,080.00","1,080.00","1,029.00","5,033.00","1,049.00","1,079.70","5,241,710.60",11-08-2022
MMFDB,"1,080.00","1,080.00","1,029.00","5,033.00","1,049.00","1,079.70","5,241,710.60",12-08-2022
MMFDB,"1,080.00","1,080.00","1,029.00","5,033.00","1,049.00","1,079.70","5,241,710.60",13-08-2022
MMFDB,"1,049.00","1,075.00","1,030.00",745.00,"1,030.00","1,049.00","784,086.90",14-08-2022
MMFDB,"1,050.60","1,068.00","1,037.10",816.00,"1,050.10","1,030.00","858,610.80",15-08-2022
MMFDB,"1,071.10","1,091.00","1,040.50","3,739.00","1,059.90","1,050.10","3,977,788.40",16-08-2022
MMFDB,"1,065.00","1,067.00","1,051.70",450.00,"1,051.70","1,059.90","477,237.00",17-08-2022
MMFDB,"1,072.70","1,098.00","1,057.00","3,890.00","1,098.00","1,051.70","4,246,159.00",18-08-2022
MMFDB,"1,072.70","1,098.00","1,057.00","3,890.00","1,098.00","1,051.70","4,246,159.00",19-08-2022
MMFDB,"1,072.70","1,098.00","1,057.00","3,890.00","1,098.00","1,051.70","4,246,159.00",20-08-2022
MMFDB,"1,090.00","1,114.90","1,082.00","1,609.00","1,084.00","1,098.00","1,762,106.00",21-08-2022
MMFDB,"1,087.00","1,098.00","1,080.00","1,116.00","1,090.00","1,084.00","1,208,507.00",22-08-2022
MMFDB,"1,090.00","1,095.00","1,075.00",760.00,"1,075.00","1,090.00","825,365.00",23-08-2022
MMFDB,"1,096.50","1,101.00","1,082.00","1,543.00","1,082.00","1,075.00","1,692,446.00",24-08-2022
MMFDB,"1,100.00","1,103.60","1,069.00",795.00,"1,069.00","1,082.00","859,081.00",25-08-2022
MMFDB,"1,069.00","1,069.00","1,069.00",78.00,"1,069.00","1,069.00","83,306.00",26-08-2022
