Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MNMF1,9.58,9.75,9.58,"6,150.00",9.67,9.85,"59,861.50",06-07-2026
MNMF1,9.6,9.85,9.5,"3,610.00",9.85,9.67,"34,745.00",07-07-2026
MNMF1,9.85,9.85,9.66,"38,385.00",9.85,9.85,"377,917.25",08-07-2026
MNMF1,9.56,10.0,9.56,"54,620.00",9.8,9.85,"536,832.20",09-07-2026
MNMF1,9.8,9.9,9.8,"85,300.00",9.85,9.8,"837,645.00",10-07-2026
MNMF1,9.8,9.85,9.8,"12,150.00",9.8,9.85,"119,570.00",13-07-2026
MNMF1,9.8,9.85,9.6,"104,945.00",9.6,9.8,"1,028,497.00",14-07-2026
MNMF1,9.6,9.9,9.6,"7,300.00",9.9,9.6,"71,790.00",15-07-2026
MNMF1,10.2,10.2,9.61,"2,500.00",9.9,9.9,"24,520.00",16-07-2026
MNMF1,9.61,9.61,9.5,"1,100.00",9.61,9.9,"10,549.00",17-07-2026
MNMF1,9.6,9.9,9.6,"7,500.00",9.9,9.61,"73,465.00",20-07-2026
MNMF1,9.8,9.9,9.51,"117,930.00",9.85,9.9,"1,145,216.00",21-07-2026
MNMF1,9.8,9.85,9.8,"50,221.00",9.85,9.85,"492,510.80",22-07-2026
MNMF1,9.8,9.87,9.8,"2,020.00",9.87,9.85,"19,894.40",23-07-2026
MNMF1,9.52,9.95,9.52,"3,401.00",9.8,9.7,"33,202.95",27-07-2026
MNMF1,9.55,9.6,9.55,"5,800.00",9.6,9.8,"55,449.00",28-07-2026
MNMF1,9.65,9.93,9.55,"84,881.00",9.75,9.6,"822,423.70",29-07-2026
MNMF1,9.51,9.79,9.51,"101,350.00",9.58,9.75,"991,967.00",30-07-2026
MNMF1,9.51,9.77,9.51,"1,050.00",9.6,9.58,"10,162.50",31-07-2026
MNMF1,9.6,9.71,9.6,"2,900.00",9.71,9.6,"28,022.00",03-08-2026
MNMF1,9.57,9.71,9.5,"22,400.00",9.5,9.71,"213,326.00",04-08-2026
MNMF1,9.55,9.6,9.55,600.00,9.6,9.5,"5,745.00",05-08-2026
MNMF1,9.6,9.6,9.57,"2,000.00",9.6,9.6,"19,186.00",06-08-2026
MNMF1,9.53,9.8,9.5,"13,700.00",9.8,9.6,"132,704.00",07-08-2026
MNMF1,9.80,9.80,9.46,"26,200.00",9.56,9.80,"251,604.52",10-08-2026
