Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MSHL,587.2,610.0,587.2,200.0,610.0,604.0,"119,200.70",06-07-2026
MSHL,592.0,609.0,592.0,67.0,595.0,610.0,"39,944.00",07-07-2026
MSHL,595.0,612.2,595.0,"1,374.00",600.0,595.0,"826,004.00",08-07-2026
MSHL,605.0,610.0,600.0,"2,065.00",600.0,600.0,"1,243,805.50",09-07-2026
MSHL,587.0,650.0,587.0,703.00,610.0,600.0,"425,337.50",10-07-2026
MSHL,605.0,605.0,596.0,866.00,596.0,610.0,"521,398.00",13-07-2026
MSHL,585.0,604.0,580.0,559.00,599.9,596.0,"330,212.70",14-07-2026
MSHL,617.0,617.0,599.0,856.00,600.0,599.9,"513,333.00",15-07-2026
MSHL,585.0,590.5,585.0,899.00,589.0,600.0,"529,964.20",16-07-2026
MSHL,581.0,660.0,581.0,249.00,660.0,589.0,"151,432.90",17-07-2026
MSHL,693.0,693.0,632.0,"1,030.00",658.0,660.0,"675,405.00",20-07-2026
MSHL,655.0,655.0,635.0,327.00,636.4,658.0,"209,702.80",21-07-2026
MSHL,650.00,650.00,620.00,735.00,635.00,636.40,"463,834.00",22-07-2026
