Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NABBC,462.0,474.0,461.5,"7,916.00",474.0,469.0,"3,697,024.30",10-08-2022
NABBC,462.0,474.0,461.5,"7,916.00",474.0,469.0,"3,697,024.30",10-08-2022
NABBC,483.4,483.4,462.6,"5,087.00",468.0,474.0,"2,392,459.70",11-08-2022
NABBC,483.4,483.4,462.6,"5,087.00",468.0,474.0,"2,392,459.70",12-08-2022
NABBC,483.4,483.4,462.6,"5,087.00",468.0,474.0,"2,392,459.70",13-08-2022
NABBC,477.3,477.3,443.0,"4,514.00",460.0,468.0,"2,038,023.90",14-08-2022
NABBC,451.3,471.9,451.0,"9,473.00",467.0,460.0,"4,371,460.20",15-08-2022
NABBC,476.3,513.7,462.6,"46,848.00",462.6,467.0,"22,557,990.80",16-08-2022
NABBC,471.8,471.8,454.0,"2,567.00",463.0,462.6,"1,183,788.30",17-08-2022
NABBC,470.6,470.8,461.0,"6,100.00",469.0,463.0,"2,855,113.30",18-08-2022
NABBC,470.6,470.8,461.0,"6,100.00",469.0,463.0,"2,855,113.30",19-08-2022
NABBC,470.6,470.8,461.0,"6,100.00",469.0,463.0,"2,855,113.30",20-08-2022
NABBC,478.30,497.50,459.70,"5,667.00",467.90,469.00,"2,675,091.50",21-08-2022
