Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NABILD2089,"1,153.00","1,153.00","1,153.00",2.0,"1,124.00","1,153.00","2,248.00",09-07-2026
NABILD2089,"1,090.30","1,090.30","1,090.30",25.0,"1,090.30","1,124.00","27,257.50",10-07-2026
NABILD2089,"1,075.00","1,140.00","1,049.00","81,874.00","1,140.00","1,090.30","86,139,058.50",13-07-2026
NABILD2089,"1,135.00","1,142.00","1,130.00","3,175.00","1,142.00","1,140.00","3,599,110.00",14-07-2026
NABILD2089,"1,107.80","1,107.80","1,057.00","38,810.00","1,057.00","1,142.00","41,034,464.00",21-07-2026
NABILD2089,"1,088.00","1,088.00","1,056.00",125.00,"1,056.00","1,057.00","135,200.00",23-07-2026
NABILD2089,"1,080.00","1,099.40","1,080.00",550.00,"1,080.00","1,078.00","598,850.00",27-07-2026
NABILD2089,"1,081.00","1,081.00","1,081.00","7,850.00","1,081.00","1,080.00","8,485,850.00",28-07-2026
NABILD2089,"1,056.00","1,056.00","1,056.00",10.00,"1,056.00","1,081.00","10,560.00",29-07-2026
NABILD2089,"1,056.00","1,056.00","1,056.00",25.00,"1,056.00","1,056.00","26,400.00",31-07-2026
NABILD2089,"1,025.00","1,050.00","1,025.00",550.00,"1,050.00","1,056.00","565,770.00",03-08-2026
NABILD2089,"1,040.00","1,040.00","1,040.00",25.00,"1,040.00","1,050.00","26,000.00",06-08-2026
NABILD2089,"1,040.00","1,040.00","1,040.00",25.00,"1,040.00","1,040.00","26,000.00",07-08-2026
NABILD2089,"1,025.00","1,025.00","1,025.00",104.00,"1,055.70","1,040.00","106,722.80",10-08-2026
NABILD2089,"1,050.00","1,068.80","1,050.00",531.00,"1,068.10","1,055.70","566,535.50",12-08-2026
NABILD2089,"1,060.00","1,087.30","1,060.00","1,507.00","1,070.00","1,068.10","1,630,750.80",14-08-2026
NABILD2089,"1,087.30","1,087.30","1,087.30",100.00,"1,087.30","1,070.00","108,730.00",19-08-2026
NABILD2089,"1,087.30","1,087.30","1,087.30",25.00,"1,087.30","1,087.30","27,182.50",20-08-2026
