Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NBF3,9.7,10.0,9.7,"11,775.00",10.0,10.0,"116,295.00",06-07-2026
NBF3,10.0,10.08,9.8,"19,400.00",10.0,10.0,"191,579.20",07-07-2026
NBF3,9.7,10.0,9.7,"14,250.00",10.0,10.0,"142,080.00",08-07-2026
NBF3,10.0,10.03,9.8,"49,490.00",9.99,10.0,"493,230.70",09-07-2026
NBF3,9.7,10.1,9.7,"47,740.00",10.1,9.99,"477,027.00",10-07-2026
NBF3,9.95,9.98,9.95,"14,000.00",9.98,10.1,"139,431.00",13-07-2026
NBF3,9.98,10.1,9.95,"53,691.00",9.95,9.98,"536,815.05",14-07-2026
NBF3,9.95,10.0,9.95,"39,300.00",10.0,9.95,"391,639.00",15-07-2026
NBF3,9.7,9.93,9.5,"22,870.00",9.93,10.0,"221,413.00",16-07-2026
NBF3,9.7,10.0,9.7,"4,920.00",10.0,9.93,"48,248.00",17-07-2026
NBF3,9.95,10.0,9.95,"31,580.00",10.0,10.0,"314,301.00",20-07-2026
NBF3,9.95,10.1,9.95,"23,354.00",10.0,10.0,"233,565.00",21-07-2026
NBF3,10.0,10.01,10.0,"23,750.00",10.01,10.0,"237,542.00",22-07-2026
NBF3,10.00,10.10,9.90,"11,871.00",10.00,10.01,"118,737.10",23-07-2026
