Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NCCB,208.0,211.1,205.1,"134,718.00",208.0,207.0,"28,061,027.40",10-08-2022
NCCB,208.0,211.1,205.1,"134,718.00",208.0,207.0,"28,061,027.40",10-08-2022
NCCB,210.0,210.8,206.0,"115,030.00",206.8,208.0,"23,916,133.10",11-08-2022
NCCB,210.0,210.8,206.0,"115,030.00",206.8,208.0,"23,916,133.10",12-08-2022
NCCB,210.0,210.8,206.0,"115,030.00",206.8,208.0,"23,916,133.10",13-08-2022
NCCB,205.0,208.8,203.2,"42,557.00",206.9,206.8,"8,755,257.00",14-08-2022
NCCB,205.0,209.4,205.0,"228,061.00",208.0,206.9,"47,420,282.80",15-08-2022
NCCB,209.0,211.0,207.5,"53,496.00",208.0,208.0,"11,177,192.40",16-08-2022
NCCB,206.1,208.9,206.1,"40,180.00",208.0,208.0,"8,328,197.50",17-08-2022
NCCB,208.0,209.0,206.5,"72,366.00",208.6,208.0,"15,037,071.30",18-08-2022
NCCB,208.0,209.0,206.5,"72,366.00",208.6,208.0,"15,037,071.30",19-08-2022
NCCB,208.0,209.0,206.5,"72,366.00",208.6,208.0,"15,037,071.30",20-08-2022
NCCB,210.0,211.0,207.1,"52,702.00",208.5,208.6,"10,982,954.00",21-08-2022
NCCB,206.5,208.8,206.0,"28,980.00",208.8,208.5,"5,997,795.30",22-08-2022
NCCB,205.0,212.0,205.0,"55,188.00",209.7,208.8,"11,501,142.80",23-08-2022
NCCB,206.0,212.0,206.0,"95,410.00",209.2,209.7,"19,975,843.70",24-08-2022
NCCB,206.0,210.1,206.0,"43,899.00",207.9,209.2,"9,130,793.50",25-08-2022
NCCB,205.8,207.0,205.2,"44,780.00",207.0,207.9,"9,225,291.90",26-08-2022
NCCB,205.8,207.0,205.2,"44,780.00",207.0,207.9,"9,225,291.90",27-08-2022
NCCB,211.0,211.0,202.7,"114,378.00",205.9,207.0,"23,336,446.50",28-08-2022
NCCB,203.2,205.0,202.6,"110,322.00",203.0,205.9,"22,428,685.40",29-08-2022
NCCB,203.4,205.9,201.3,"92,411.00",203.0,203.0,"18,755,747.70",30-08-2022
NCCB,204.0,204.6,200.8,"51,150.00",201.5,203.0,"10,318,046.60",31-08-2022
NCCB,200.0,203.0,200.0,"46,184.00",202.0,201.5,"9,291,884.50",01-09-2022
NCCB,198.0,204.0,198.0,"33,849.00",203.0,202.0,"6,827,250.90",02-09-2022
NCCB,198.0,204.0,198.0,"33,849.00",203.0,202.0,"6,827,250.90",03-09-2022
NCCB,200.00,203.00,199.30,"52,310.00",200.00,203.00,"10,509,320.60",04-09-2022
