Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NESDO,"3,120.00","3,150.00","3,080.00","9,223.00","3,125.00","3,077.10","28,782,952.80",10-08-2022
NESDO,"3,120.00","3,150.00","3,080.00","9,223.00","3,125.00","3,077.10","28,782,952.80",10-08-2022
NESDO,"3,130.00","3,230.00","3,130.00","17,102.00","3,209.00","3,125.00","54,697,592.20",11-08-2022
NESDO,"3,130.00","3,230.00","3,130.00","17,102.00","3,209.00","3,125.00","54,697,592.20",12-08-2022
NESDO,"3,130.00","3,230.00","3,130.00","17,102.00","3,209.00","3,125.00","54,697,592.20",13-08-2022
NESDO,"3,230.00","3,270.00","3,171.00","10,454.00","3,202.00","3,209.00","33,746,202.00",14-08-2022
NESDO,"3,210.00","3,290.00","3,210.00","15,269.00","3,280.00","3,202.00","49,742,980.80",15-08-2022
NESDO,"3,340.00","3,344.00","3,181.00","15,889.00","3,195.00","3,280.00","51,421,595.00",16-08-2022
NESDO,"3,250.00","3,250.00","3,131.10","9,023.00","3,190.00","3,195.00","28,847,013.00",17-08-2022
NESDO,"3,249.90","3,300.00","3,190.00","14,692.00","3,207.00","3,190.00","47,584,901.20",18-08-2022
NESDO,"3,249.90","3,300.00","3,190.00","14,692.00","3,207.00","3,190.00","47,584,901.20",19-08-2022
NESDO,"3,249.90","3,300.00","3,190.00","14,692.00","3,207.00","3,190.00","47,584,901.20",20-08-2022
NESDO,"3,270.00","3,270.00","3,196.00","23,224.00","3,240.00","3,207.00","75,131,787.80",21-08-2022
NESDO,"3,240.00","3,300.00","3,205.00","14,006.00","3,250.00","3,240.00","45,496,840.90",22-08-2022
NESDO,"3,250.00","3,315.00","3,235.00","6,686.00","3,258.10","3,250.00","21,773,337.50",23-08-2022
NESDO,"3,300.00","3,320.00","3,260.00","8,878.00","3,281.00","3,258.10","29,162,789.30",24-08-2022
NESDO,"3,293.90","3,350.00","3,239.00","24,953.00","3,349.00","3,281.00","83,140,273.00",25-08-2022
NESDO,"3,350.00","3,390.00","3,286.00","5,055.00","3,326.00","3,349.00","16,729,562.20",26-08-2022
