Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NHDL,397.9,412.0,396.6,"18,798.00",407.0,406.0,"7,579,175.30",10-08-2022
NHDL,397.9,412.0,396.6,"18,798.00",407.0,406.0,"7,579,175.30",10-08-2022
NHDL,407.1,424.6,400.2,"13,748.00",406.0,407.0,"5,567,569.90",11-08-2022
NHDL,407.1,424.6,400.2,"13,748.00",406.0,407.0,"5,567,569.90",12-08-2022
NHDL,407.1,424.6,400.2,"13,748.00",406.0,407.0,"5,567,569.90",13-08-2022
NHDL,408.0,413.0,393.1,"15,784.00",398.7,406.0,"6,274,453.70",14-08-2022
NHDL,405.0,414.0,395.0,"12,668.00",413.9,398.7,"5,171,591.90",15-08-2022
NHDL,416.0,420.0,398.0,"19,659.00",398.0,413.9,"7,987,816.70",16-08-2022
NHDL,392.0,410.0,392.0,"11,898.00",404.0,398.0,"4,785,497.00",17-08-2022
NHDL,412.0,416.0,404.0,"16,141.00",412.0,404.0,"6,630,734.40",18-08-2022
NHDL,412.0,416.0,404.0,"16,141.00",412.0,404.0,"6,630,734.40",19-08-2022
NHDL,412.0,416.0,404.0,"16,141.00",412.0,404.0,"6,630,734.40",20-08-2022
NHDL,419.9,425.0,411.6,"55,162.00",416.0,412.0,"23,075,147.70",21-08-2022
NHDL,418.0,418.2,408.0,"10,319.00",415.0,416.0,"4,245,603.10",22-08-2022
NHDL,412.0,417.0,408.3,"7,216.00",413.0,415.0,"2,963,710.60",23-08-2022
NHDL,413.0,419.0,408.0,"5,365.00",410.0,413.0,"2,202,116.40",24-08-2022
NHDL,410.0,413.0,398.4,"19,177.00",398.4,410.0,"7,790,777.10",25-08-2022
NHDL,396.0,400.0,387.1,"14,051.00",387.1,398.4,"5,498,132.20",26-08-2022
NHDL,396.0,400.0,387.1,"14,051.00",387.1,398.4,"5,498,132.20",27-08-2022
NHDL,394.8,394.8,372.0,"13,455.00",379.0,387.1,"5,057,624.70",28-08-2022
NHDL,385.0,385.0,370.0,"7,829.00",381.0,379.0,"2,975,410.40",29-08-2022
NHDL,387.6,387.6,377.1,"2,160.00",378.0,381.0,"827,074.30",30-08-2022
NHDL,383.9,383.9,362.0,"12,289.00",366.9,378.0,"4,517,726.80",31-08-2022
NHDL,365.00,372.00,358.10,"6,578.00",368.00,366.90,"2,384,131.70",01-09-2022
