Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NIBPO,237.7,237.7,233.0,"3,586.00",234.9,242.5,"843,148.50",23-11-2022
NIBPO,230.3,234.0,230.0,"3,601.00",234.0,234.9,"832,895.20",24-11-2022
NIBPO,230.3,234.0,230.0,"3,601.00",234.0,234.9,"832,895.20",25-11-2022
NIBPO,230.3,234.0,230.0,"3,601.00",234.0,234.9,"832,895.20",26-11-2022
NIBPO,230.1,230.1,229.0,"5,730.00",229.9,234.0,"1,315,753.00",27-11-2022
NIBPO,229.9,231.8,227.5,"16,123.00",231.8,229.9,"3,690,449.70",28-11-2022
NIBPO,227.3,229.0,226.0,"23,185.00",228.8,231.8,"5,261,386.50",29-11-2022
NIBPO,233.3,233.3,226.0,"126,794.00",227.1,228.8,"28,783,739.50",30-11-2022
NIBPO,231.0,231.6,226.9,"5,000.00",231.6,227.1,"1,152,531.50",01-12-2022
NIBPO,231.0,231.6,226.9,"5,000.00",231.6,227.1,"1,152,531.50",02-12-2022
NIBPO,231.0,231.6,226.9,"5,000.00",231.6,227.1,"1,152,531.50",03-12-2022
NIBPO,232.0,236.0,229.2,"18,019.00",233.7,231.6,"4,219,456.60",04-12-2022
NIBPO,231.1,233.8,231.1,"6,837.00",231.4,233.7,"1,583,401.80",05-12-2022
NIBPO,231.0,235.5,227.0,"22,147.00",227.3,231.4,"5,113,748.50",06-12-2022
NIBPO,222.8,226.0,214.1,142.00,226.0,227.3,"31,168.40",07-12-2022
NIBPO,222.8,226.0,214.1,142.00,226.0,227.3,"31,168.40",08-12-2022
NIBPO,222.8,226.0,214.1,142.00,226.0,227.3,"31,168.40",09-12-2022
NIBPO,222.8,226.0,214.1,142.00,226.0,227.3,"31,168.40",10-12-2022
NIBPO,221.6,221.6,221.6,20.00,221.6,226.0,"4,432.00",11-12-2022
NIBPO,225.0,225.0,220.5,300.00,220.5,221.6,"66,600.00",12-12-2022
NIBPO,216.1,216.1,211.8,120.00,211.8,220.5,"25,459.00",13-12-2022
NIBPO,207.6,211.0,207.0,"6,329.00",208.0,211.8,"1,327,295.40",14-12-2022
NIBPO,211.0,211.0,207.0,"2,825.00",207.0,208.0,"588,635.00",15-12-2022
NIBPO,211.0,211.0,207.0,"2,825.00",207.0,208.0,"588,635.00",16-12-2022
NIBPO,211.0,211.0,207.0,"2,825.00",207.0,208.0,"588,635.00",17-12-2022
NIBPO,207.0,207.0,202.9,"1,316.00",202.9,207.0,"267,712.00",18-12-2022
NIBPO,206.9,210.0,201.2,"8,783.00",207.0,202.9,"1,798,747.20",19-12-2022
NIBPO,206.0,206.0,200.0,"5,392.00",204.0,207.0,"1,084,436.70",20-12-2022
NIBPO,205.0,208.0,205.0,"6,337.00",206.0,204.0,"1,305,572.00",21-12-2022
NIBPO,201.9,204.0,200.0,"4,741.00",204.0,206.0,"958,845.00",22-12-2022
NIBPO,201.9,204.0,200.0,"4,741.00",204.0,206.0,"958,845.00",23-12-2022
NIBPO,201.9,204.0,200.0,"4,741.00",204.0,206.0,"958,845.00",24-12-2022
NIBPO,201.9,204.0,200.0,"4,741.00",204.0,206.0,"958,845.00",25-12-2022
NIBPO,206.0,214.9,206.0,"5,795.00",214.9,204.0,"1,215,418.80",26-12-2022
NIBPO,216.00,227.80,216.00,"20,731.00",224.00,214.90,"4,569,665.50",27-12-2022
