Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NIBSF2,8.91,9.1,8.65,"9,950.00",9.02,9.1,"88,922.77",06-07-2026
NIBSF2,8.8,9.1,8.8,"14,314.00",8.98,9.02,"128,662.32",07-07-2026
NIBSF2,8.75,9.1,8.73,"4,999.00",9.1,8.98,"44,394.00",09-07-2026
NIBSF2,8.87,8.87,8.83,"20,300.00",8.86,9.1,"179,742.04",10-07-2026
NIBSF2,8.86,8.97,8.45,"3,702,321.00",8.46,8.86,"32,239,063.50",13-07-2026
NIBSF2,8.71,8.8,8.51,"37,595.00",8.7,8.46,"326,090.85",14-07-2026
NIBSF2,8.9,9.1,8.74,"39,455.00",9.1,8.7,"349,489.72",15-07-2026
NIBSF2,8.85,9.1,8.59,"72,200.00",9.1,9.1,"636,271.00",16-07-2026
NIBSF2,8.84,8.85,8.84,"3,920.00",8.85,9.1,"34,688.80",17-07-2026
NIBSF2,8.7,9.0,8.7,"13,750.00",9.0,8.85,"121,105.00",20-07-2026
NIBSF2,8.73,9.0,8.73,"23,000.00",9.0,9.0,"203,681.00",21-07-2026
NIBSF2,8.81,9.05,8.81,"21,918.00",8.82,9.0,"193,640.76",22-07-2026
NIBSF2,8.57,8.9,8.57,"2,826.00",8.89,8.82,"24,855.74",23-07-2026
NIBSF2,9.1,9.1,8.57,"4,820.00",8.87,8.85,"43,526.00",27-07-2026
NIBSF2,8.8,8.99,8.8,"10,650.00",8.99,8.87,"94,305.00",28-07-2026
NIBSF2,8.75,9.05,8.75,"9,500.00",8.75,8.99,"84,641.00",29-07-2026
NIBSF2,8.55,8.8,8.54,"10,800.00",8.8,8.75,"92,374.00",30-07-2026
NIBSF2,9.0,9.0,8.8,"8,910.00",8.8,8.8,"79,415.00",31-07-2026
NIBSF2,8.8,8.9,8.56,"2,910.00",8.81,8.8,"25,641.50",03-08-2026
NIBSF2,9.07,9.07,8.67,"5,910.00",8.67,8.81,"51,754.70",04-08-2026
NIBSF2,8.78,8.78,8.45,"5,440.00",8.65,8.67,"47,315.20",05-08-2026
NIBSF2,8.6,9.0,8.6,"52,174.00",9.0,8.65,"468,822.94",06-08-2026
NIBSF2,8.74,8.76,8.74,600.00,8.76,9.0,"5,248.00",07-08-2026
NIBSF2,8.8,8.87,8.8,"17,400.00",8.87,8.76,"153,601.00",10-08-2026
NIBSF2,8.79,8.87,8.79,"4,100.00",8.87,8.87,"36,327.00",11-08-2026
NIBSF2,8.87,8.87,8.82,800.00,8.83,8.87,"7,064.00",12-08-2026
NIBSF2,8.8,8.98,8.8,"1,898.00",8.85,8.83,"16,760.40",13-08-2026
NIBSF2,9.05,9.05,8.8,"1,290.00",9.0,8.85,"11,515.00",14-08-2026
NIBSF2,8.79,8.82,8.79,500.00,8.82,9.0,"4,403.00",17-08-2026
NIBSF2,8.8,8.89,8.8,"14,350.00",8.8,8.82,"126,607.80",18-08-2026
NIBSF2,8.79,8.8,8.79,950.00,8.8,8.8,"8,357.50",19-08-2026
NIBSF2,8.79,8.79,8.58,"15,300.00",8.58,8.80,"133,837.50",20-08-2026
