Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NICBF,10.5,10.5,10.5,"1,700.00",10.5,10.69,"17,850.00",10-08-2022
NICBF,10.5,10.5,10.5,"1,700.00",10.5,10.69,"17,850.00",10-08-2022
NICBF,10.5,10.61,10.5,"27,875.00",10.61,10.5,"294,132.75",11-08-2022
NICBF,10.5,10.61,10.5,"27,875.00",10.61,10.5,"294,132.75",12-08-2022
NICBF,10.5,10.61,10.5,"27,875.00",10.61,10.5,"294,132.75",13-08-2022
NICBF,10.47,10.74,10.47,"24,800.00",10.74,10.61,"261,323.00",14-08-2022
NICBF,10.85,10.85,10.43,"4,630.00",10.75,10.74,"49,224.50",15-08-2022
NICBF,10.82,10.82,10.42,"2,300.00",10.58,10.75,"24,104.00",16-08-2022
NICBF,10.42,10.59,10.42,"13,200.00",10.59,10.58,"138,880.75",17-08-2022
NICBF,10.39,10.72,10.36,"22,000.00",10.67,10.59,"228,897.25",18-08-2022
NICBF,10.39,10.72,10.36,"22,000.00",10.67,10.59,"228,897.25",19-08-2022
NICBF,10.39,10.72,10.36,"22,000.00",10.67,10.59,"228,897.25",20-08-2022
NICBF,10.51,10.66,10.51,"2,850.00",10.65,10.67,"30,207.50",21-08-2022
NICBF,10.44,10.63,10.44,"14,745.00",10.63,10.65,"154,521.35",22-08-2022
NICBF,10.62,10.65,10.62,900.00,10.65,10.63,"9,582.00",23-08-2022
NICBF,10.47,10.47,10.47,"1,000.00",10.47,10.65,"10,470.00",24-08-2022
NICBF,10.54,10.66,10.27,"98,830.00",10.66,10.47,"1,017,711.00",25-08-2022
NICBF,10.45,10.46,10.45,"10,172.00",10.45,10.66,"106,312.40",26-08-2022
NICBF,10.45,10.46,10.45,"10,172.00",10.45,10.66,"106,312.40",27-08-2022
NICBF,10.26,10.45,10.26,"29,778.00",10.27,10.45,"306,535.75",28-08-2022
NICBF,10.2,10.42,10.2,"23,955.00",10.42,10.27,"245,869.35",29-08-2022
NICBF,10.62,10.62,10.41,"14,600.00",10.5,10.42,"153,815.00",30-08-2022
NICBF,10.29,10.46,10.29,"24,175.00",10.4,10.5,"250,632.50",31-08-2022
NICBF,10.4,10.4,10.38,"10,900.00",10.39,10.4,"113,285.98",01-09-2022
NICBF,10.5,10.5,10.2,"10,275.00",10.4,10.39,"107,487.25",02-09-2022
NICBF,10.5,10.5,10.2,"10,275.00",10.4,10.39,"107,487.25",03-09-2022
NICBF,10.6,10.6,10.39,"1,950.00",10.39,10.4,"20,281.50",04-09-2022
NICBF,10.58,10.58,10.28,"8,000.00",10.28,10.39,"82,309.00",05-09-2022
