Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NICD88,"1,077.30","1,077.30","1,077.20",50.0,"1,077.20","1,100.00","53,861.80",07-07-2026
NICD88,"1,109.00","1,140.00","1,100.00","153,199.00","1,100.00","1,077.00","168,637,658.80",14-07-2026
NICD88,"1,133.00","1,133.00","1,133.00","20,010.00","1,133.00","1,100.00","22,671,330.00",15-07-2026
NICD88,"1,125.00","1,125.00","1,125.00",54.00,"1,125.00","1,133.00","60,750.00",16-07-2026
NICD88,"1,095.00","1,095.00","1,092.10",900.00,"1,092.10","1,125.00","983,360.00",17-07-2026
NICD88,"1,085.00","1,095.00","1,085.00",110.00,"1,095.00","1,092.10","119,600.00",21-07-2026
NICD88,"1,115.00","1,115.00","1,115.00",25.00,"1,115.00","1,095.00","27,875.00",22-07-2026
NICD88,"1,100.00","1,100.00","1,100.00",25.00,"1,100.00","1,115.00","27,500.00",23-07-2026
NICD88,"1,100.00","1,100.00","1,100.00",50.00,"1,100.00","1,100.00","55,000.00",29-07-2026
NICD88,"1,100.00","1,100.00","1,100.00",25.00,"1,100.00","1,100.00","27,500.00",31-07-2026
NICD88,"1,085.00","1,100.00","1,085.00",75.00,"1,100.00","1,100.00","82,125.00",03-08-2026
NICD88,"1,100.00","1,100.00","1,100.00",50.00,"1,100.00","1,100.00","55,000.00",06-08-2026
