Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NICFC,10.0,10.0,9.81,"2,100.00",10.0,0.0,"20,866.00",12-09-2022
NICFC,9.81,9.81,9.0,"16,900.00",9.0,10.0,"154,177.00",14-09-2022
NICFC,8.82,8.82,8.1,"14,670.00",8.28,9.0,"121,282.70",15-09-2022
NICFC,8.12,8.24,7.97,"15,500.00",8.1,8.28,"125,755.70",16-09-2022
NICFC,8.12,8.24,7.97,"15,500.00",8.1,8.28,"125,755.70",17-09-2022
NICFC,8.1,8.16,8.1,"5,160.00",8.1,8.1,"41,960.50",18-09-2022
NICFC,8.1,8.16,8.1,"5,160.00",8.1,8.1,"41,960.50",19-09-2022
NICFC,7.95,8.26,7.95,"3,300.00",8.0,8.1,"26,544.00",20-09-2022
NICFC,7.84,8.58,7.84,"5,400.00",7.98,8.0,"43,245.00",21-09-2022
NICFC,7.83,8.0,7.83,"3,020.00",8.0,7.98,"23,891.00",22-09-2022
NICFC,7.83,8.0,7.83,"3,020.00",8.0,7.98,"23,891.00",23-09-2022
NICFC,7.83,8.0,7.83,"3,020.00",8.0,7.98,"23,891.00",24-09-2022
NICFC,8.02,8.02,7.77,"2,800.00",7.8,8.0,"21,947.00",25-09-2022
NICFC,8.02,8.02,7.77,"2,800.00",7.8,8.0,"21,947.00",26-09-2022
NICFC,7.65,7.86,7.65,"2,975.00",7.74,7.8,"23,121.50",27-09-2022
NICFC,7.59,7.73,7.3,"2,100.00",7.6,7.74,"15,897.00",28-09-2022
NICFC,7.59,7.71,7.59,800.00,7.7,7.6,"6,130.00",29-09-2022
NICFC,7.59,7.71,7.59,800.00,7.7,7.6,"6,130.00",30-09-2022
NICFC,7.59,7.71,7.59,800.00,7.7,7.6,"6,130.00",01-10-2022
NICFC,7.59,7.71,7.59,800.00,7.7,7.6,"6,130.00",02-10-2022
NICFC,7.59,7.71,7.59,800.00,7.7,7.6,"6,130.00",03-10-2022
NICFC,7.59,7.71,7.59,800.00,7.7,7.6,"6,130.00",04-10-2022
NICFC,7.59,7.71,7.59,800.00,7.7,7.6,"6,130.00",05-10-2022
NICFC,7.59,7.71,7.59,800.00,7.7,7.6,"6,130.00",06-10-2022
NICFC,7.59,7.71,7.59,800.00,7.7,7.6,"6,130.00",07-10-2022
NICFC,7.59,7.71,7.59,800.00,7.7,7.6,"6,130.00",08-10-2022
NICFC,7.59,7.77,7.59,"3,100.00",7.65,7.7,"23,720.00",09-10-2022
NICFC,7.65,7.9,7.65,"1,800.00",7.9,7.65,"13,965.00",10-10-2022
