Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NICSF,8.24,8.47,8.1,"26,197.00",8.31,8.4,"217,500.07",10-08-2022
NICSF,8.24,8.47,8.1,"26,197.00",8.31,8.4,"217,500.07",10-08-2022
NICSF,8.15,8.66,8.15,"9,750.00",8.66,8.31,"80,053.00",11-08-2022
NICSF,8.15,8.66,8.15,"9,750.00",8.66,8.31,"80,053.00",12-08-2022
NICSF,8.15,8.66,8.15,"9,750.00",8.66,8.31,"80,053.00",13-08-2022
NICSF,8.5,8.64,8.41,"7,000.00",8.61,8.66,"59,204.00",14-08-2022
NICSF,8.44,8.58,8.16,"17,575.00",8.58,8.61,"148,333.75",15-08-2022
NICSF,8.41,8.41,8.26,"1,200.00",8.26,8.58,"9,942.00",16-08-2022
NICSF,8.1,8.36,8.04,"10,200.00",8.35,8.26,"82,766.00",17-08-2022
NICSF,8.35,8.5,8.2,400.00,8.5,8.35,"3,355.00",18-08-2022
NICSF,8.35,8.5,8.2,400.00,8.5,8.35,"3,355.00",19-08-2022
NICSF,8.35,8.5,8.2,400.00,8.5,8.35,"3,355.00",20-08-2022
NICSF,8.33,8.49,8.1,"36,100.00",8.12,8.5,"295,268.00",21-08-2022
NICSF,8.0,8.31,8.0,"11,920.00",8.3,8.12,"95,963.60",22-08-2022
NICSF,8.14,8.29,8.14,"5,170.00",8.29,8.3,"42,510.00",23-08-2022
NICSF,8.13,8.29,8.13,"2,000.00",8.29,8.29,"16,316.00",24-08-2022
NICSF,8.15,8.45,8.15,"4,600.00",8.31,8.29,"37,641.50",25-08-2022
NICSF,8.15,8.30,8.00,"1,950.00",8.30,8.31,"15,917.50",26-08-2022
