Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NMBHF2,9.6,9.8,9.6,"3,905.00",9.8,9.78,"38,043.75",06-07-2026
NMBHF2,9.51,9.7,9.5,"4,500.00",9.57,9.8,"43,221.00",07-07-2026
NMBHF2,9.6,9.79,9.53,"3,180.00",9.79,9.57,"30,750.20",08-07-2026
NMBHF2,9.5,9.55,9.4,"1,650.00",9.4,9.79,"15,708.50",09-07-2026
NMBHF2,9.39,9.78,9.39,"3,799.00",9.78,9.4,"36,402.02",10-07-2026
NMBHF2,9.58,9.62,9.51,"10,001,600.00",9.51,9.78,"96,045,296.80",13-07-2026
NMBHF2,9.51,9.55,9.51,"1,910.00",9.55,9.51,"18,184.10",14-07-2026
NMBHF2,9.5,9.55,9.4,"1,800.00",9.4,9.55,"17,090.00",15-07-2026
NMBHF2,9.5,10.13,9.47,"79,180.00",10.13,9.4,"772,151.60",16-07-2026
NMBHF2,9.93,9.93,9.55,"8,650.00",9.56,10.13,"84,723.00",17-07-2026
NMBHF2,9.5,9.77,9.45,"8,620.00",9.77,9.56,"83,776.23",20-07-2026
NMBHF2,9.58,9.75,9.57,"26,800.00",9.7,9.77,"259,893.23",21-07-2026
NMBHF2,9.52,9.65,9.52,"2,250.00",9.6,9.7,"21,529.50",22-07-2026
NMBHF2,9.84,9.84,9.56,"3,600.00",9.7,9.6,"34,814.00",23-07-2026
NMBHF2,9.81,9.84,9.59,"126,205.00",9.77,9.77,"1,237,098.94",27-07-2026
NMBHF2,9.6,9.77,9.57,"2,300.00",9.61,9.77,"22,249.00",28-07-2026
NMBHF2,9.58,9.78,9.58,"80,624.00",9.58,9.61,"787,316.98",29-07-2026
NMBHF2,9.58,9.75,9.58,"1,800.00",9.75,9.58,"17,386.00",30-07-2026
NMBHF2,9.58,9.76,9.58,"8,121.00",9.59,9.75,"79,019.96",31-07-2026
NMBHF2,9.58,9.77,9.5,"14,041.00",9.77,9.59,"135,543.07",03-08-2026
NMBHF2,9.5,9.65,9.5,900.00,9.65,9.77,"8,652.00",04-08-2026
NMBHF2,9.7,9.7,9.51,"7,110.00",9.65,9.65,"68,388.10",05-08-2026
NMBHF2,9.53,9.6,9.53,"2,800.00",9.6,9.65,"26,847.00",06-08-2026
NMBHF2,9.53,9.7,9.53,"16,200.00",9.7,9.6,"156,413.00",07-08-2026
NMBHF2,9.6,9.6,9.53,"1,400.00",9.54,9.7,"13,373.00",10-08-2026
NMBHF2,9.56,9.57,9.54,"2,200.00",9.57,9.54,"21,023.00",11-08-2026
NMBHF2,9.5,9.57,9.5,"1,200.00",9.55,9.57,"11,464.00",12-08-2026
NMBHF2,9.55,9.75,9.53,"1,850.00",9.75,9.55,"17,835.00",13-08-2026
NMBHF2,9.53,9.65,9.53,"3,400.00",9.65,9.75,"32,783.00",14-08-2026
NMBHF2,9.83,9.84,9.65,"59,956.00",9.75,9.65,"586,513.77",17-08-2026
NMBHF2,9.75,9.9,9.75,"177,644.00",9.9,9.75,"1,758,167.29",18-08-2026
NMBHF2,9.61,10.0,9.61,"616,880.00",9.89,9.9,"6,116,867.20",19-08-2026
NMBHF2,9.7,9.9,9.7,"29,640.00",9.9,9.89,"293,258.00",20-08-2026
NMBHF2,9.85,9.96,9.85,"36,510.00",9.91,9.90,"361,822.30",21-08-2026
