Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NMBUR93/94,"1,000.00","1,000.00",932.0,585.0,962.0,0.0,"573,814.00",24-08-2026
NMBUR93/94,962.00,990.00,962.0,50.0,990.0,962.0,"48,800.00",25-08-2026
NMBUR93/94,962.00,990.80,962.0,125.0,990.8,990.0,"121,690.00",26-08-2026
NMBUR93/94,986.00,986.00,980.0,100.0,981.0,990.0,"98,300.00",31-08-2026
NMBUR93/94,951.60,999.00,930.0,770.0,999.0,981.0,"760,585.00",01-09-2026
NMBUR93/94,970.00,970.00,941.0,50.0,941.0,999.0,"47,775.00",02-09-2026
NMBUR93/94,915.00,915.00,907.1,80.0,909.0,941.0,"72,852.50",03-09-2026
NMBUR93/94,909.00,930.00,909.0,75.0,930.0,909.0,"69,225.00",07-09-2026
NMBUR93/94,903.10,903.10,903.1,25.0,903.1,930.0,"22,577.50",09-09-2026
NMBUR93/94,920.00,930.00,907.6,75.0,907.6,903.1,"68,940.00",10-09-2026
NMBUR93/94,907.60,907.60,907.6,25.0,907.6,907.6,"22,690.00",14-09-2026
NMBUR93/94,934.00,934.00,930.0,75.0,934.0,907.6,"69,950.00",17-09-2026
NMBUR93/94,930.00,930.00,930.0,50.0,930.0,934.0,"46,500.00",18-09-2026
NMBUR93/94,911.10,929.00,911.1,75.0,929.0,930.0,"68,789.90",22-09-2026
NMBUR93/94,920.00,923.00,920.0,50.0,923.0,929.0,"46,075.00",23-09-2026
NMBUR93/94,920.00,920.00,920.00,25.00,920.00,923.00,"23,000.00",24-09-2026
