Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NMFBS,"2,311.00","2,380.00","2,311.00","4,942.00","2,342.00","2,354.00","11,594,483.20",10-08-2022
NMFBS,"2,311.00","2,380.00","2,311.00","4,942.00","2,342.00","2,354.00","11,594,483.20",10-08-2022
NMFBS,"2,388.80","2,388.80","2,307.00","7,732.00","2,307.00","2,342.00","18,083,314.70",11-08-2022
NMFBS,"2,388.80","2,388.80","2,307.00","7,732.00","2,307.00","2,342.00","18,083,314.70",12-08-2022
NMFBS,"2,388.80","2,388.80","2,307.00","7,732.00","2,307.00","2,342.00","18,083,314.70",13-08-2022
NMFBS,"2,315.00","2,335.00","2,294.00","7,094.00","2,301.00","2,307.00","16,359,343.50",14-08-2022
NMFBS,"2,327.80","2,375.00","2,290.00","4,711.00","2,375.00","2,301.00","10,952,080.50",15-08-2022
NMFBS,"2,388.20","2,403.00","2,310.10","3,339.00","2,310.10","2,375.00","7,860,580.80",16-08-2022
NMFBS,"2,270.00","2,343.80","2,270.00","3,147.00","2,325.00","2,310.10","7,280,236.30",17-08-2022
NMFBS,"2,349.00","2,371.00","2,326.00","3,318.00","2,350.00","2,325.00","7,791,771.60",18-08-2022
NMFBS,"2,349.00","2,371.00","2,326.00","3,318.00","2,350.00","2,325.00","7,791,771.60",19-08-2022
NMFBS,"2,349.00","2,371.00","2,326.00","3,318.00","2,350.00","2,325.00","7,791,771.60",20-08-2022
NMFBS,"2,395.00","2,395.00","2,317.00","2,197.00","2,320.00","2,350.00","5,129,318.80",21-08-2022
NMFBS,"2,310.00","2,335.00","2,303.00","1,341.00","2,325.00","2,320.00","3,110,676.00",22-08-2022
NMFBS,"2,320.00","2,329.90","2,300.00","2,911.00","2,308.50","2,325.00","6,719,838.80",23-08-2022
NMFBS,"2,349.00","2,350.00","2,300.00","2,848.00","2,305.00","2,308.50","6,581,848.00",24-08-2022
NMFBS,"2,283.00","2,319.00","2,283.00","2,382.00","2,290.00","2,305.00","5,479,026.60",25-08-2022
NMFBS,"2,290.00","2,290.00","2,255.00","1,092.00","2,269.00","2,290.00","2,471,428.00",26-08-2022
NMFBS,"2,290.00","2,290.00","2,255.00","1,092.00","2,269.00","2,290.00","2,471,428.00",27-08-2022
NMFBS,"2,255.00","2,280.00","2,225.00","3,399.00","2,225.00","2,269.00","7,632,738.00",28-08-2022
NMFBS,"2,226.00","2,226.00","2,199.00","3,315.00","2,201.00","2,225.00","7,308,009.60",29-08-2022
NMFBS,"2,244.00","2,244.00","2,180.00","1,495.00","2,200.00","2,201.00","3,298,845.00",30-08-2022
NMFBS,"2,200.00","2,200.00","2,150.00","2,390.00","2,159.00","2,200.00","5,177,714.20",31-08-2022
NMFBS,"2,150.00","2,188.00","2,122.00","1,669.00","2,150.00","2,159.00","3,558,849.00",01-09-2022
NMFBS,"2,187.00","2,188.00","2,141.00",330.00,"2,145.00","2,150.00","711,395.00",02-09-2022
NMFBS,"2,187.00","2,188.00","2,141.00",330.00,"2,145.00","2,150.00","711,395.00",03-09-2022
NMFBS,"2,180.00","2,180.00","2,139.00","1,730.00","2,140.00","2,145.00","3,716,223.50",04-09-2022
NMFBS,"2,179.00","2,179.00","2,130.00","1,636.00","2,140.00","2,140.00","3,502,028.00",05-09-2022
NMFBS,"2,182.80","2,182.80","2,100.00","2,164.00","2,118.00","2,140.00","4,567,151.60",06-09-2022
NMFBS,"2,100.00","2,135.00","2,090.00","1,095.00","2,099.00","2,118.00","2,304,502.70",07-09-2022
NMFBS,"2,128.90","2,130.00","2,086.40","1,604.00","2,096.00","2,099.00","3,379,891.00",08-09-2022
NMFBS,"2,128.90","2,130.00","2,086.40","1,604.00","2,096.00","2,099.00","3,379,891.00",09-09-2022
NMFBS,"2,128.90","2,130.00","2,086.40","1,604.00","2,096.00","2,099.00","3,379,891.00",10-09-2022
NMFBS,"2,097.10","2,119.90","2,090.10","1,136.00","2,090.10","2,096.00","2,386,866.10",11-09-2022
NMFBS,"2,090.10","2,100.00","2,080.00","1,161.00","2,080.00","2,090.10","2,424,676.20",12-09-2022
NMFBS,"2,120.00","2,120.00","2,080.00","1,684.00","2,100.00","2,080.00","3,540,728.60",13-09-2022
NMFBS,"2,138.00","2,180.00","2,130.00","2,316.00","2,163.90","2,100.00","4,993,648.50",14-09-2022
NMFBS,"2,164.00","2,164.00","2,087.40","3,246.00","2,100.00","2,163.90","6,872,590.50",15-09-2022
NMFBS,"2,060.00","2,093.00","2,056.00",754.00,"2,067.00","2,100.00","1,560,316.40",16-09-2022
NMFBS,"2,060.00","2,093.00","2,056.00",754.00,"2,067.00","2,100.00","1,560,316.40",17-09-2022
NMFBS,"2,026.00","2,070.00","2,000.00","3,376.00","2,000.00","2,067.00","6,824,135.20",18-09-2022
NMFBS,"2,026.00","2,070.00","2,000.00","3,376.00","2,000.00","2,067.00","6,824,135.20",19-09-2022
NMFBS,"1,965.00","2,000.00","1,929.00","3,544.00","1,939.00","2,000.00","6,935,109.00",20-09-2022
NMFBS,"1,977.00","1,977.70","1,928.70","2,354.00","1,939.90","1,939.00","4,582,487.20",21-09-2022
NMFBS,"1,931.00","1,935.00","1,900.00","2,404.00","1,900.00","1,939.90","4,604,290.50",22-09-2022
NMFBS,"1,931.00","1,935.00","1,900.00","2,404.00","1,900.00","1,939.90","4,604,290.50",23-09-2022
NMFBS,"1,931.00","1,935.00","1,900.00","2,404.00","1,900.00","1,939.90","4,604,290.50",24-09-2022
NMFBS,"1,867.00","1,889.90","1,830.00","3,547.00","1,862.00","1,900.00","6,608,558.80",25-09-2022
NMFBS,"1,867.00","1,889.90","1,830.00","3,547.00","1,862.00","1,900.00","6,608,558.80",26-09-2022
NMFBS,"1,862.00","1,929.80","1,842.00","1,634.00","1,893.00","1,862.00","3,094,780.20",27-09-2022
NMFBS,"1,930.00","1,950.00","1,920.00","1,154.00","1,925.00","1,893.00","2,228,243.00",28-09-2022
NMFBS,"1,963.50","2,000.00","1,963.50","1,762.00","1,990.00","1,925.00","3,501,168.90",29-09-2022
NMFBS,"1,963.50","2,000.00","1,963.50","1,762.00","1,990.00","1,925.00","3,501,168.90",30-09-2022
NMFBS,"1,963.50","2,000.00","1,963.50","1,762.00","1,990.00","1,925.00","3,501,168.90",01-10-2022
NMFBS,"1,963.50","2,000.00","1,963.50","1,762.00","1,990.00","1,925.00","3,501,168.90",02-10-2022
NMFBS,"1,963.50","2,000.00","1,963.50","1,762.00","1,990.00","1,925.00","3,501,168.90",03-10-2022
NMFBS,"1,963.50","2,000.00","1,963.50","1,762.00","1,990.00","1,925.00","3,501,168.90",04-10-2022
NMFBS,"1,963.50","2,000.00","1,963.50","1,762.00","1,990.00","1,925.00","3,501,168.90",05-10-2022
NMFBS,"1,963.50","2,000.00","1,963.50","1,762.00","1,990.00","1,925.00","3,501,168.90",06-10-2022
NMFBS,"1,963.50","2,000.00","1,963.50","1,762.00","1,990.00","1,925.00","3,501,168.90",07-10-2022
