Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NRM,335.0,335.0,320.0,"6,814.00",323.0,335.0,"2,212,237.50",06-07-2026
NRM,326.9,336.5,321.0,"3,776.00",323.0,323.0,"1,242,121.40",07-07-2026
NRM,320.2,324.0,315.0,"3,666.00",320.0,323.0,"1,165,735.10",08-07-2026
NRM,313.2,320.0,313.2,"2,781.00",316.2,320.0,"877,864.60",09-07-2026
NRM,320.0,325.6,316.4,"6,711.00",318.0,316.2,"2,142,139.20",10-07-2026
NRM,316.0,324.9,304.0,"9,356.00",304.0,318.0,"2,906,793.80",13-07-2026
NRM,305.0,310.0,295.1,"14,261.00",301.1,304.0,"4,316,701.00",14-07-2026
NRM,296.0,311.0,296.0,"12,001.00",301.0,301.1,"3,648,999.10",15-07-2026
NRM,295.1,309.0,295.1,"7,884.00",300.0,301.0,"2,372,070.50",16-07-2026
NRM,305.1,322.5,305.1,"18,927.00",321.0,300.0,"6,015,118.80",17-07-2026
NRM,330.0,330.0,316.0,"7,132.00",322.0,321.0,"2,296,213.00",20-07-2026
NRM,322.0,332.0,317.5,"25,233.00",330.0,322.0,"8,269,702.30",21-07-2026
NRM,323.1,334.0,323.1,"8,796.00",325.0,330.0,"2,872,042.80",22-07-2026
NRM,332.00,332.00,317.00,"11,195.00",329.20,325.00,"3,633,711.30",23-07-2026
