Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NSIF2,10.54,10.8,10.54,"17,100.00",10.79,10.79,"182,896.00",06-07-2026
NSIF2,10.54,10.54,10.54,100.00,10.54,10.79,"1,054.00",07-07-2026
NSIF2,10.55,10.6,10.55,400.00,10.6,10.54,"4,235.00",08-07-2026
NSIF2,10.6,10.7,10.6,750.00,10.6,10.6,"7,985.00",09-07-2026
NSIF2,10.6,10.8,10.54,800.00,10.65,10.6,"8,494.00",10-07-2026
NSIF2,10.54,10.56,10.54,"2,000.00",10.56,10.65,"21,104.00",13-07-2026
NSIF2,10.87,10.87,10.4,"52,099.00",10.4,10.56,"544,356.40",14-07-2026
NSIF2,10.21,10.41,10.21,"27,040.00",10.4,10.4,"280,177.00",15-07-2026
NSIF2,10.23,10.23,10.23,100.00,10.23,10.4,"1,023.00",16-07-2026
NSIF2,10.53,10.53,10.53,670.00,10.53,10.23,"7,055.10",17-07-2026
NSIF2,10.4,10.46,10.4,780.00,10.46,10.53,"8,121.80",20-07-2026
NSIF2,10.7,10.88,10.6,"23,350.00",10.88,10.46,"250,823.48",21-07-2026
NSIF2,10.97,10.97,10.6,"18,533.00",10.65,10.88,"199,278.01",22-07-2026
NSIF2,10.61,10.8,10.61,"7,675.00",10.67,10.65,"82,696.40",23-07-2026
NSIF2,10.68,10.8,10.61,"12,000.00",10.8,10.68,"127,726.00",27-07-2026
NSIF2,10.63,10.89,10.63,"10,400.00",10.89,10.80,"113,169.00",28-07-2026
