Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NTC,870.3,895.0,853.0,"53,505.00",880.0,888.0,"46,861,226.80",10-08-2022
NTC,870.3,895.0,853.0,"53,505.00",880.0,888.0,"46,861,226.80",10-08-2022
NTC,870.2,895.0,865.0,"41,166.00",865.0,880.0,"36,094,571.40",11-08-2022
NTC,870.2,895.0,865.0,"41,166.00",865.0,880.0,"36,094,571.40",12-08-2022
NTC,870.2,895.0,865.0,"41,166.00",865.0,880.0,"36,094,571.40",13-08-2022
NTC,870.0,875.0,850.0,"29,580.00",860.0,865.0,"25,576,863.80",14-08-2022
NTC,870.0,923.0,863.0,"76,147.00",920.0,860.0,"68,578,771.20",15-08-2022
NTC,925.0,938.0,901.0,"60,891.00",912.5,920.0,"56,171,550.50",16-08-2022
NTC,930.7,930.7,895.0,"36,527.00",914.0,912.5,"33,314,141.50",17-08-2022
NTC,929.0,938.5,907.0,"46,804.00",938.0,914.0,"43,563,288.70",18-08-2022
NTC,929.0,938.5,907.0,"46,804.00",938.0,914.0,"43,563,288.70",19-08-2022
NTC,929.0,938.5,907.0,"46,804.00",938.0,914.0,"43,563,288.70",20-08-2022
NTC,929.0,955.0,915.8,"69,871.00",921.1,938.0,"65,435,105.30",21-08-2022
NTC,934.0,934.0,913.0,"21,653.00",915.0,921.1,"19,886,070.30",22-08-2022
NTC,905.0,927.0,905.0,"27,354.00",920.0,915.0,"24,997,153.90",23-08-2022
NTC,935.0,935.0,906.0,"19,568.00",914.9,920.0,"17,889,533.50",24-08-2022
NTC,920.0,924.0,890.0,"24,505.00",897.0,914.9,"22,074,650.00",25-08-2022
NTC,907.0,943.0,882.1,"43,622.00",903.7,897.0,"39,057,864.20",26-08-2022
NTC,907.0,943.0,882.1,"43,622.00",903.7,897.0,"39,057,864.20",27-08-2022
NTC,905.0,907.9,883.0,"55,747.00",901.0,903.7,"49,713,193.90",28-08-2022
NTC,919.0,919.0,883.0,"125,140.00",910.0,901.0,"112,576,778.60",29-08-2022
NTC,910.0,955.0,893.0,"104,965.00",940.0,910.0,"95,772,575.50",30-08-2022
NTC,930.0,930.0,900.0,"117,457.00",927.9,940.0,"107,483,621.70",31-08-2022
NTC,911.0,916.0,893.0,"135,652.00",915.0,927.9,"122,705,656.70",01-09-2022
NTC,900.0,918.0,893.0,"111,704.00",912.0,915.0,"100,498,848.70",02-09-2022
NTC,900.0,918.0,893.0,"111,704.00",912.0,915.0,"100,498,848.70",03-09-2022
NTC,895.0,912.0,893.1,"72,866.00",895.0,912.0,"65,337,082.90",04-09-2022
