Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
OHL,480.0,493.0,477.4,858.0,484.0,487.0,"411,311.20",10-08-2022
OHL,480.0,493.0,477.4,858.0,484.0,487.0,"411,311.20",10-08-2022
OHL,493.0,493.0,472.0,"2,318.00",481.0,484.0,"1,105,609.60",11-08-2022
OHL,493.0,493.0,472.0,"2,318.00",481.0,484.0,"1,105,609.60",12-08-2022
OHL,493.0,493.0,472.0,"2,318.00",481.0,484.0,"1,105,609.60",13-08-2022
OHL,475.0,481.0,475.0,74.00,481.0,481.0,"35,210.00",14-08-2022
OHL,482.0,490.0,475.0,"2,157.00",485.0,481.0,"1,048,951.00",15-08-2022
OHL,479.0,484.0,477.7,"1,175.00",484.0,485.0,"565,452.50",16-08-2022
OHL,475.5,489.0,475.5,"1,451.00",480.0,484.0,"696,271.00",17-08-2022
OHL,480.0,489.6,480.0,"1,163.00",485.0,480.0,"564,598.00",18-08-2022
OHL,480.00,489.60,480.00,"1,163.00",485.00,480.00,"564,598.00",19-08-2022
