Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
PROFL,286.4,303.7,284.0,"11,187.00",293.0,292.0,"3,271,788.30",10-08-2022
PROFL,286.4,303.7,284.0,"11,187.00",293.0,292.0,"3,271,788.30",10-08-2022
PROFL,293.0,296.0,282.8,"18,656.00",284.0,293.0,"5,377,289.60",11-08-2022
PROFL,293.0,296.0,282.8,"18,656.00",284.0,293.0,"5,377,289.60",12-08-2022
PROFL,293.0,296.0,282.8,"18,656.00",284.0,293.0,"5,377,289.60",13-08-2022
PROFL,284.0,289.0,279.0,"8,226.00",279.0,284.0,"2,324,460.70",14-08-2022
PROFL,279.0,301.0,279.0,"21,179.00",301.0,279.0,"6,211,675.30",15-08-2022
PROFL,307.0,312.0,290.0,"31,872.00",291.9,301.0,"9,578,079.90",16-08-2022
PROFL,296.8,306.0,290.1,"34,087.00",300.0,291.9,"10,188,218.50",17-08-2022
PROFL,306.0,321.0,301.1,"90,203.00",315.1,300.0,"28,124,630.40",18-08-2022
PROFL,306.0,321.0,301.1,"90,203.00",315.1,300.0,"28,124,630.40",19-08-2022
PROFL,306.0,321.0,301.1,"90,203.00",315.1,300.0,"28,124,630.40",20-08-2022
PROFL,320.1,327.4,314.2,"75,888.00",317.9,315.1,"24,470,305.50",21-08-2022
PROFL,317.9,324.0,311.8,"30,537.00",318.0,317.9,"9,710,473.20",22-08-2022
PROFL,323.9,327.0,310.7,"14,827.00",313.0,318.0,"4,692,942.50",23-08-2022
PROFL,315.0,321.0,311.3,"41,492.00",314.0,313.0,"13,206,862.30",24-08-2022
PROFL,320.2,326.6,303.0,"14,568.00",305.0,314.0,"4,500,385.60",25-08-2022
PROFL,302.0,311.1,298.9,"26,924.00",303.0,305.0,"8,149,400.90",26-08-2022
PROFL,302.0,311.1,298.9,"26,924.00",303.0,305.0,"8,149,400.90",27-08-2022
PROFL,307.0,309.0,290.2,"54,087.00",296.0,303.0,"16,254,982.80",28-08-2022
PROFL,290.6,303.0,284.8,"16,270.00",300.0,296.0,"4,773,352.90",29-08-2022
PROFL,294.0,312.1,289.1,"12,446.00",296.0,300.0,"3,682,594.20",30-08-2022
PROFL,290.2,301.8,288.0,"6,840.00",288.0,296.0,"1,985,238.80",31-08-2022
PROFL,282.5,300.0,281.1,"18,201.00",299.0,288.0,"5,293,040.30",01-09-2022
PROFL,301.0,304.9,292.1,"7,608.00",292.1,299.0,"2,264,495.70",02-09-2022
PROFL,301.0,304.9,292.1,"7,608.00",292.1,299.0,"2,264,495.70",03-09-2022
PROFL,297.9,303.0,291.2,"5,056.00",291.2,292.1,"1,493,157.20",04-09-2022
PROFL,296.5,299.6,289.1,"4,878.00",289.5,291.2,"1,421,913.20",05-09-2022
PROFL,285.0,295.0,282.0,"10,505.00",282.0,289.5,"2,992,403.50",06-09-2022
PROFL,278.0,285.4,277.4,"8,029.00",281.0,282.0,"2,255,319.70",07-09-2022
PROFL,277.5,300.0,276.0,"46,573.00",289.9,281.0,"13,127,616.50",08-09-2022
PROFL,277.5,300.0,276.0,"46,573.00",289.9,281.0,"13,127,616.50",09-09-2022
PROFL,277.5,300.0,276.0,"46,573.00",289.9,281.0,"13,127,616.50",10-09-2022
PROFL,295.0,295.0,282.0,"4,206.00",282.0,289.9,"1,197,698.30",11-09-2022
PROFL,277.9,287.6,277.0,"10,415.00",278.0,282.0,"2,904,928.70",12-09-2022
PROFL,278.5,288.8,278.0,"7,717.00",285.0,278.0,"2,205,429.80",13-09-2022
PROFL,290.0,300.5,289.6,"19,445.00",300.0,285.0,"5,758,714.60",14-09-2022
PROFL,301.0,305.0,281.5,"29,873.00",285.0,300.0,"8,688,272.40",15-09-2022
PROFL,279.3,290.0,273.9,"6,902.00",287.0,285.0,"1,934,939.40",16-09-2022
PROFL,279.3,290.0,273.9,"6,902.00",287.0,285.0,"1,934,939.40",17-09-2022
PROFL,282.5,289.0,277.5,"9,843.00",280.0,287.0,"2,767,454.80",18-09-2022
PROFL,282.5,289.0,277.5,"9,843.00",280.0,287.0,"2,767,454.80",19-09-2022
PROFL,285.0,285.6,264.0,"9,173.00",264.7,280.0,"2,486,127.30",20-09-2022
PROFL,269.9,274.0,267.1,"4,852.00",269.0,264.7,"1,310,567.00",21-09-2022
PROFL,264.0,271.0,262.0,"4,604.00",262.0,269.0,"1,221,362.50",22-09-2022
PROFL,264.0,271.0,262.0,"4,604.00",262.0,269.0,"1,221,362.50",23-09-2022
PROFL,264.0,271.0,262.0,"4,604.00",262.0,269.0,"1,221,362.50",24-09-2022
PROFL,264.00,264.00,249.30,"9,455.00",249.30,262.00,"2,402,889.80",25-09-2022
