Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
PRVU,208.0,210.0,205.1,"68,306.00",207.9,208.5,"14,181,731.90",10-08-2022
PRVU,208.0,210.0,205.1,"68,306.00",207.9,208.5,"14,181,731.90",10-08-2022
PRVU,208.0,210.0,206.2,"58,647.00",206.5,207.9,"12,163,887.20",11-08-2022
PRVU,208.0,210.0,206.2,"58,647.00",206.5,207.9,"12,163,887.20",12-08-2022
PRVU,208.0,210.0,206.2,"58,647.00",206.5,207.9,"12,163,887.20",13-08-2022
PRVU,205.1,275.0,205.0,"42,616.00",206.0,206.5,"9,147,408.40",14-08-2022
PRVU,202.0,210.0,202.0,"32,888.00",210.0,206.0,"6,859,764.10",15-08-2022
PRVU,211.8,214.0,207.0,"44,638.00",207.0,210.0,"9,380,505.10",16-08-2022
PRVU,205.0,210.0,205.0,"49,644.00",207.5,207.0,"10,294,034.70",17-08-2022
PRVU,209.0,211.0,208.0,"32,614.00",210.0,207.5,"6,830,142.10",18-08-2022
PRVU,209.00,211.00,208.00,"32,614.00",210.00,207.50,"6,830,142.10",19-08-2022
