Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
PSF,8.35,8.39,8.3,"6,620.00",8.3,8.5,"55,195.00",10-08-2022
PSF,8.35,8.39,8.3,"6,620.00",8.3,8.5,"55,195.00",10-08-2022
PSF,8.2,8.27,8.16,"34,520.00",8.18,8.3,"283,015.85",11-08-2022
PSF,8.2,8.27,8.16,"34,520.00",8.18,8.3,"283,015.85",12-08-2022
PSF,8.2,8.27,8.16,"34,520.00",8.18,8.3,"283,015.85",13-08-2022
PSF,8.15,8.18,8.07,"47,815.00",8.1,8.18,"388,751.65",14-08-2022
PSF,7.97,8.26,7.97,"13,475.00",8.19,8.1,"110,610.25",15-08-2022
PSF,8.12,8.2,8.12,"3,350.00",8.18,8.19,"27,388.50",16-08-2022
PSF,8.13,8.2,8.06,"9,200.00",8.06,8.18,"74,764.00",17-08-2022
PSF,7.96,8.27,7.96,"6,500.00",8.27,8.06,"53,037.00",18-08-2022
PSF,7.96,8.27,7.96,"6,500.00",8.27,8.06,"53,037.00",19-08-2022
PSF,7.96,8.27,7.96,"6,500.00",8.27,8.06,"53,037.00",20-08-2022
