Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
PURE,810.0,818.8,803.0,"5,840.00",813.0,826.0,"4,741,887.80",06-07-2026
PURE,791.0,825.0,791.0,"3,076.00",814.0,813.0,"2,500,803.40",07-07-2026
PURE,800.0,802.0,770.2,"7,384.00",770.2,814.0,"5,787,147.70",08-07-2026
PURE,780.0,780.0,736.2,"8,519.00",749.9,770.2,"6,389,451.00",09-07-2026
PURE,755.0,755.0,738.1,"3,562.00",744.0,749.9,"2,647,424.10",10-07-2026
PURE,730.1,752.0,720.0,"3,641.00",723.0,744.0,"2,648,470.50",13-07-2026
PURE,723.0,760.6,706.2,"8,693.00",740.0,723.0,"6,376,403.70",14-07-2026
PURE,732.2,760.0,732.2,"3,238.00",759.0,740.0,"2,417,382.20",15-07-2026
PURE,753.0,865.0,745.3,"8,388.00",865.0,759.0,"6,466,370.00",16-07-2026
PURE,821.8,870.0,797.0,"10,043.00",870.0,865.0,"8,420,402.60",17-07-2026
PURE,870.0,879.9,847.0,"5,091.00",872.0,870.0,"4,395,840.00",20-07-2026
PURE,872.0,874.9,839.0,"8,595.00",841.0,872.0,"7,367,528.00",21-07-2026
PURE,842.0,885.0,825.0,"24,572.00",885.0,841.0,"21,168,892.90",22-07-2026
PURE,840.8,890.0,840.8,"5,046.00",890.0,885.0,"4,408,793.90",23-07-2026
PURE,872.9,899.0,854.0,"7,627.00",855.0,898.0,"6,603,785.00",27-07-2026
PURE,840.1,871.3,840.1,"11,502.00",871.3,855.0,"9,820,500.30",28-07-2026
PURE,845.7,872.0,845.7,"5,344.00",861.0,871.3,"4,594,608.60",29-07-2026
PURE,841.0,855.7,840.0,"3,160.00",852.9,861.0,"2,674,521.00",30-07-2026
PURE,833.0,863.0,829.0,"6,604.00",863.0,852.9,"5,557,204.30",31-07-2026
PURE,851.0,873.0,844.0,"6,331.00",850.0,863.0,"5,387,271.60",03-08-2026
PURE,828.1,852.9,828.1,"4,908.00",849.5,850.0,"4,153,651.00",04-08-2026
PURE,827.0,856.0,827.0,"1,616.00",837.6,849.5,"1,356,635.60",05-08-2026
PURE,825.0,834.0,825.0,"2,721.00",825.5,837.6,"2,250,845.70",06-08-2026
PURE,830.0,847.9,816.1,"20,112.00",820.0,825.5,"16,743,490.10",07-08-2026
PURE,805.5,835.0,805.5,"1,858.00",820.0,820.0,"1,510,147.00",10-08-2026
PURE,815.0,826.0,815.0,"1,772.00",826.0,820.0,"1,452,772.00",11-08-2026
PURE,816.0,830.0,806.0,"11,760.00",829.0,826.0,"9,736,917.60",12-08-2026
PURE,807.1,825.0,807.1,"2,680.00",820.0,829.0,"2,205,694.30",13-08-2026
PURE,803.1,825.0,803.1,707.00,819.0,820.0,"578,071.70",14-08-2026
PURE,815.0,839.9,815.0,"3,945.00",827.5,819.0,"3,270,212.70",17-08-2026
PURE,820.0,830.0,810.0,"7,304.00",825.0,827.5,"5,980,718.60",18-08-2026
PURE,805.2,816.0,805.2,"8,313.00",814.8,825.0,"6,760,359.00",19-08-2026
PURE,800.0,820.0,785.0,"7,110.00",807.0,814.8,"5,658,455.90",20-08-2026
PURE,795.0,805.0,783.4,"14,570.00",797.0,807.0,"11,644,523.40",21-08-2026
PURE,797.0,797.0,743.0,"8,386.00",769.3,797.0,"6,378,306.00",24-08-2026
PURE,769.3,770.0,746.3,"3,109.00",766.0,769.3,"2,363,613.30",25-08-2026
PURE,748.0,764.9,736.8,"5,981.00",759.0,766.0,"4,475,231.00",26-08-2026
PURE,746.1,775.0,746.1,"6,232.00",775.0,768.0,"4,705,069.30",31-08-2026
PURE,774.4,797.6,750.0,"6,497.00",763.0,775.0,"4,937,995.20",01-09-2026
PURE,750.1,774.5,745.0,"6,898.00",763.8,763.0,"5,292,735.90",02-09-2026
PURE,770.00,774.00,662.00,"8,483.00",662.00,763.80,"6,299,466.10",03-09-2026
