Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RADHI,563.5,580.0,563.5,"17,765.00",571.9,575.0,"10,177,392.60",10-08-2022
RADHI,563.5,580.0,563.5,"17,765.00",571.9,575.0,"10,177,392.60",10-08-2022
RADHI,560.7,586.4,560.7,"16,944.00",570.6,571.9,"9,740,547.40",11-08-2022
RADHI,560.7,586.4,560.7,"16,944.00",570.6,571.9,"9,740,547.40",12-08-2022
RADHI,560.7,586.4,560.7,"16,944.00",570.6,571.9,"9,740,547.40",13-08-2022
RADHI,570.0,577.0,561.0,"18,087.00",561.0,570.6,"10,264,488.50",14-08-2022
RADHI,554.0,617.1,554.0,"31,246.00",617.1,561.0,"18,229,749.80",15-08-2022
RADHI,617.1,617.1,591.8,"39,012.00",592.0,617.1,"23,474,317.60",16-08-2022
RADHI,582.3,617.8,582.3,"18,210.00",590.5,592.0,"10,866,901.00",17-08-2022
RADHI,583.8,649.5,578.8,"36,979.00",600.2,590.5,"22,210,188.80",18-08-2022
RADHI,583.8,649.5,578.8,"36,979.00",600.2,590.5,"22,210,188.80",19-08-2022
RADHI,583.8,649.5,578.8,"36,979.00",600.2,590.5,"22,210,188.80",20-08-2022
RADHI,612.0,615.0,593.8,"79,068.00",595.0,600.2,"47,466,035.90",21-08-2022
RADHI,598.0,598.0,577.0,"37,919.00",580.0,595.0,"22,101,460.70",22-08-2022
RADHI,568.4,584.8,568.4,"39,660.00",572.0,580.0,"22,781,419.90",23-08-2022
RADHI,583.0,583.0,568.0,"34,991.00",570.0,572.0,"20,044,643.50",24-08-2022
RADHI,575.0,579.0,553.8,"86,057.00",557.0,570.0,"48,374,685.20",25-08-2022
RADHI,545.9,565.0,545.0,"78,050.00",549.0,557.0,"42,841,689.90",26-08-2022
RADHI,545.9,565.0,545.0,"78,050.00",549.0,557.0,"42,841,689.90",27-08-2022
RADHI,287.0,309.5,287.0,"169,447.00",298.0,281.4,"51,420,230.00",28-08-2022
RADHI,303.9,303.9,290.0,"32,609.00",291.0,298.0,"9,532,902.40",29-08-2022
RADHI,291.0,292.9,285.0,"21,112.00",286.0,291.0,"6,071,103.40",30-08-2022
