Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RAWA,249.3,274.2,249.3,"1,610.00",274.2,249.3,"440,365.60",05-07-2023
RAWA,279.6,301.6,279.6,"24,638.00",301.6,274.2,"7,428,062.80",06-07-2023
RAWA,279.6,301.6,279.6,"24,638.00",301.6,274.2,"7,428,062.80",07-07-2023
RAWA,279.6,301.6,279.6,"24,638.00",301.6,274.2,"7,428,062.80",08-07-2023
RAWA,307.6,331.7,307.6,"16,525.00",331.7,301.6,"5,478,942.10",09-07-2023
RAWA,338.3,364.8,332.5,"32,047.00",364.8,331.7,"11,550,826.10",10-07-2023
RAWA,372.0,401.2,365.0,"10,100.00",401.2,364.8,"4,016,220.00",11-07-2023
RAWA,401.0,415.0,361.1,"38,727.00",361.1,401.2,"14,186,587.30",12-07-2023
RAWA,360.0,363.0,333.2,"18,418.00",357.0,361.1,"6,528,373.10",13-07-2023
RAWA,360.0,363.0,333.2,"18,418.00",357.0,361.1,"6,528,373.10",14-07-2023
RAWA,360.0,363.0,333.2,"18,418.00",357.0,361.1,"6,528,373.10",15-07-2023
RAWA,357.0,364.0,350.1,"11,229.00",353.2,357.0,"3,961,376.50",16-07-2023
RAWA,346.2,358.0,346.2,"8,094.00",354.0,353.2,"2,864,496.00",17-07-2023
RAWA,361.0,361.0,351.0,"6,348.00",355.9,354.0,"2,246,927.00",18-07-2023
RAWA,351.00,360.00,345.10,"9,470.00",356.00,355.90,"3,380,191.40",19-07-2023
