Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RBBF40,9.2,9.4,9.1,"7,700.00",9.1,9.25,"70,614.00",06-07-2026
RBBF40,9.2,10.36,9.2,"10,150.00",10.36,9.1,"96,815.00",07-07-2026
RBBF40,10.05,10.36,9.5,"10,481.00",9.83,10.36,"103,171.38",08-07-2026
RBBF40,9.79,9.79,9.5,"2,700.00",9.5,9.83,"25,708.00",09-07-2026
RBBF40,9.25,9.5,9.25,"2,400.00",9.26,9.5,"22,233.00",10-07-2026
RBBF40,9.5,9.53,9.15,"2,652,000.00",9.15,9.26,"24,557,553.10",13-07-2026
RBBF40,9.15,9.5,9.01,"2,451,040.00",9.3,9.15,"22,650,705.00",14-07-2026
RBBF40,9.3,9.3,9.03,"38,301.00",9.25,9.3,"355,287.80",15-07-2026
RBBF40,9.71,9.99,9.15,"12,450.00",9.99,9.25,"116,937.00",16-07-2026
RBBF40,9.7,9.7,9.23,"15,441.00",9.38,9.99,"143,952.50",17-07-2026
RBBF40,9.38,9.38,9.18,"91,250.00",9.18,9.38,"850,946.00",20-07-2026
