Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RBCL,"14,000.00","14,000.00","13,800.00",290.0,"13,860.00","13,925.00","4,027,924.00",10-08-2022
RBCL,"14,000.00","14,000.00","13,800.00",290.0,"13,860.00","13,925.00","4,027,924.00",10-08-2022
RBCL,"14,000.00","14,000.00","13,765.00",477.0,"13,800.00","13,860.00","6,621,462.00",11-08-2022
RBCL,"14,000.00","14,000.00","13,765.00",477.0,"13,800.00","13,860.00","6,621,462.00",12-08-2022
RBCL,"14,000.00","14,000.00","13,765.00",477.0,"13,800.00","13,860.00","6,621,462.00",13-08-2022
RBCL,"13,999.00","14,000.00","13,700.00",324.0,"13,845.00","13,800.00","4,461,905.00",14-08-2022
RBCL,"14,121.00","14,550.00","14,121.00","1,025.00","14,490.00","13,845.00","14,795,638.60",15-08-2022
RBCL,"14,770.00","14,770.00","14,001.00",449.00,"14,001.00","14,490.00","6,383,026.00",16-08-2022
RBCL,"14,281.00","14,281.00","14,000.00",355.00,"14,250.00","14,001.00","5,026,085.00",17-08-2022
RBCL,"14,250.00","14,400.00","14,250.00",320.00,"14,251.00","14,250.00","4,579,170.00",18-08-2022
RBCL,"14,250.00","14,400.00","14,250.00",320.00,"14,251.00","14,250.00","4,579,170.00",19-08-2022
RBCL,"14,250.00","14,400.00","14,250.00",320.00,"14,251.00","14,250.00","4,579,170.00",20-08-2022
RBCL,"14,150.00","14,280.00","14,000.00",160.00,"14,280.00","14,251.00","2,252,620.00",21-08-2022
RBCL,"14,010.00","14,340.00","14,010.00",220.00,"14,022.30","14,280.00","3,126,883.00",22-08-2022
RBCL,"14,150.00","14,299.00","14,100.00",90.00,"14,100.00","14,022.30","1,275,000.00",23-08-2022
RBCL,"14,110.10","14,115.00","14,031.00",60.00,"14,031.00","14,100.00","845,161.00",24-08-2022
RBCL,"14,311.60","14,889.00","14,270.00",778.00,"14,300.00","14,031.00","11,213,908.40",25-08-2022
RBCL,"14,101.00","14,399.00","14,014.00",268.00,"14,210.00","14,300.00","3,818,580.00",26-08-2022
RBCL,"14,101.00","14,399.00","14,014.00",268.00,"14,210.00","14,300.00","3,818,580.00",27-08-2022
RBCL,"14,070.00","14,200.00","13,850.00",330.00,"13,900.00","14,210.00","4,621,909.00",28-08-2022
RBCL,"13,922.00","14,009.00","13,900.00",227.00,"13,990.00","13,900.00","3,161,550.00",29-08-2022
RBCL,"14,050.00","14,150.00","13,907.00",163.00,"13,907.00","13,990.00","2,283,690.00",30-08-2022
RBCL,"13,999.00","14,075.00","13,850.00",70.00,"13,990.00","13,907.00","977,630.00",31-08-2022
RBCL,"13,960.00","13,960.00","13,765.00",140.00,"13,800.00","13,990.00","1,932,291.00",01-09-2022
RBCL,"14,060.00","14,099.00","13,800.00",200.00,"13,800.00","13,800.00","2,781,231.00",02-09-2022
RBCL,"14,060.00","14,099.00","13,800.00",200.00,"13,800.00","13,800.00","2,781,231.00",03-09-2022
RBCL,"14,076.00","14,076.00","14,000.00",20.00,"14,000.00","13,800.00","280,760.00",04-09-2022
RBCL,"14,110.00","14,110.00","14,000.00",30.00,"14,000.00","14,000.00","421,100.00",05-09-2022
RBCL,"13,990.00","13,990.00","13,576.00",520.00,"13,576.00","14,000.00","7,122,273.00",06-09-2022
RBCL,"13,815.00","13,815.00","13,600.10",40.00,"13,600.10","13,576.00","547,641.00",07-09-2022
RBCL,"13,700.00","13,799.00","13,530.00",110.00,"13,560.00","13,600.10","1,507,230.00",08-09-2022
RBCL,"13,700.00","13,799.00","13,530.00",110.00,"13,560.00","13,600.10","1,507,230.00",09-09-2022
RBCL,"13,700.00","13,799.00","13,530.00",110.00,"13,560.00","13,600.10","1,507,230.00",10-09-2022
RBCL,"13,790.00","13,830.00","13,655.00",140.00,"13,655.00","13,560.00","1,927,000.00",11-09-2022
RBCL,"13,615.00","13,650.00","13,515.00",90.00,"13,540.00","13,655.00","1,221,710.00",12-09-2022
RBCL,"13,541.00","13,770.00","13,541.00",180.00,"13,651.00","13,540.00","2,463,248.00",13-09-2022
RBCL,"13,900.00","13,950.00","13,805.00",150.00,"13,806.70","13,651.00","2,083,726.00",14-09-2022
RBCL,"13,632.00","13,675.00","13,355.00",460.00,"13,355.00","13,806.70","6,217,210.00",15-09-2022
RBCL,"13,250.00","13,250.00","13,201.00",80.00,"13,201.00","13,355.00","1,057,121.00",16-09-2022
RBCL,"13,250.00","13,250.00","13,201.00",80.00,"13,201.00","13,355.00","1,057,121.00",17-09-2022
RBCL,"13,001.00","13,260.00","13,000.00",241.00,"13,021.00","13,201.00","3,146,491.00",18-09-2022
RBCL,"13,001.00","13,260.00","13,000.00",241.00,"13,021.00","13,201.00","3,146,491.00",19-09-2022
RBCL,"13,280.00","13,280.00","12,770.00",336.00,"12,885.00","13,021.00","4,306,040.10",20-09-2022
RBCL,"13,000.00","13,098.90","12,900.00",180.00,"12,900.00","12,885.00","2,336,408.00",21-09-2022
RBCL,"12,700.00","12,900.00","12,501.20",268.00,"12,505.00","12,900.00","3,398,523.00",22-09-2022
RBCL,"12,700.00","12,900.00","12,501.20",268.00,"12,505.00","12,900.00","3,398,523.00",23-09-2022
RBCL,"12,700.00","12,900.00","12,501.20",268.00,"12,505.00","12,900.00","3,398,523.00",24-09-2022
RBCL,"12,450.00","12,450.00","12,255.00",415.00,"12,286.00","12,505.00","5,100,438.00",25-09-2022
RBCL,"12,450.00","12,450.00","12,255.00",415.00,"12,286.00","12,505.00","5,100,438.00",26-09-2022
RBCL,"12,300.00","12,546.00","12,300.00",100.00,"12,400.10","12,286.00","1,242,071.00",27-09-2022
RBCL,"12,420.00","12,647.00","12,420.00",60.00,"12,647.00","12,400.10","753,100.00",28-09-2022
RBCL,"12,550.00","12,720.00","12,504.00",120.00,"12,719.00","12,647.00","1,511,280.00",29-09-2022
RBCL,"12,550.00","12,720.00","12,504.00",120.00,"12,719.00","12,647.00","1,511,280.00",30-09-2022
RBCL,"12,550.00","12,720.00","12,504.00",120.00,"12,719.00","12,647.00","1,511,280.00",01-10-2022
RBCL,"12,550.00","12,720.00","12,504.00",120.00,"12,719.00","12,647.00","1,511,280.00",02-10-2022
RBCL,"12,550.00","12,720.00","12,504.00",120.00,"12,719.00","12,647.00","1,511,280.00",03-10-2022
RBCL,"12,550.00","12,720.00","12,504.00",120.00,"12,719.00","12,647.00","1,511,280.00",04-10-2022
RBCL,"12,550.00","12,720.00","12,504.00",120.00,"12,719.00","12,647.00","1,511,280.00",05-10-2022
RBCL,"12,550.00","12,720.00","12,504.00",120.00,"12,719.00","12,647.00","1,511,280.00",06-10-2022
RBCL,"12,550.00","12,720.00","12,504.00",120.00,"12,719.00","12,647.00","1,511,280.00",07-10-2022
RBCL,"12,550.00","12,720.00","12,504.00",120.00,"12,719.00","12,647.00","1,511,280.00",08-10-2022
RBCL,"12,900.00","13,200.00","12,900.00",110.00,"13,200.00","12,719.00","1,438,093.00",09-10-2022
RBCL,"13,349.00","13,349.00","12,855.00",170.00,"12,855.00","13,200.00","2,209,702.00",10-10-2022
RBCL,"12,601.20","12,952.00","12,500.00",140.00,"12,500.00","12,855.00","1,764,060.00",11-10-2022
RBCL,"12,500.00","12,995.00","12,500.00",137.00,"12,600.00","12,500.00","1,727,642.00",12-10-2022
RBCL,"12,800.00","13,055.00","12,700.00",140.00,"12,800.00","12,600.00","1,792,800.00",13-10-2022
RBCL,"12,800.00","13,055.00","12,700.00",140.00,"12,800.00","12,600.00","1,792,800.00",14-10-2022
RBCL,"12,800.00","13,055.00","12,700.00",140.00,"12,800.00","12,600.00","1,792,800.00",15-10-2022
