Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RHPL,268.0,268.0,258.0,"33,524.00",264.0,263.0,"8,777,414.50",10-08-2022
RHPL,268.0,268.0,258.0,"33,524.00",264.0,263.0,"8,777,414.50",10-08-2022
RHPL,260.1,268.9,259.7,"20,695.00",260.0,264.0,"5,431,123.30",11-08-2022
RHPL,260.1,268.9,259.7,"20,695.00",260.0,264.0,"5,431,123.30",12-08-2022
RHPL,260.1,268.9,259.7,"20,695.00",260.0,264.0,"5,431,123.30",13-08-2022
RHPL,255.0,264.0,255.0,"26,274.00",259.0,260.0,"6,779,186.40",14-08-2022
RHPL,259.0,268.0,255.0,"26,275.00",265.0,259.0,"6,908,440.50",15-08-2022
RHPL,270.0,271.3,255.0,"46,106.00",259.0,265.0,"12,147,776.60",16-08-2022
RHPL,255.0,265.0,255.0,"12,397.00",259.0,259.0,"3,236,281.50",17-08-2022
RHPL,262.0,269.0,259.7,"27,607.00",262.0,259.0,"7,300,351.50",18-08-2022
RHPL,262.0,269.0,259.7,"27,607.00",262.0,259.0,"7,300,351.50",19-08-2022
RHPL,262.0,269.0,259.7,"27,607.00",262.0,259.0,"7,300,351.50",20-08-2022
RHPL,267.2,270.0,261.0,"15,385.00",261.2,262.0,"4,063,963.60",21-08-2022
RHPL,266.0,266.0,259.1,"12,634.00",259.1,261.2,"3,292,120.70",22-08-2022
RHPL,259.0,264.0,258.0,"17,237.00",260.0,259.1,"4,489,772.50",23-08-2022
RHPL,265.0,265.0,259.0,"14,480.00",259.0,260.0,"3,762,845.50",24-08-2022
RHPL,255.0,264.0,253.0,"35,420.00",257.0,259.0,"9,126,116.80",25-08-2022
RHPL,252.0,259.0,250.0,"16,772.00",250.0,257.0,"4,238,602.50",26-08-2022
RHPL,252.0,259.0,250.0,"16,772.00",250.0,257.0,"4,238,602.50",27-08-2022
RHPL,252.0,252.0,240.1,"25,089.00",242.0,250.0,"6,139,827.40",28-08-2022
