Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RMDC,870.0,885.4,868.0,"5,777.00",871.0,880.0,"5,062,797.30",10-08-2022
RMDC,870.0,885.4,868.0,"5,777.00",871.0,880.0,"5,062,797.30",10-08-2022
RMDC,884.0,885.0,861.0,"3,032.00",861.0,871.0,"2,638,835.00",11-08-2022
RMDC,884.0,885.0,861.0,"3,032.00",861.0,871.0,"2,638,835.00",12-08-2022
RMDC,884.0,885.0,861.0,"3,032.00",861.0,871.0,"2,638,835.00",13-08-2022
RMDC,852.0,865.0,850.0,"3,130.00",850.0,861.0,"2,679,439.60",14-08-2022
RMDC,850.0,882.0,850.0,"7,391.00",880.0,850.0,"6,431,329.00",15-08-2022
RMDC,890.0,903.0,875.0,"7,742.00",875.0,880.0,"6,882,658.40",16-08-2022
RMDC,887.0,891.0,872.2,"4,397.00",879.0,875.0,"3,864,539.80",17-08-2022
RMDC,879.0,906.0,879.0,"8,648.00",904.9,879.0,"7,787,116.10",18-08-2022
RMDC,879.0,906.0,879.0,"8,648.00",904.9,879.0,"7,787,116.10",19-08-2022
RMDC,879.0,906.0,879.0,"8,648.00",904.9,879.0,"7,787,116.10",20-08-2022
RMDC,922.0,924.9,904.0,"9,606.00",918.9,904.9,"8,803,676.30",21-08-2022
RMDC,904.0,917.9,900.0,"5,909.00",909.0,918.9,"5,374,257.90",22-08-2022
RMDC,903.0,917.7,895.0,"2,517.00",897.0,909.0,"2,266,316.00",23-08-2022
RMDC,900.0,914.9,898.1,"6,375.00",910.0,897.0,"5,763,306.80",24-08-2022
RMDC,912.0,914.0,899.0,"3,827.00",899.0,910.0,"3,460,346.20",25-08-2022
RMDC,895.0,909.0,880.0,"3,696.00",889.9,899.0,"3,275,705.00",26-08-2022
RMDC,895.0,909.0,880.0,"3,696.00",889.9,899.0,"3,275,705.00",27-08-2022
RMDC,874.0,891.0,870.0,"5,650.00",870.0,889.9,"4,947,589.20",28-08-2022
RMDC,870.0,875.0,855.1,"2,648.00",863.1,870.0,"2,288,470.10",29-08-2022
RMDC,880.0,880.0,863.0,"2,682.00",864.0,863.1,"2,329,595.90",30-08-2022
RMDC,878.5,878.9,840.0,"5,390.00",847.9,864.0,"4,597,130.00",31-08-2022
RMDC,858.0,858.0,836.2,"2,859.00",847.0,847.9,"2,417,740.40",01-09-2022
RMDC,860.0,860.0,845.0,950.00,854.0,847.0,"810,391.00",02-09-2022
RMDC,860.0,860.0,845.0,950.00,854.0,847.0,"810,391.00",03-09-2022
RMDC,855.0,858.0,845.0,"2,936.00",857.0,854.0,"2,498,134.00",04-09-2022
RMDC,860.0,864.9,850.0,"4,837.00",850.0,857.0,"4,146,150.30",05-09-2022
RMDC,840.5,847.0,840.2,"1,400.00",841.0,850.0,"1,180,116.00",06-09-2022
RMDC,841.0,841.0,819.0,"3,428.00",840.0,841.0,"2,838,447.60",07-09-2022
RMDC,840.0,845.0,834.5,"2,174.00",840.0,840.0,"1,823,779.50",08-09-2022
RMDC,840.0,845.0,834.5,"2,174.00",840.0,840.0,"1,823,779.50",09-09-2022
RMDC,840.0,845.0,834.5,"2,174.00",840.0,840.0,"1,823,779.50",10-09-2022
RMDC,840.0,856.8,820.1,"3,117.00",821.1,840.0,"2,595,012.50",11-09-2022
RMDC,821.0,824.0,812.0,"4,835.00",814.0,821.1,"3,951,231.30",12-09-2022
RMDC,815.0,834.0,815.0,"3,931.00",829.0,814.0,"3,261,785.80",13-09-2022
RMDC,844.0,870.0,844.0,"2,370.00",856.0,829.0,"2,027,312.20",14-09-2022
RMDC,873.0,873.0,824.0,"7,464.00",827.0,856.0,"6,223,016.70",15-09-2022
RMDC,815.0,847.0,777.0,"2,251.00",834.0,827.0,"1,821,783.00",16-09-2022
