Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RMF1,9.8,9.94,9.8,"9,100.00",9.94,9.8,"89,209.00",06-07-2026
RMF1,9.81,9.95,9.81,"1,550.00",9.81,9.94,"15,230.00",07-07-2026
RMF1,9.52,9.78,8.71,"4,700.00",9.78,9.81,"45,506.00",08-07-2026
RMF1,9.61,9.75,9.61,"6,200.00",9.7,9.78,"60,354.00",09-07-2026
RMF1,9.68,9.89,9.68,"7,600.00",9.8,9.7,"73,888.00",10-07-2026
RMF1,9.7,10.05,9.7,"28,500.00",9.79,9.8,"282,052.00",13-07-2026
RMF1,9.6,9.69,9.58,"1,127,140.00",9.69,9.79,"10,822,625.70",14-07-2026
RMF1,9.66,9.9,9.66,575.00,9.9,9.69,"5,581.00",15-07-2026
RMF1,10.05,10.05,9.66,"49,324.00",10.05,9.9,"478,488.80",16-07-2026
RMF1,9.76,9.98,9.76,"11,300.00",9.76,10.05,"110,861.00",17-07-2026
RMF1,9.62,9.9,9.62,"41,738.00",9.75,9.76,"406,849.20",20-07-2026
RMF1,10.0,10.0,9.7,"62,025.00",9.9,9.75,"603,552.50",21-07-2026
RMF1,9.85,9.96,9.65,"335,310.00",9.67,9.9,"3,237,084.50",22-07-2026
RMF1,10.15,10.15,9.53,"245,740.00",9.9,9.67,"2,367,057.00",23-07-2026
RMF1,9.99,10.89,9.68,"1,950.00",9.68,9.7,"19,723.00",27-07-2026
RMF1,9.39,9.97,9.39,"9,190.00",9.68,9.68,"87,176.50",28-07-2026
RMF1,9.39,9.88,9.11,"71,860.00",9.88,9.68,"680,790.60",29-07-2026
RMF1,9.87,9.98,9.6,"12,930.00",9.68,9.88,"126,302.40",30-07-2026
RMF1,9.55,9.78,9.55,"13,100.00",9.78,9.68,"127,012.00",31-07-2026
RMF1,9.56,9.84,9.56,"13,900.00",9.62,9.78,"134,879.80",03-08-2026
RMF1,9.55,9.81,9.55,"24,460.00",9.61,9.62,"237,294.90",04-08-2026
RMF1,9.58,9.7,9.55,"15,880.00",9.55,9.61,"152,644.00",05-08-2026
RMF1,9.55,9.68,9.4,"2,950.00",9.68,9.55,"28,162.50",06-08-2026
RMF1,9.50,9.67,9.40,"18,250.00",9.67,9.68,"175,255.50",07-08-2026
