Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RSDC,573.0,592.0,573.0,"5,466.00",575.0,584.0,"3,182,324.50",10-08-2022
RSDC,573.0,592.0,573.0,"5,466.00",575.0,584.0,"3,182,324.50",10-08-2022
RSDC,585.0,596.7,576.0,"2,453.00",576.0,575.0,"1,427,872.00",11-08-2022
RSDC,585.0,596.7,576.0,"2,453.00",576.0,575.0,"1,427,872.00",12-08-2022
RSDC,585.0,596.7,576.0,"2,453.00",576.0,575.0,"1,427,872.00",13-08-2022
RSDC,566.1,577.0,564.5,"2,274.00",564.5,576.0,"1,293,006.20",14-08-2022
RSDC,561.0,584.0,556.0,"3,328.00",584.0,564.5,"1,911,535.20",15-08-2022
RSDC,595.0,595.0,576.0,"3,631.00",576.0,584.0,"2,125,648.00",16-08-2022
RSDC,577.0,582.0,566.0,"1,215.00",571.1,576.0,"698,149.50",17-08-2022
RSDC,582.5,594.0,581.3,"2,876.00",582.2,571.1,"1,682,671.70",18-08-2022
RSDC,582.5,594.0,581.3,"2,876.00",582.2,571.1,"1,682,671.70",19-08-2022
RSDC,582.50,594.00,581.30,"2,876.00",582.20,571.10,"1,682,671.70",20-08-2022
