Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RSML,"3,360.00","3,360.00","3,070.00","18,466.00","3,070.00","3,200.00","57,610,005.30",06-07-2026
RSML,"3,001.00","3,097.00","3,001.00","36,795.00","3,097.00","3,070.00","111,970,637.50",07-07-2026
RSML,"3,020.00","3,109.00","3,020.00","16,075.00","3,040.00","3,097.00","49,191,246.70",08-07-2026
RSML,"3,000.00","3,090.00","2,949.00","53,793.00","2,999.00","3,040.00","161,375,132.40",09-07-2026
RSML,"2,940.00","3,049.00","2,940.00","41,428.00","3,034.90","2,999.00","124,240,352.50",10-07-2026
RSML,"3,000.00","3,048.00","2,975.00","23,433.00","3,029.00","3,034.90","70,136,937.10",13-07-2026
RSML,"2,980.00","3,037.00","2,967.00","41,025.00","3,025.00","3,029.00","122,554,770.00",14-07-2026
RSML,"2,981.00","3,070.00","2,981.00","27,505.00","3,000.00","3,025.00","82,706,234.50",15-07-2026
RSML,"2,970.00","3,035.00","2,960.00","29,513.00","2,970.00","3,000.00","88,417,221.60",16-07-2026
RSML,"2,940.00","3,200.00","2,940.00","49,947.00","3,200.00","2,970.00","156,008,817.40",17-07-2026
RSML,"3,150.00","3,498.00","3,150.00","73,255.00","3,498.00","3,200.00","244,657,766.00",20-07-2026
RSML,"3,460.00","3,650.00","3,460.00","77,289.00","3,545.00","3,498.00","273,431,989.60",21-07-2026
RSML,"3,450.00","3,681.00","3,450.00","75,158.00","3,681.00","3,545.00","263,235,757.10",22-07-2026
RSML,"3,510.00","3,791.00","3,484.90","80,405.00","3,516.00","3,681.00","283,319,144.70",23-07-2026
RSML,"3,320.00","3,419.60","3,200.10","102,801.00","3,240.00","3,494.00","338,666,581.30",27-07-2026
RSML,"3,401.00","3,401.00","3,100.00","51,466.00","3,185.00","3,240.00","161,360,121.00",28-07-2026
RSML,"3,110.00","3,200.00","3,080.50","57,561.00","3,118.00","3,185.00","179,134,488.70",29-07-2026
RSML,"3,051.00","3,134.90","2,970.50","80,858.00","3,024.00","3,118.00","243,843,238.70",30-07-2026
RSML,"3,175.00","3,175.00","2,950.00","38,722.00","2,999.00","3,024.00","116,021,764.90",31-07-2026
RSML,"3,148.00","3,148.00","2,775.00","95,826.00","2,780.00","2,999.00","276,287,011.90",03-08-2026
RSML,"2,780.00","2,850.00","2,561.20","45,708.00","2,705.00","2,780.00","122,461,606.30",04-08-2026
RSML,"2,650.00","2,699.00","2,580.00","31,835.00","2,619.00","2,705.00","84,402,232.00",05-08-2026
RSML,"2,600.00","2,600.00","2,510.00","49,202.00","2,541.60","2,619.00","125,711,542.90",06-08-2026
