Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RURU,800.0,810.0,785.0,368.0,800.0,810.0,"292,706.40",10-08-2022
RURU,800.0,810.0,785.0,368.0,800.0,810.0,"292,706.40",10-08-2022
RURU,805.0,821.0,790.0,286.0,817.0,800.0,"230,551.00",11-08-2022
RURU,805.0,821.0,790.0,286.0,817.0,800.0,"230,551.00",12-08-2022
RURU,805.0,821.0,790.0,286.0,817.0,800.0,"230,551.00",13-08-2022
RURU,832.9,832.9,784.0,"1,839.00",812.0,817.0,"1,467,506.60",14-08-2022
RURU,810.0,825.0,802.0,"3,484.00",824.9,812.0,"2,819,855.10",15-08-2022
RURU,835.0,850.0,809.0,924.00,824.9,824.9,"767,123.70",16-08-2022
RURU,839.9,839.9,808.0,"1,207.00",839.0,824.9,"990,624.20",17-08-2022
RURU,822.3,855.0,810.0,699.00,845.0,839.0,"581,615.30",18-08-2022
RURU,822.30,855.00,810.00,699.00,845.00,839.00,"581,615.30",19-08-2022
