Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SABSL,"1,070.00","1,090.90","1,050.00",837.0,"1,062.00","1,091.00","893,054.00",10-08-2022
SABSL,"1,070.00","1,090.90","1,050.00",837.0,"1,062.00","1,091.00","893,054.00",10-08-2022
SABSL,"1,083.00","1,110.00","1,060.00","2,193.00","1,080.00","1,062.00","2,368,275.70",11-08-2022
SABSL,"1,083.00","1,110.00","1,060.00","2,193.00","1,080.00","1,062.00","2,368,275.70",12-08-2022
SABSL,"1,083.00","1,110.00","1,060.00","2,193.00","1,080.00","1,062.00","2,368,275.70",13-08-2022
SABSL,"1,100.00","1,100.00","1,060.00","1,031.00","1,075.00","1,080.00","1,105,768.30",14-08-2022
SABSL,"1,090.00","1,111.00","1,070.10","1,629.00","1,108.00","1,075.00","1,777,237.40",15-08-2022
SABSL,"1,129.00","1,130.00","1,056.50","2,120.00","1,094.00","1,108.00","2,373,118.60",16-08-2022
SABSL,"1,073.00","1,104.10","1,052.10",891.00,"1,058.40","1,094.00","956,689.90",17-08-2022
SABSL,"1,079.50","1,101.00","1,072.50",818.00,"1,074.00","1,058.40","883,680.00",18-08-2022
SABSL,"1,079.50","1,101.00","1,072.50",818.00,"1,074.00","1,058.40","883,680.00",19-08-2022
SABSL,"1,079.50","1,101.00","1,072.50",818.00,"1,074.00","1,058.40","883,680.00",20-08-2022
SABSL,"1,095.00","1,103.60","1,066.10",716.00,"1,103.60","1,074.00","770,141.80",21-08-2022
SABSL,"1,085.00","1,086.00","1,061.00","2,016.00","1,071.10","1,103.60","2,164,310.80",22-08-2022
SABSL,"1,089.90","1,100.00","1,060.30",881.00,"1,099.00","1,071.10","952,581.30",23-08-2022
SABSL,"1,110.00","1,111.00","1,064.00",490.00,"1,105.00","1,099.00","538,278.50",24-08-2022
SABSL,"1,085.00","1,104.00","1,084.00",393.00,"1,100.00","1,105.00","430,445.10",25-08-2022
SABSL,"1,080.00","1,080.00","1,057.00",223.00,"1,072.00","1,100.00","239,421.00",26-08-2022
SABSL,"1,080.00","1,080.00","1,057.00",223.00,"1,072.00","1,100.00","239,421.00",27-08-2022
SABSL,"1,060.10","1,074.40","1,045.00",838.00,"1,074.40","1,072.00","885,324.00",28-08-2022
SABSL,"1,085.00","1,085.00","1,059.00",356.00,"1,078.00","1,074.40","382,148.00",29-08-2022
SABSL,"1,078.00","1,080.00","1,060.00",241.00,"1,079.00","1,078.00","256,980.30",30-08-2022
SABSL,"1,057.50","1,060.00","1,031.00",811.00,"1,040.00","1,079.00","846,756.10",31-08-2022
SABSL,"1,021.00","1,050.00","1,021.00",606.00,"1,050.00","1,040.00","627,186.20",01-09-2022
SABSL,"1,050.00","1,050.00","1,035.00",100.00,"1,035.00","1,050.00","103,952.10",02-09-2022
SABSL,"1,050.00","1,050.00","1,035.00",100.00,"1,035.00","1,050.00","103,952.10",03-09-2022
SABSL,"1,055.00","1,055.00","1,020.10","1,048.00","1,025.00","1,035.00","1,077,392.30",04-09-2022
