Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SAEF2,10.0,10.0,9.4,"26,800.00",9.5,10.0,"255,176.00",06-08-2026
SAEF2,9.4,9.5,9.13,"12,800.00",9.5,9.5,"119,230.00",07-08-2026
SAEF2,9.22,9.4,9.15,"7,350.00",9.26,9.5,"67,761.00",10-08-2026
SAEF2,9.1,9.11,9.0,"11,415.00",9.07,9.26,"103,320.05",11-08-2026
SAEF2,9.0,9.34,8.9,"8,590.00",9.08,9.07,"77,872.50",12-08-2026
SAEF2,9.0,9.4,8.76,"8,395.00",9.02,9.08,"76,023.50",13-08-2026
SAEF2,9.0,9.78,9.0,"8,200.00",9.13,9.02,"74,998.00",14-08-2026
SAEF2,9.1,9.4,8.92,"6,120.00",9.09,9.13,"55,847.50",17-08-2026
SAEF2,8.9,9.25,8.9,"6,430.00",9.07,9.09,"58,458.00",18-08-2026
SAEF2,9.0,9.27,9.0,"6,370.00",9.03,9.07,"57,640.80",19-08-2026
SAEF2,9.02,9.08,9.02,"3,950.00",9.04,9.03,"35,687.00",20-08-2026
SAEF2,9.01,9.02,9.0,"5,300.00",9.01,9.04,"47,758.00",21-08-2026
SAEF2,9.0,9.1,9.0,"4,500.00",9.06,9.01,"40,643.00",24-08-2026
SAEF2,9.01,9.3,9.01,"8,210.00",9.04,9.06,"74,466.80",25-08-2026
SAEF2,9.04,9.1,9.02,"2,600.00",9.05,9.04,"23,562.00",26-08-2026
SAEF2,8.87,9.05,8.8,"4,700.00",9.0,9.05,"42,201.00",31-08-2026
SAEF2,8.8,9.05,8.8,"4,925.00",9.0,9.0,"44,383.00",01-09-2026
SAEF2,9.0,9.2,8.97,"3,300.00",8.99,9.0,"29,809.00",02-09-2026
SAEF2,8.97,9.1,8.97,"3,300.00",9.03,8.99,"29,774.00",03-09-2026
SAEF2,9.03,9.1,8.99,"11,000.00",9.0,9.03,"99,270.00",07-09-2026
SAEF2,9.0,9.2,8.97,"10,100.00",9.0,9.0,"90,853.00",09-09-2026
SAEF2,8.97,9.22,8.97,"7,850.00",9.0,9.0,"71,132.00",10-09-2026
SAEF2,8.97,9.23,8.97,"5,550.00",9.00,9.00,"50,001.00",11-09-2026
