Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SAGF,10.0,10.0,10.0,200.0,10.0,0.0,"2,000.00",15-03-2023
SAGF,9.81,9.81,9.58,"3,840.00",9.58,10.0,"37,205.20",16-03-2023
SAGF,9.81,9.81,9.58,"3,840.00",9.58,10.0,"37,205.20",17-03-2023
SAGF,9.81,9.81,9.58,"3,840.00",9.58,10.0,"37,205.20",18-03-2023
SAGF,9.39,9.39,8.76,"5,100.00",8.76,9.58,"45,967.50",19-03-2023
SAGF,8.75,8.75,8.33,"8,275.00",8.37,8.76,"71,514.90",20-03-2023
SAGF,8.75,8.75,8.33,"8,275.00",8.37,8.76,"71,514.90",21-03-2023
SAGF,8.21,8.21,7.86,"5,175.00",7.88,8.37,"41,225.00",22-03-2023
SAGF,7.75,7.9,7.6,"3,200.00",7.77,7.88,"24,868.00",23-03-2023
SAGF,7.75,7.9,7.6,"3,200.00",7.77,7.88,"24,868.00",24-03-2023
SAGF,7.75,7.9,7.6,"3,200.00",7.77,7.88,"24,868.00",25-03-2023
SAGF,7.62,7.65,7.32,"6,900.00",7.44,7.77,"51,428.25",26-03-2023
