Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SAHAS,521.0,560.0,520.7,"36,539.00",542.0,531.1,"19,584,154.90",10-08-2022
SAHAS,521.0,560.0,520.7,"36,539.00",542.0,531.1,"19,584,154.90",10-08-2022
SAHAS,552.8,552.8,533.1,"20,276.00",533.3,542.0,"10,925,491.40",11-08-2022
SAHAS,552.8,552.8,533.1,"20,276.00",533.3,542.0,"10,925,491.40",12-08-2022
SAHAS,552.8,552.8,533.1,"20,276.00",533.3,542.0,"10,925,491.40",13-08-2022
SAHAS,522.7,548.0,522.7,"31,401.00",525.0,533.3,"16,623,425.20",14-08-2022
SAHAS,515.1,545.0,515.1,"28,126.00",540.0,525.0,"15,090,834.80",15-08-2022
SAHAS,545.0,545.0,520.0,"21,926.00",521.0,540.0,"11,638,487.10",16-08-2022
SAHAS,521.0,537.0,519.0,"16,056.00",530.0,521.0,"8,486,812.90",17-08-2022
SAHAS,529.0,549.0,526.0,"41,452.00",538.0,530.0,"22,521,050.00",18-08-2022
SAHAS,529.0,549.0,526.0,"41,452.00",538.0,530.0,"22,521,050.00",19-08-2022
SAHAS,529.0,549.0,526.0,"41,452.00",538.0,530.0,"22,521,050.00",20-08-2022
SAHAS,548.0,548.6,530.0,"41,629.00",534.0,538.0,"22,362,485.50",21-08-2022
SAHAS,540.0,543.0,527.0,"17,810.00",529.0,534.0,"9,453,636.00",22-08-2022
SAHAS,521.0,540.6,521.0,"13,744.00",535.0,529.0,"7,341,888.30",23-08-2022
SAHAS,534.0,545.0,527.0,"18,946.00",531.0,535.0,"10,124,666.40",24-08-2022
SAHAS,528.1,538.0,522.0,"18,922.00",522.1,531.0,"9,984,447.50",25-08-2022
SAHAS,515.0,529.3,515.0,"17,863.00",520.0,522.1,"9,296,918.50",26-08-2022
SAHAS,515.0,529.3,515.0,"17,863.00",520.0,522.1,"9,296,918.50",27-08-2022
SAHAS,510.1,530.0,495.0,"47,766.00",496.0,520.0,"23,996,292.40",28-08-2022
SAHAS,488.1,497.0,488.1,"16,250.00",493.2,496.0,"7,999,480.00",29-08-2022
SAHAS,490.0,508.0,490.0,"18,536.00",496.9,493.2,"9,249,971.50",30-08-2022
SAHAS,490.0,500.0,485.0,"19,471.00",487.0,496.9,"9,532,039.50",31-08-2022
SAHAS,487.0,495.0,468.5,"15,007.00",479.0,487.0,"7,149,762.20",01-09-2022
SAHAS,474.0,483.0,472.0,"2,885.00",479.5,479.0,"1,383,251.00",02-09-2022
SAHAS,474.0,483.0,472.0,"2,885.00",479.5,479.0,"1,383,251.00",03-09-2022
SAHAS,489.0,489.0,478.0,"10,322.00",480.0,479.5,"4,974,773.00",04-09-2022
SAHAS,475.0,510.0,475.0,"14,175.00",492.0,480.0,"6,996,861.30",05-09-2022
SAHAS,484.0,501.7,480.0,"14,416.00",485.0,492.0,"6,985,884.00",06-09-2022
SAHAS,476.1,485.0,476.1,"4,377.00",479.9,485.0,"2,101,297.20",07-09-2022
SAHAS,471.1,489.9,471.1,"6,992.00",483.9,479.9,"3,354,595.50",08-09-2022
SAHAS,471.1,489.9,471.1,"6,992.00",483.9,479.9,"3,354,595.50",09-09-2022
SAHAS,471.1,489.9,471.1,"6,992.00",483.9,479.9,"3,354,595.50",10-09-2022
SAHAS,480.0,484.0,472.3,"14,202.00",472.3,483.9,"6,742,737.80",11-09-2022
SAHAS,472.0,475.0,465.2,"6,301.00",470.0,472.3,"2,942,370.60",12-09-2022
SAHAS,470.0,485.0,461.6,"7,360.00",478.0,470.0,"3,534,936.50",13-09-2022
SAHAS,475.0,494.0,471.0,"11,755.00",490.0,478.0,"5,731,629.80",14-09-2022
SAHAS,483.0,490.0,461.4,"19,637.00",467.6,490.0,"9,268,853.50",15-09-2022
SAHAS,464.0,469.0,455.1,"14,717.00",469.0,467.6,"6,766,037.00",16-09-2022
SAHAS,464.0,469.0,455.1,"14,717.00",469.0,467.6,"6,766,037.00",17-09-2022
SAHAS,460.0,461.5,445.0,"15,555.00",448.0,469.0,"7,013,242.40",18-09-2022
SAHAS,460.0,461.5,445.0,"15,555.00",448.0,469.0,"7,013,242.40",19-09-2022
SAHAS,448.0,448.0,421.0,"21,399.00",425.0,448.0,"9,116,168.00",20-09-2022
SAHAS,420.0,440.9,420.0,"8,583.00",425.0,425.0,"3,699,461.00",21-09-2022
SAHAS,419.1,430.0,414.0,"8,812.00",417.0,425.0,"3,683,764.30",22-09-2022
SAHAS,419.1,430.0,414.0,"8,812.00",417.0,425.0,"3,683,764.30",23-09-2022
SAHAS,419.1,430.0,414.0,"8,812.00",417.0,425.0,"3,683,764.30",24-09-2022
SAHAS,409.00,417.00,405.90,"6,481.00",406.00,417.00,"2,657,104.00",25-09-2022
