Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SAIL,900.0,910.0,881.2,"9,888.00",887.0,905.3,"8,827,871.30",06-07-2026
SAIL,870.0,902.2,870.0,"16,220.00",895.9,887.0,"14,516,244.20",07-07-2026
SAIL,893.5,896.0,860.5,"15,715.00",867.0,895.9,"13,750,706.80",08-07-2026
SAIL,824.0,874.1,824.0,"21,914.00",859.0,867.0,"18,803,446.60",09-07-2026
SAIL,901.9,901.9,846.3,"8,462.00",850.0,859.0,"7,224,973.40",10-07-2026
SAIL,850.0,851.0,822.0,"18,333.00",826.0,850.0,"15,342,906.60",13-07-2026
SAIL,829.0,841.0,800.0,"15,602.00",841.0,826.0,"12,846,968.80",14-07-2026
SAIL,833.0,860.0,833.0,"16,305.00",851.0,841.0,"13,885,805.70",15-07-2026
SAIL,893.5,893.5,830.0,"11,597.00",838.0,851.0,"9,769,155.10",16-07-2026
SAIL,796.1,963.7,796.1,"67,127.00",963.7,838.0,"61,510,149.20",17-07-2026
SAIL,980.0,"1,069.20",950.0,"78,017.00","1,069.20",963.7,"79,747,450.70",20-07-2026
SAIL,"1,069.00","1,074.00","1,021.00","59,912.00","1,038.90","1,069.20","62,394,916.80",21-07-2026
SAIL,"1,000.00","1,100.00","1,000.00","88,041.00","1,083.80","1,038.90","93,925,791.20",22-07-2026
SAIL,"1,050.00","1,150.50","1,050.00","97,608.00","1,145.00","1,083.80","108,663,415.00",23-07-2026
SAIL,"1,163.40","1,163.40","1,045.00","76,362.00","1,093.00","1,108.00","82,145,297.30",27-07-2026
SAIL,"1,045.00","1,184.50","1,045.00","81,614.00","1,120.00","1,093.00","89,023,472.00",28-07-2026
SAIL,"1,070.00","1,111.00","1,063.10","27,598.00","1,080.00","1,120.00","29,845,274.50",29-07-2026
SAIL,"1,120.00","1,120.00","1,060.10","40,817.00","1,075.00","1,080.00","43,991,340.10",30-07-2026
SAIL,"1,060.00","1,099.00","1,053.00","44,123.00","1,099.00","1,075.00","47,893,107.70",31-07-2026
