Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SANIMA,258.0,258.9,253.0,"38,799.00",254.0,258.0,"9,871,667.00",10-08-2022
SANIMA,258.0,258.9,253.0,"38,799.00",254.0,258.0,"9,871,667.00",10-08-2022
SANIMA,254.1,258.0,253.3,"21,981.00",254.1,254.0,"5,613,685.30",11-08-2022
SANIMA,254.1,258.0,253.3,"21,981.00",254.1,254.0,"5,613,685.30",12-08-2022
SANIMA,254.1,258.0,253.3,"21,981.00",254.1,254.0,"5,613,685.30",13-08-2022
SANIMA,254.0,259.0,253.0,"19,177.00",253.0,254.1,"4,885,228.50",14-08-2022
SANIMA,248.0,261.9,248.0,"20,009.00",256.0,253.0,"5,123,444.40",15-08-2022
SANIMA,256.0,261.0,256.0,"31,988.00",260.0,256.0,"8,247,750.30",16-08-2022
SANIMA,258.0,263.0,257.0,"23,473.00",257.0,260.0,"6,094,883.30",17-08-2022
SANIMA,257.0,260.0,254.0,"14,075.00",257.5,257.0,"3,616,448.30",18-08-2022
SANIMA,257.0,260.0,254.0,"14,075.00",257.5,257.0,"3,616,448.30",19-08-2022
SANIMA,257.0,260.0,254.0,"14,075.00",257.5,257.0,"3,616,448.30",20-08-2022
SANIMA,260.0,263.0,256.7,"38,430.00",257.0,257.5,"9,957,684.60",21-08-2022
SANIMA,256.1,262.5,256.1,"25,689.00",262.0,257.0,"6,694,701.10",22-08-2022
SANIMA,258.0,269.9,258.0,"34,622.00",267.0,262.0,"9,210,640.00",23-08-2022
SANIMA,270.0,271.0,265.6,"23,950.00",269.5,267.0,"6,421,734.70",24-08-2022
SANIMA,265.0,270.0,265.0,"19,099.00",266.0,269.5,"5,101,859.20",25-08-2022
SANIMA,266.0,267.0,259.0,"21,929.00",260.0,266.0,"5,723,284.20",26-08-2022
SANIMA,266.0,267.0,259.0,"21,929.00",260.0,266.0,"5,723,284.20",27-08-2022
SANIMA,261.0,261.0,255.5,"21,667.00",258.9,260.0,"5,569,885.10",28-08-2022
SANIMA,257.0,260.0,253.3,"27,923.00",255.1,258.9,"7,151,121.90",29-08-2022
SANIMA,255.0,260.0,254.0,"17,965.00",254.9,255.1,"4,589,359.10",30-08-2022
SANIMA,253.0,256.0,253.0,"13,693.00",254.8,254.9,"3,487,532.50",31-08-2022
SANIMA,253.5,256.0,253.0,"19,497.00",255.7,254.8,"4,958,987.80",01-09-2022
SANIMA,253.1,257.0,252.5,"17,035.00",254.0,255.7,"4,329,756.40",02-09-2022
SANIMA,253.1,257.0,252.5,"17,035.00",254.0,255.7,"4,329,756.40",03-09-2022
SANIMA,254.0,256.8,253.0,"15,860.00",253.0,254.0,"4,031,816.80",04-09-2022
SANIMA,252.3,256.5,252.0,"15,424.00",253.2,253.0,"3,918,119.70",05-09-2022
SANIMA,251.5,256.0,251.5,"17,283.00",253.0,253.2,"4,386,711.40",06-09-2022
SANIMA,256.9,257.0,252.1,"9,664.00",254.9,253.0,"2,448,982.10",07-09-2022
SANIMA,255.0,255.0,250.6,"31,499.00",253.0,254.9,"7,947,422.40",08-09-2022
SANIMA,255.0,255.0,250.6,"31,499.00",253.0,254.9,"7,947,422.40",09-09-2022
SANIMA,255.0,255.0,250.6,"31,499.00",253.0,254.9,"7,947,422.40",10-09-2022
SANIMA,256.9,257.0,252.0,"14,865.00",252.2,253.0,"3,776,133.60",11-09-2022
SANIMA,253.0,255.0,252.1,"22,074.00",253.0,252.2,"5,592,868.30",12-09-2022
SANIMA,256.0,256.8,253.0,"17,783.00",256.0,253.0,"4,530,777.30",13-09-2022
SANIMA,259.0,261.9,256.2,"33,647.00",258.0,256.0,"8,685,256.30",14-09-2022
SANIMA,258.0,258.0,251.6,"19,966.00",251.9,258.0,"5,050,423.10",15-09-2022
SANIMA,253.9,253.9,244.0,"34,212.00",250.0,251.9,"8,429,678.70",16-09-2022
SANIMA,253.9,253.9,244.0,"34,212.00",250.0,251.9,"8,429,678.70",17-09-2022
SANIMA,249.0,249.0,243.2,"38,623.00",246.0,250.0,"9,484,892.60",18-09-2022
SANIMA,249.0,249.0,243.2,"38,623.00",246.0,250.0,"9,484,892.60",19-09-2022
SANIMA,246.0,246.0,237.6,"26,385.00",241.6,246.0,"6,349,252.30",20-09-2022
SANIMA,243.9,246.0,237.0,"27,595.00",243.6,241.6,"6,631,232.80",21-09-2022
SANIMA,246.0,246.0,240.7,"12,876.00",241.7,243.6,"3,115,594.10",22-09-2022
SANIMA,246.0,246.0,240.7,"12,876.00",241.7,243.6,"3,115,594.10",23-09-2022
SANIMA,246.0,246.0,240.7,"12,876.00",241.7,243.6,"3,115,594.10",24-09-2022
SANIMA,236.9,241.0,233.0,"29,891.00",240.0,241.7,"7,137,322.50",25-09-2022
SANIMA,236.9,241.0,233.0,"29,891.00",240.0,241.7,"7,137,322.50",26-09-2022
SANIMA,240.0,246.8,237.0,"15,611.00",241.0,240.0,"3,789,287.20",27-09-2022
SANIMA,245.0,248.5,240.1,"7,193.00",247.0,241.0,"1,769,227.10",28-09-2022
SANIMA,247.0,254.9,247.0,"14,751.00",253.0,247.0,"3,720,413.60",29-09-2022
SANIMA,247.0,254.9,247.0,"14,751.00",253.0,247.0,"3,720,413.60",30-09-2022
SANIMA,247.0,254.9,247.0,"14,751.00",253.0,247.0,"3,720,413.60",01-10-2022
SANIMA,247.0,254.9,247.0,"14,751.00",253.0,247.0,"3,720,413.60",02-10-2022
SANIMA,247.0,254.9,247.0,"14,751.00",253.0,247.0,"3,720,413.60",03-10-2022
SANIMA,247.0,254.9,247.0,"14,751.00",253.0,247.0,"3,720,413.60",04-10-2022
SANIMA,247.0,254.9,247.0,"14,751.00",253.0,247.0,"3,720,413.60",05-10-2022
SANIMA,247.0,254.9,247.0,"14,751.00",253.0,247.0,"3,720,413.60",06-10-2022
SANIMA,247.0,254.9,247.0,"14,751.00",253.0,247.0,"3,720,413.60",07-10-2022
SANIMA,247.0,254.9,247.0,"14,751.00",253.0,247.0,"3,720,413.60",08-10-2022
SANIMA,257.4,257.4,253.0,"19,603.00",255.0,253.0,"5,006,725.20",09-10-2022
SANIMA,258.0,258.0,252.0,"18,322.00",252.0,255.0,"4,660,793.80",10-10-2022
SANIMA,252.0,253.0,246.0,"22,753.00",246.0,252.0,"5,657,912.00",11-10-2022
SANIMA,244.1,252.0,244.1,"16,410.00",249.0,246.0,"4,056,493.80",12-10-2022
SANIMA,249.0,255.5,242.0,"48,092.00",248.8,249.0,"11,838,285.70",13-10-2022
SANIMA,249.0,255.5,242.0,"48,092.00",248.8,249.0,"11,838,285.70",14-10-2022
SANIMA,249.0,255.5,242.0,"48,092.00",248.8,249.0,"11,838,285.70",15-10-2022
