Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SBI,297.0,298.0,284.8,"8,269.00",290.0,293.0,"2,389,016.80",10-08-2022
SBI,297.0,298.0,284.8,"8,269.00",290.0,293.0,"2,389,016.80",10-08-2022
SBI,294.0,294.0,284.3,"9,878.00",287.0,290.0,"2,833,191.50",11-08-2022
SBI,294.0,294.0,284.3,"9,878.00",287.0,290.0,"2,833,191.50",12-08-2022
SBI,294.0,294.0,284.3,"9,878.00",287.0,290.0,"2,833,191.50",13-08-2022
SBI,287.0,290.0,279.0,"7,739.00",284.8,287.0,"2,197,024.30",14-08-2022
SBI,284.0,289.6,280.0,"8,265.00",289.6,284.8,"2,370,573.50",15-08-2022
SBI,295.3,301.0,285.7,"8,445.00",289.0,289.6,"2,445,721.60",16-08-2022
SBI,290.0,290.0,284.3,"5,672.00",289.0,289.0,"1,635,009.90",17-08-2022
SBI,293.7,293.7,286.0,"16,092.00",289.9,289.0,"4,632,274.10",18-08-2022
SBI,293.7,293.7,286.0,"16,092.00",289.9,289.0,"4,632,274.10",19-08-2022
SBI,293.7,293.7,286.0,"16,092.00",289.9,289.0,"4,632,274.10",20-08-2022
SBI,295.6,297.8,286.2,"9,347.00",288.0,289.9,"2,688,986.80",21-08-2022
SBI,293.7,293.7,282.6,"2,145.00",288.0,288.0,"613,578.70",22-08-2022
SBI,282.4,290.0,282.4,"8,156.00",290.0,288.0,"2,339,432.00",23-08-2022
SBI,295.0,295.0,285.2,"7,548.00",288.0,290.0,"2,180,926.30",24-08-2022
SBI,293.0,293.0,283.3,"2,102.00",286.0,288.0,"603,121.20",25-08-2022
SBI,290.0,290.0,279.3,"2,381.00",284.5,286.0,"674,107.00",26-08-2022
SBI,290.0,290.0,279.3,"2,381.00",284.5,286.0,"674,107.00",27-08-2022
SBI,279.1,283.0,274.1,"8,133.00",276.0,284.5,"2,254,041.20",28-08-2022
SBI,273.2,282.5,273.2,"6,224.00",278.0,276.0,"1,728,649.70",29-08-2022
SBI,283.0,284.8,278.0,"10,843.00",279.9,278.0,"3,029,807.00",30-08-2022
SBI,285.4,285.4,274.0,"3,857.00",276.9,279.9,"1,061,227.60",31-08-2022
SBI,272.1,274.1,271.0,"2,986.00",274.0,276.9,"812,848.50",01-09-2022
SBI,279.4,282.7,272.1,"1,203.00",277.0,274.0,"330,190.60",02-09-2022
SBI,279.4,282.7,272.1,"1,203.00",277.0,274.0,"330,190.60",03-09-2022
SBI,282.4,282.5,274.0,"4,881.00",279.0,277.0,"1,358,551.70",04-09-2022
SBI,280.0,280.0,274.0,"2,257.00",275.0,279.0,"622,218.40",05-09-2022
SBI,275.0,275.0,270.0,"11,500.00",275.0,275.0,"3,114,307.00",06-09-2022
SBI,274.0,274.0,265.3,"2,850.00",273.0,275.0,"763,435.90",07-09-2022
SBI,275.0,275.0,266.3,"3,529.00",270.0,273.0,"947,398.60",08-09-2022
SBI,275.0,275.0,266.3,"3,529.00",270.0,273.0,"947,398.60",09-09-2022
SBI,275.0,275.0,266.3,"3,529.00",270.0,273.0,"947,398.60",10-09-2022
SBI,270.0,275.1,265.7,"6,723.00",269.9,270.0,"1,802,463.30",11-09-2022
SBI,275.2,275.2,265.1,"4,946.00",271.9,269.9,"1,317,809.30",12-09-2022
SBI,270.0,276.8,270.0,987.00,274.9,271.9,"269,752.50",13-09-2022
SBI,277.9,278.0,273.9,"8,353.00",278.0,274.9,"2,299,665.50",14-09-2022
