Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SBLD89,"1,256.60","1,293.00","1,256.60","5,050.00","1,293.00","1,220.00","6,528,737.50",06-07-2026
SBLD89,"1,309.70","1,310.00","1,309.70",60.00,"1,310.00","1,293.00","78,591.00",07-07-2026
SBLD89,"1,273.00","1,273.10","1,270.69","225,110.00","1,271.00","1,310.00","286,565,306.90",09-07-2026
SBLD89,"1,270.68","1,282.00","1,233.00","177,290.00","1,282.00","1,271.00","220,799,535.70",10-07-2026
SBLD89,"1,260.00","1,270.00","1,235.00","170,682.00","1,237.10","1,282.00","211,842,674.50",13-07-2026
SBLD89,"1,274.20","1,300.00","1,235.00","72,102.00","1,236.00","1,237.10","89,899,709.50",14-07-2026
SBLD89,"1,273.00","1,300.00","1,273.00",425.00,"1,300.00","1,236.00","552,155.00",16-07-2026
SBLD89,"1,261.00","1,261.00","1,261.00",10.00,"1,261.00","1,300.00","12,610.00",17-07-2026
SBLD89,"1,265.00","1,265.00","1,240.00",45.00,"1,240.00","1,261.00","56,300.00",20-07-2026
SBLD89,"1,215.00","1,235.00","1,213.00",425.00,"1,235.00","1,240.00","521,078.00",21-07-2026
SBLD89,"1,250.00","1,251.00","1,250.00",750.00,"1,251.00","1,235.00","938,020.00",22-07-2026
SBLD89,"1,260.00","1,270.00","1,260.00",600.00,"1,270.00","1,251.00","761,616.00",23-07-2026
SBLD89,"1,270.00","1,271.00","1,270.00","9,726.00","1,271.00","1,270.00","12,357,251.00",27-07-2026
SBLD89,"1,270.00","1,270.00","1,260.00",100.00,"1,260.00","1,271.00","126,350.00",28-07-2026
SBLD89,"1,271.00","1,271.00","1,236.00","4,520.00","1,236.00","1,260.00","5,744,045.00",29-07-2026
SBLD89,"1,240.00","1,240.00","1,240.00",25.00,"1,240.00","1,236.00","31,000.00",30-07-2026
SBLD89,"1,240.00","1,240.00","1,240.00",25.00,"1,240.00","1,240.00","31,000.00",03-08-2026
SBLD89,"1,221.00","1,221.00","1,221.00",25.00,"1,221.00","1,240.00","30,525.00",04-08-2026
SBLD89,"1,225.10","1,225.10","1,225.10",10.00,"1,225.10","1,221.00","12,251.00",11-08-2026
SBLD89,"1,228.10","1,228.10","1,228.10",20.00,"1,228.10","1,225.10","24,562.00",12-08-2026
SBLD89,"1,226.00","1,230.00","1,226.00",125.00,"1,230.00","1,228.10","153,650.00",17-08-2026
SBLD89,"1,266.00","1,266.00","1,266.00",25.00,"1,266.00","1,230.00","31,650.00",18-08-2026
SBLD89,"1,293.00","1,293.00","1,278.00",85.00,"1,280.10","1,266.00","108,885.00",20-08-2026
SBLD89,"1,285.00","1,293.50","1,285.00",50.00,"1,293.50","1,280.10","64,410.00",21-08-2026
