Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SDLBSL,"1,054.60","1,055.00","1,030.00","1,255.00","1,052.00","1,066.00","1,308,880.40",10-08-2022
SDLBSL,"1,054.60","1,055.00","1,030.00","1,255.00","1,052.00","1,066.00","1,308,880.40",10-08-2022
SDLBSL,"1,071.00","1,071.00","1,033.00","1,060.00","1,044.00","1,052.00","1,100,142.40",11-08-2022
SDLBSL,"1,071.00","1,071.00","1,033.00","1,060.00","1,044.00","1,052.00","1,100,142.40",12-08-2022
SDLBSL,"1,071.00","1,071.00","1,033.00","1,060.00","1,044.00","1,052.00","1,100,142.40",13-08-2022
SDLBSL,"1,043.00","1,050.00","1,030.00",451.00,"1,030.00","1,044.00","470,528.50",14-08-2022
SDLBSL,"1,050.00","1,060.00","1,032.00",911.00,"1,060.00","1,030.00","956,741.60",15-08-2022
SDLBSL,"1,079.90","1,097.00","1,047.00",332.00,"1,050.00","1,060.00","355,483.90",16-08-2022
SDLBSL,"1,050.00","1,060.00","1,042.50",115.00,"1,058.00","1,050.00","120,505.00",17-08-2022
SDLBSL,"1,059.00","1,070.00","1,052.00",488.00,"1,055.10","1,058.00","517,393.70",18-08-2022
SDLBSL,"1,059.00","1,070.00","1,052.00",488.00,"1,055.10","1,058.00","517,393.70",19-08-2022
SDLBSL,"1,059.00","1,070.00","1,052.00",488.00,"1,055.10","1,058.00","517,393.70",20-08-2022
SDLBSL,"1,041.00","1,068.00","1,041.00",868.00,"1,046.70","1,055.10","919,615.60",21-08-2022
SDLBSL,"1,027.00","1,055.00","1,027.00","1,067.00","1,036.00","1,046.70","1,108,634.40",22-08-2022
SDLBSL,"1,016.00","1,054.90","1,016.00",202.00,"1,032.00","1,036.00","209,928.10",23-08-2022
SDLBSL,"1,034.00","1,049.70","1,034.00",460.00,"1,036.10","1,032.00","479,793.10",24-08-2022
SDLBSL,"1,042.00","1,050.00","1,028.00",545.00,"1,028.00","1,036.10","565,386.80",25-08-2022
SDLBSL,"1,030.00","1,030.00","1,016.10",909.00,"1,017.10","1,028.00","930,991.60",26-08-2022
SDLBSL,"1,030.00","1,030.00","1,016.10",909.00,"1,017.10","1,028.00","930,991.60",27-08-2022
SDLBSL,"1,015.00","1,015.00",991.00,"1,401.00",992.00,"1,017.10","1,405,079.60",28-08-2022
SDLBSL,975.00,"1,011.00",974.00,529.00,991.00,992.00,"523,375.60",29-08-2022
SDLBSL,"1,010.00","1,010.00",997.00,628.00,"1,000.00",991.00,"630,058.30",30-08-2022
SDLBSL,"1,000.00","1,000.00",990.00,107.00,990.00,"1,000.00","106,064.00",31-08-2022
SDLBSL,975.00,997.00,975.00,741.00,986.00,990.00,"731,147.00",01-09-2022
SDLBSL,989.00,999.00,989.00,131.00,998.00,986.00,"130,502.00",02-09-2022
SDLBSL,989.00,999.00,989.00,131.00,998.00,986.00,"130,502.00",03-09-2022
SDLBSL,"1,002.60","1,004.00",990.00,280.00,"1,004.00",998.00,"279,033.20",04-09-2022
SDLBSL,995.00,"1,008.00",995.00,460.00,996.00,"1,004.00","461,534.60",05-09-2022
SDLBSL,"1,014.00","1,019.90",990.00,814.00,"1,005.00",996.00,"809,403.50",06-09-2022
SDLBSL,985.00,997.00,977.00,225.00,995.00,"1,005.00","222,207.20",07-09-2022
SDLBSL,980.00,998.00,980.00,389.00,983.00,995.00,"382,393.00",08-09-2022
SDLBSL,980.00,998.00,980.00,389.00,983.00,995.00,"382,393.00",09-09-2022
SDLBSL,980.00,998.00,980.00,389.00,983.00,995.00,"382,393.00",10-09-2022
SDLBSL,975.00,991.00,971.00,514.00,991.00,983.00,"501,678.40",11-09-2022
SDLBSL,972.00,982.20,963.00,368.00,982.20,991.00,"356,432.50",12-09-2022
SDLBSL,964.00,999.00,964.00,321.00,975.00,982.20,"315,741.50",13-09-2022
SDLBSL,994.50,"1,014.00",990.00,509.00,993.00,975.00,"508,699.50",14-09-2022
SDLBSL,995.00,995.00,971.00,879.00,975.00,993.00,"860,428.90",15-09-2022
SDLBSL,972.00,972.00,945.00,290.00,960.00,975.00,"277,505.90",16-09-2022
SDLBSL,972.00,972.00,945.00,290.00,960.00,975.00,"277,505.90",17-09-2022
SDLBSL,942.00,979.00,940.00,832.00,940.00,960.00,"787,746.70",18-09-2022
SDLBSL,942.00,979.00,940.00,832.00,940.00,960.00,"787,746.70",19-09-2022
SDLBSL,923.20,943.50,908.10,878.00,940.00,940.00,"810,136.20",20-09-2022
SDLBSL,940.00,950.10,923.00,481.00,949.00,940.00,"450,121.40",21-09-2022
SDLBSL,950.00,950.00,937.00,171.00,940.00,949.00,"161,478.70",22-09-2022
SDLBSL,950.00,950.00,937.00,171.00,940.00,949.00,"161,478.70",23-09-2022
SDLBSL,950.00,950.00,937.00,171.00,940.00,949.00,"161,478.70",24-09-2022
SDLBSL,922.00,935.00,906.30,421.00,920.10,940.00,"387,122.20",25-09-2022
SDLBSL,922.00,935.00,906.30,421.00,920.10,940.00,"387,122.20",26-09-2022
SDLBSL,903.00,933.60,903.00,334.00,925.00,920.10,"308,517.40",27-09-2022
SDLBSL,943.50,950.00,941.00,389.00,945.00,925.00,"367,940.50",28-09-2022
SDLBSL,963.00,980.00,952.00,499.00,955.00,945.00,"480,965.20",29-09-2022
SDLBSL,963.00,980.00,952.00,499.00,955.00,945.00,"480,965.20",30-09-2022
SDLBSL,963.00,980.00,952.00,499.00,955.00,945.00,"480,965.20",01-10-2022
SDLBSL,963.00,980.00,952.00,499.00,955.00,945.00,"480,965.20",02-10-2022
SDLBSL,963.00,980.00,952.00,499.00,955.00,945.00,"480,965.20",03-10-2022
SDLBSL,963.00,980.00,952.00,499.00,955.00,945.00,"480,965.20",04-10-2022
SDLBSL,963.00,980.00,952.00,499.00,955.00,945.00,"480,965.20",05-10-2022
SDLBSL,963.00,980.00,952.00,499.00,955.00,945.00,"480,965.20",06-10-2022
SDLBSL,963.00,980.00,952.00,499.00,955.00,945.00,"480,965.20",07-10-2022
SDLBSL,963.00,980.00,952.00,499.00,955.00,945.00,"480,965.20",08-10-2022
SDLBSL,972.00,986.20,955.00,401.00,986.20,955.00,"393,295.00",09-10-2022
SDLBSL,"1,004.00","1,004.00",968.00,153.00,968.00,986.20,"150,517.00",10-10-2022
SDLBSL,958.00,968.00,958.00,92.00,960.00,968.00,"88,520.00",11-10-2022
SDLBSL,960.00,978.00,960.00,295.00,965.00,960.00,"284,670.00",12-10-2022
SDLBSL,965.00,984.00,952.10,276.00,965.00,965.00,"266,875.80",13-10-2022
