Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SEF2,10.0,10.0,9.06,"42,010.00",9.45,10.0,"385,279.50",05-08-2026
SEF2,9.2,9.5,8.75,"26,480.00",9.16,9.45,"243,789.80",06-08-2026
SEF2,9.1,9.5,8.99,"38,577.00",9.15,9.16,"356,587.36",07-08-2026
SEF2,9.0,9.25,8.96,"32,050.00",9.25,9.15,"290,849.50",10-08-2026
SEF2,9.0,9.11,8.93,"8,040.00",9.05,9.25,"72,614.80",11-08-2026
SEF2,8.78,9.5,8.78,"21,470.00",9.21,9.05,"199,287.50",12-08-2026
SEF2,9.2,9.4,9.0,"8,545.00",9.1,9.21,"78,343.40",13-08-2026
SEF2,9.0,9.32,9.0,"12,250.00",9.32,9.1,"112,071.50",14-08-2026
SEF2,9.05,9.32,9.05,"6,000.00",9.1,9.32,"54,701.00",17-08-2026
SEF2,9.0,9.11,8.92,"7,350.00",9.03,9.1,"66,435.50",18-08-2026
SEF2,9.01,9.29,8.8,"7,950.00",9.02,9.03,"72,106.50",19-08-2026
SEF2,9.02,9.05,9.01,"4,900.00",9.03,9.02,"44,226.00",20-08-2026
SEF2,9.02,9.27,8.9,"13,922.00",9.01,9.03,"126,059.00",21-08-2026
SEF2,8.74,9.05,8.72,"8,400.00",9.05,9.01,"75,398.00",24-08-2026
SEF2,8.8,9.16,8.8,"15,500.00",9.15,9.05,"140,034.00",25-08-2026
SEF2,8.88,9.1,8.88,"4,300.00",9.1,9.15,"38,943.00",26-08-2026
SEF2,8.9,9.16,8.72,"7,800.00",9.0,9.1,"70,209.00",31-08-2026
SEF2,8.73,9.01,8.51,"7,600.00",9.0,9.0,"67,157.00",01-09-2026
SEF2,9.0,9.0,8.56,"4,660.00",9.0,9.0,"41,293.00",02-09-2026
SEF2,9.0,9.1,8.73,"8,700.00",8.93,9.0,"77,723.00",03-09-2026
SEF2,8.80,9.05,8.80,"6,350.00",9.00,8.93,"56,715.00",07-09-2026
