Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SFCL,296.0,306.0,291.1,"51,939.00",298.0,301.0,"15,452,601.10",10-08-2022
SFCL,296.0,306.0,291.1,"51,939.00",298.0,301.0,"15,452,601.10",10-08-2022
SFCL,294.0,306.0,280.0,"45,956.00",283.2,298.0,"13,388,510.80",11-08-2022
SFCL,294.0,306.0,280.0,"45,956.00",283.2,298.0,"13,388,510.80",12-08-2022
SFCL,294.0,306.0,280.0,"45,956.00",283.2,298.0,"13,388,510.80",13-08-2022
SFCL,281.0,294.6,278.4,"30,469.00",279.0,283.2,"8,623,544.80",14-08-2022
SFCL,273.6,301.0,273.6,"44,888.00",301.0,279.0,"13,242,380.60",15-08-2022
SFCL,307.0,320.0,289.0,"59,911.00",289.1,301.0,"18,147,240.50",16-08-2022
SFCL,293.0,306.0,290.0,"29,975.00",293.0,289.1,"8,886,525.80",17-08-2022
SFCL,289.0,309.8,289.0,"47,301.00",304.0,293.0,"14,379,077.20",18-08-2022
SFCL,289.0,309.8,289.0,"47,301.00",304.0,293.0,"14,379,077.20",19-08-2022
SFCL,289.0,309.8,289.0,"47,301.00",304.0,293.0,"14,379,077.20",20-08-2022
SFCL,310.0,316.2,298.0,"38,609.00",304.0,304.0,"11,903,930.50",21-08-2022
SFCL,300.0,306.0,295.1,"15,609.00",299.0,304.0,"4,704,905.00",22-08-2022
SFCL,304.0,306.0,294.0,"30,056.00",300.0,299.0,"8,938,960.20",23-08-2022
SFCL,305.0,307.0,297.0,"15,679.00",300.0,300.0,"4,709,551.60",24-08-2022
SFCL,302.0,306.0,291.2,"31,972.00",292.0,300.0,"9,520,265.20",25-08-2022
SFCL,291.0,291.7,284.0,"18,576.00",287.7,292.0,"5,328,259.70",26-08-2022
SFCL,291.0,291.7,284.0,"18,576.00",287.7,292.0,"5,328,259.70",27-08-2022
SFCL,282.0,287.0,274.4,"40,412.00",281.9,287.7,"11,367,153.40",28-08-2022
SFCL,279.0,290.7,275.0,"30,357.00",290.7,281.9,"8,612,936.40",29-08-2022
SFCL,296.5,296.5,282.3,"16,410.00",284.0,290.7,"4,745,471.00",30-08-2022
SFCL,288.0,288.0,275.0,"12,216.00",276.0,284.0,"3,387,034.20",31-08-2022
SFCL,271.0,285.0,268.0,"33,415.00",272.3,276.0,"9,150,984.10",01-09-2022
SFCL,276.0,284.0,271.6,"6,646.00",274.0,272.3,"1,845,824.90",02-09-2022
SFCL,276.0,284.0,271.6,"6,646.00",274.0,272.3,"1,845,824.90",03-09-2022
SFCL,279.0,284.0,274.2,"25,015.00",278.4,274.0,"6,964,831.90",04-09-2022
SFCL,283.9,287.0,276.0,"15,039.00",276.6,278.4,"4,220,317.50",05-09-2022
SFCL,280.0,280.0,268.0,"15,017.00",268.0,276.6,"4,082,371.80",06-09-2022
SFCL,267.9,273.0,264.0,"7,881.00",265.4,268.0,"2,108,339.00",07-09-2022
SFCL,261.0,278.0,259.0,"49,526.00",272.0,265.4,"13,196,418.40",08-09-2022
SFCL,261.0,278.0,259.0,"49,526.00",272.0,265.4,"13,196,418.40",09-09-2022
SFCL,261.0,278.0,259.0,"49,526.00",272.0,265.4,"13,196,418.40",10-09-2022
SFCL,274.0,277.0,267.0,"11,770.00",267.0,272.0,"3,215,473.40",11-09-2022
SFCL,267.0,267.0,262.0,"12,286.00",263.0,267.0,"3,246,485.40",12-09-2022
SFCL,266.0,273.3,264.0,"26,569.00",265.0,263.0,"7,137,132.60",13-09-2022
SFCL,270.0,287.0,269.0,"53,734.00",283.0,265.0,"14,981,413.80",14-09-2022
SFCL,288.6,288.6,262.0,"47,992.00",262.2,283.0,"13,066,566.00",15-09-2022
SFCL,259.0,267.7,250.0,"23,509.00",266.9,262.2,"6,146,038.50",16-09-2022
SFCL,259.0,267.7,250.0,"23,509.00",266.9,262.2,"6,146,038.50",17-09-2022
SFCL,262.0,265.0,252.1,"16,156.00",253.0,266.9,"4,167,042.90",18-09-2022
SFCL,262.0,265.0,252.1,"16,156.00",253.0,266.9,"4,167,042.90",19-09-2022
SFCL,250.0,254.0,233.3,"36,559.00",236.0,253.0,"8,806,237.50",20-09-2022
SFCL,236.0,256.0,236.0,"25,878.00",242.0,236.0,"6,365,892.70",21-09-2022
SFCL,246.0,250.0,237.3,"10,958.00",238.6,242.0,"2,647,758.90",22-09-2022
SFCL,246.0,250.0,237.3,"10,958.00",238.6,242.0,"2,647,758.90",23-09-2022
