Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SFMF,11.5,11.5,11.5,"11,600.00",11.5,11.5,"133,400.00",10-08-2022
SFMF,11.5,11.5,11.5,"11,600.00",11.5,11.5,"133,400.00",10-08-2022
SFMF,11.5,11.65,11.5,"43,400.00",11.65,11.5,"499,290.00",11-08-2022
SFMF,11.5,11.65,11.5,"43,400.00",11.65,11.5,"499,290.00",12-08-2022
SFMF,11.5,11.65,11.5,"43,400.00",11.65,11.5,"499,290.00",13-08-2022
SFMF,11.51,11.51,11.5,"38,300.00",11.5,11.65,"440,460.00",14-08-2022
SFMF,11.5,11.5,11.5,"2,635.00",11.5,11.5,"30,302.50",15-08-2022
SFMF,11.4,11.41,11.24,"13,074.00",11.32,11.5,"148,010.00",16-08-2022
SFMF,11.35,11.35,11.16,"12,100.00",11.35,11.32,"135,756.00",17-08-2022
SFMF,11.35,11.35,11.22,"23,500.00",11.25,11.35,"264,285.00",18-08-2022
SFMF,11.35,11.35,11.22,"23,500.00",11.25,11.35,"264,285.00",19-08-2022
SFMF,11.35,11.35,11.22,"23,500.00",11.25,11.35,"264,285.00",20-08-2022
SFMF,11.25,11.25,11.13,"73,200.00",11.13,11.25,"818,266.00",21-08-2022
SFMF,10.91,11.22,10.8,"2,675.00",11.04,11.13,"29,460.25",22-08-2022
SFMF,10.82,11.22,10.82,"2,000.00",11.2,11.04,"22,111.00",23-08-2022
SFMF,11.42,11.5,11.0,"30,475.00",11.15,11.2,"341,557.50",24-08-2022
SFMF,11.37,12.05,11.3,"57,350.00",11.3,11.15,"666,681.00",26-08-2022
SFMF,11.37,12.05,11.3,"57,350.00",11.3,11.15,"666,681.00",27-08-2022
SFMF,11.3,11.45,11.1,"59,005.00",11.1,11.3,"666,540.50",28-08-2022
SFMF,10.88,11.11,10.88,"42,000.00",11.0,11.1,"458,900.00",30-08-2022
SFMF,11.19,11.19,10.81,"47,510.00",11.0,11.0,"521,944.20",31-08-2022
SFMF,11.11,11.11,10.89,"29,475.00",10.89,11.0,"322,910.93",01-09-2022
SFMF,10.83,10.83,10.83,"1,000.00",10.83,10.89,"10,830.00",02-09-2022
SFMF,10.83,10.83,10.83,"1,000.00",10.83,10.89,"10,830.00",03-09-2022
SFMF,11.0,11.04,10.63,"43,355.00",10.67,10.83,"468,122.25",05-09-2022
SFMF,10.75,10.8,10.67,"28,350.00",10.75,10.67,"304,247.50",06-09-2022
SFMF,10.96,11.8,10.96,"365,632.00",11.58,10.75,"4,223,430.36",07-09-2022
SFMF,11.8,11.8,11.4,"335,528.00",11.52,11.58,"3,865,004.22",08-09-2022
SFMF,11.8,11.8,11.4,"335,528.00",11.52,11.58,"3,865,004.22",09-09-2022
SFMF,11.8,11.8,11.4,"335,528.00",11.52,11.58,"3,865,004.22",10-09-2022
SFMF,11.59,11.7,11.5,"309,610.00",11.55,11.52,"3,588,351.75",11-09-2022
SFMF,11.59,11.65,11.54,"384,099.00",11.56,11.55,"4,448,642.41",12-09-2022
SFMF,11.59,11.59,11.49,"312,631.00",11.5,11.56,"3,604,357.55",13-09-2022
SFMF,10.1,10.29,9.46,"199,936.00",9.51,10.3,"1,909,691.48",14-09-2022
SFMF,9.68,9.68,9.05,"109,925.00",9.19,9.51,"1,012,730.85",15-09-2022
SFMF,9.34,9.34,9.16,"16,900.00",9.3,9.19,"155,568.00",16-09-2022
SFMF,9.34,9.34,9.16,"16,900.00",9.3,9.19,"155,568.00",17-09-2022
SFMF,9.12,9.18,8.95,"53,255.00",8.95,9.3,"479,149.00",18-09-2022
SFMF,9.12,9.18,8.95,"53,255.00",8.95,9.3,"479,149.00",19-09-2022
SFMF,9.1,9.1,8.84,"46,905.00",8.89,8.95,"416,758.60",20-09-2022
SFMF,9.05,9.2,8.8,"1,900.00",8.8,8.89,"17,215.00",21-09-2022
SFMF,8.63,8.85,8.63,"138,029.00",8.7,8.8,"1,205,605.04",22-09-2022
SFMF,8.63,8.85,8.63,"138,029.00",8.7,8.8,"1,205,605.04",23-09-2022
SFMF,8.63,8.85,8.63,"138,029.00",8.7,8.8,"1,205,605.04",24-09-2022
SFMF,8.53,9.04,8.53,"19,905.00",8.82,8.7,"172,867.35",25-09-2022
SFMF,8.53,9.04,8.53,"19,905.00",8.82,8.7,"172,867.35",26-09-2022
SFMF,8.71,8.87,8.7,"27,400.00",8.87,8.82,"238,991.16",27-09-2022
