Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SGHC,269.0,295.9,269.0,562.0,295.9,269.0,"162,675.90",17-08-2022
SGHC,301.8,325.4,301.8,"5,350.00",325.4,295.9,"1,740,310.00",18-08-2022
SGHC,301.8,325.4,301.8,"5,350.00",325.4,295.9,"1,740,310.00",19-08-2022
SGHC,301.8,325.4,301.8,"5,350.00",325.4,295.9,"1,740,310.00",20-08-2022
SGHC,331.9,357.0,331.9,"78,676.00",337.0,325.4,"26,831,205.80",21-08-2022
SGHC,343.7,349.0,320.1,"53,198.00",323.0,337.0,"17,262,964.80",22-08-2022
SGHC,318.0,323.5,315.0,"28,437.00",320.0,323.0,"9,082,151.20",23-08-2022
SGHC,318.0,344.5,318.0,"30,418.00",332.0,320.0,"9,879,602.90",24-08-2022
SGHC,332.0,334.0,322.6,"13,083.00",323.0,332.0,"4,287,002.60",25-08-2022
SGHC,318.0,320.0,313.1,"11,130.00",319.0,323.0,"3,508,977.50",26-08-2022
SGHC,318.0,320.0,313.1,"11,130.00",319.0,323.0,"3,508,977.50",27-08-2022
SGHC,312.9,315.0,300.0,"20,529.00",301.0,319.0,"6,275,687.20",28-08-2022
SGHC,295.0,307.0,295.0,"9,421.00",305.0,301.0,"2,822,373.00",29-08-2022
SGHC,311.10,311.10,298.00,"6,385.00",299.90,305.00,"1,918,764.60",30-08-2022
