Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SGHL,396.7,455.0,396.7,"1,260.00",455.0,395.7,"571,609.00",06-07-2026
SGHL,477.0,523.2,477.0,"156,960.00",503.1,455.0,"79,567,412.00",07-07-2026
SGHL,505.0,509.0,465.1,"164,060.00",471.1,503.1,"78,457,570.00",08-07-2026
SGHL,471.1,471.1,445.2,"83,860.00",458.8,471.1,"37,909,295.50",09-07-2026
SGHL,455.0,505.9,443.0,"69,740.00",487.0,458.8,"33,893,358.90",10-07-2026
SGHL,490.0,495.5,462.0,"56,722.00",462.5,487.0,"26,713,611.30",13-07-2026
SGHL,462.5,474.4,444.0,"56,112.00",461.5,462.5,"25,776,480.10",14-07-2026
SGHL,460.0,486.0,456.6,"53,760.00",470.0,461.5,"25,334,842.00",15-07-2026
SGHL,470.0,476.0,455.5,"36,739.00",462.0,470.0,"17,081,260.70",16-07-2026
SGHL,462.00,486.20,462.00,"55,633.00",481.00,462.00,"26,612,846.90",17-07-2026
