Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SHINED,"1,125.00","1,125.00","1,125.00",50.0,"1,125.00","1,097.00","56,250.00",06-07-2026
SHINED,"1,107.00","1,107.20","1,107.00",55.0,"1,107.20","1,125.00","60,890.00",09-07-2026
SHINED,"1,140.00","1,140.00","1,140.00","10,000.00","1,140.00","1,107.20","11,400,000.00",10-07-2026
SHINED,"1,140.00","1,140.00","1,140.00","10,000.00","1,140.00","1,140.00","11,400,000.00",13-07-2026
SHINED,"1,105.80","1,105.80","1,105.00","35,611.00","1,105.00","1,140.00","39,350,246.50",14-07-2026
SHINED,"1,138.00","1,145.00","1,138.00",185.00,"1,145.00","1,105.00","211,630.00",15-07-2026
SHINED,"1,145.00","1,145.00","1,145.00",7.00,"1,144.00","1,145.00","8,008.00",16-07-2026
SHINED,"1,144.00","1,144.00","1,079.10",101.00,"1,079.10","1,144.00","109,022.30",27-07-2026
SHINED,"1,105.60","1,109.00","1,105.60",450.00,"1,109.00","1,079.10","498,138.50",29-07-2026
SHINED,"1,092.00","1,092.00","1,092.00",25.00,"1,092.00","1,109.00","27,300.00",31-07-2026
SHINED,"1,080.10","1,080.10","1,076.20",150.00,"1,076.20","1,092.00","161,910.00",04-08-2026
SHINED,"1,084.00","1,084.00","1,084.00",25.00,"1,084.00","1,076.20","27,100.00",05-08-2026
SHINED,"1,095.00","1,095.00","1,095.00",50.00,"1,095.00","1,084.00","54,750.00",07-08-2026
SHINED,"1,098.00","1,100.00","1,090.00",130.00,"1,090.00","1,095.00","142,600.00",10-08-2026
