Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SHLB,906.0,996.6,906.0,170.0,996.6,906.0,"163,662.80",20-12-2022
SHLB,978.3,"1,096.20",978.3,130.0,"1,096.20",996.6,"137,509.90",21-12-2022
SHLB,"1,075.00","1,205.80","1,075.00",220.0,"1,205.80","1,096.20","260,500.50",22-12-2022
SHLB,"1,075.00","1,205.80","1,075.00",220.0,"1,205.80","1,096.20","260,500.50",23-12-2022
SHLB,"1,075.00","1,205.80","1,075.00",220.0,"1,205.80","1,096.20","260,500.50",24-12-2022
SHLB,"1,075.00","1,205.80","1,075.00",220.0,"1,205.80","1,096.20","260,500.50",25-12-2022
SHLB,"1,205.80","1,326.30","1,205.80",130.0,"1,326.30","1,205.80","168,153.50",26-12-2022
SHLB,"1,352.80","1,458.90","1,352.80",150.0,"1,458.90","1,326.30","216,232.00",27-12-2022
SHLB,"1,488.00","1,604.70","1,488.00",170.0,"1,604.70","1,458.90","269,937.00",28-12-2022
SHLB,"1,604.60","1,765.10","1,604.60",250.0,"1,765.10","1,604.70","436,517.00",29-12-2022
SHLB,"1,604.60","1,765.10","1,604.60",250.0,"1,765.10","1,604.70","436,517.00",30-12-2022
SHLB,"1,604.60","1,765.10","1,604.60",250.0,"1,765.10","1,604.70","436,517.00",31-12-2022
SHLB,"1,800.00","1,941.60","1,800.00",350.0,"1,941.60","1,765.10","676,084.00",01-01-2023
SHLB,"1,980.40","2,135.70","1,980.40","3,500.00","2,135.70","1,941.60","7,471,146.00",02-01-2023
SHLB,"2,178.40","2,349.20","2,075.00","19,859.00","2,203.00","2,135.70","43,365,012.60",03-01-2023
SHLB,"2,203.00","2,215.00","2,150.00","12,332.00","2,215.00","2,203.00","26,763,013.00",04-01-2023
SHLB,"2,215.00","2,436.50","2,215.00","5,240.00","2,436.50","2,215.00","12,260,149.00",05-01-2023
SHLB,"2,215.00","2,436.50","2,215.00","5,240.00","2,436.50","2,215.00","12,260,149.00",06-01-2023
SHLB,"2,215.00","2,436.50","2,215.00","5,240.00","2,436.50","2,215.00","12,260,149.00",07-01-2023
SHLB,"2,485.20","2,485.20","2,332.00","11,098.00","2,336.50","2,436.50","26,441,196.00",08-01-2023
SHLB,"2,292.20","2,355.00","2,292.20","11,957.00","2,312.00","2,336.50","27,792,911.00",09-01-2023
SHLB,"2,281.00","2,356.00","2,210.00","7,907.00","2,244.00","2,312.00","18,017,095.00",10-01-2023
SHLB,"2,281.00","2,356.00","2,210.00","7,907.00","2,244.00","2,312.00","18,017,095.00",11-01-2023
SHLB,"2,280.00","2,302.00","2,231.00","7,738.00","2,289.00","2,244.00","17,532,512.20",12-01-2023
SHLB,"2,280.00","2,302.00","2,231.00","7,738.00","2,289.00","2,244.00","17,532,512.20",13-01-2023
SHLB,"2,280.00","2,302.00","2,231.00","7,738.00","2,289.00","2,244.00","17,532,512.20",14-01-2023
SHLB,"2,280.00","2,302.00","2,231.00","7,738.00","2,289.00","2,244.00","17,532,512.20",15-01-2023
SHLB,"2,280.00","2,302.00","2,231.00","7,738.00","2,289.00","2,244.00","17,532,512.20",16-01-2023
SHLB,"2,329.90","2,329.90","2,257.00","6,847.00","2,265.00","2,289.00","15,613,871.20",17-01-2023
SHLB,"2,265.00","2,345.00","2,252.00","5,249.00","2,298.00","2,265.00","12,140,742.50",18-01-2023
SHLB,"2,255.00","2,299.00","2,255.00","4,575.00","2,270.00","2,298.00","10,376,397.00",19-01-2023
SHLB,"2,255.00","2,299.00","2,255.00","4,575.00","2,270.00","2,298.00","10,376,397.00",20-01-2023
SHLB,"2,255.00","2,299.00","2,255.00","4,575.00","2,270.00","2,298.00","10,376,397.00",21-01-2023
SHLB,"2,255.00","2,299.00","2,255.00","4,575.00","2,270.00","2,298.00","10,376,397.00",22-01-2023
SHLB,"2,270.00","2,366.00","2,250.00","7,755.00","2,320.10","2,270.00","18,091,506.00",23-01-2023
SHLB,"2,281.00","2,350.00","2,281.00","2,975.00","2,340.00","2,320.10","6,886,153.00",24-01-2023
SHLB,"2,321.20","2,420.00","2,321.20","5,299.00","2,405.00","2,340.00","12,679,239.00",25-01-2023
SHLB,"2,400.00","2,414.00","2,365.00","2,446.00","2,365.00","2,405.00","5,852,304.50",26-01-2023
SHLB,"2,400.00","2,414.00","2,365.00","2,446.00","2,365.00","2,405.00","5,852,304.50",28-01-2023
SHLB,"2,355.00","2,404.00","2,353.50","3,435.00","2,359.00","2,365.00","8,166,067.50",29-01-2023
SHLB,"2,400.00","2,400.00","2,278.10","5,100.00","2,310.00","2,359.00","11,782,066.00",30-01-2023
SHLB,"2,264.00","2,309.00","2,263.00","2,520.00","2,300.00","2,310.00","5,731,641.50",31-01-2023
SHLB,"2,260.10","2,300.00","2,260.00","1,475.00","2,267.00","2,300.00","3,350,527.50",01-02-2023
SHLB,"2,267.00","2,289.90","2,220.00","3,473.00","2,222.00","2,267.00","7,805,912.50",02-02-2023
SHLB,"2,267.00","2,289.90","2,220.00","3,473.00","2,222.00","2,267.00","7,805,912.50",03-02-2023
SHLB,"2,267.00","2,289.90","2,220.00","3,473.00","2,222.00","2,267.00","7,805,912.50",04-02-2023
SHLB,"2,222.00","2,266.00","2,220.00","2,850.00","2,221.00","2,222.00","6,374,105.60",05-02-2023
SHLB,"2,201.10","2,240.00","2,200.50","1,711.00","2,240.00","2,221.00","3,794,406.00",06-02-2023
SHLB,"2,225.20","2,310.00","2,225.20","1,858.00","2,299.90","2,240.00","4,231,172.00",07-02-2023
SHLB,"2,318.90","2,330.00","2,254.00","1,804.00","2,269.00","2,299.90","4,112,763.00",08-02-2023
SHLB,"2,270.00","2,280.00","2,235.10","1,285.00","2,265.00","2,269.00","2,890,962.70",09-02-2023
SHLB,"2,270.00","2,280.00","2,235.10","1,285.00","2,265.00","2,269.00","2,890,962.70",10-02-2023
SHLB,"2,270.00","2,280.00","2,235.10","1,285.00","2,265.00","2,269.00","2,890,962.70",11-02-2023
SHLB,"2,221.00","2,244.00","2,141.00","2,640.00","2,200.00","2,265.00","5,824,218.00",12-02-2023
SHLB,"2,221.00","2,244.00","2,141.00","2,640.00","2,200.00","2,265.00","5,824,218.00",13-02-2023
SHLB,"2,165.00","2,190.00","2,157.30","1,595.00","2,172.00","2,200.00","3,468,158.00",14-02-2023
SHLB,"2,172.00","2,190.00","2,130.00","2,028.00","2,130.00","2,172.00","4,365,471.50",15-02-2023
SHLB,"2,100.10","2,110.00","2,055.00","2,479.00","2,090.00","2,130.00","5,146,728.00",16-02-2023
SHLB,"2,100.10","2,110.00","2,055.00","2,479.00","2,090.00","2,130.00","5,146,728.00",17-02-2023
SHLB,"2,100.10","2,110.00","2,055.00","2,479.00","2,090.00","2,130.00","5,146,728.00",18-02-2023
SHLB,"2,100.10","2,110.00","2,055.00","2,479.00","2,090.00","2,130.00","5,146,728.00",19-02-2023
SHLB,"2,051.00","2,072.00","2,015.50","1,336.00","2,040.00","2,090.00","2,717,505.00",20-02-2023
SHLB,"2,051.00","2,072.00","2,015.50","1,336.00","2,040.00","2,090.00","2,717,505.00",21-02-2023
SHLB,"2,020.00","2,020.00","1,917.00","3,258.00","1,920.00","2,040.00","6,403,828.60",22-02-2023
SHLB,"1,882.00","1,882.00","1,728.00","6,906.00","1,728.00","1,920.00","12,002,636.00",23-02-2023
SHLB,"1,882.00","1,882.00","1,728.00","6,906.00","1,728.00","1,920.00","12,002,636.00",24-02-2023
SHLB,"1,882.00","1,882.00","1,728.00","6,906.00","1,728.00","1,920.00","12,002,636.00",25-02-2023
SHLB,"1,693.50","1,769.00","1,555.20","4,663.00","1,701.00","1,728.00","7,572,111.00",26-02-2023
SHLB,"1,735.00","1,735.00","1,620.10","1,544.00","1,679.00","1,701.00","2,572,284.00",27-02-2023
SHLB,"1,651.00","1,708.00","1,650.00","1,442.00","1,675.00","1,679.00","2,414,455.10",28-02-2023
SHLB,"1,653.00","1,705.50","1,601.00","2,862.00","1,608.10","1,675.00","4,659,563.10",01-03-2023
SHLB,"1,600.00","1,600.00","1,560.10","1,924.00","1,569.00","1,608.10","3,033,282.00",02-03-2023
SHLB,"1,600.00","1,600.00","1,560.10","1,924.00","1,569.00","1,608.10","3,033,282.00",03-03-2023
SHLB,"1,600.00","1,600.00","1,560.10","1,924.00","1,569.00","1,608.10","3,033,282.00",04-03-2023
SHLB,"1,537.70","1,610.00","1,508.00","1,097.00","1,510.00","1,569.00","1,674,702.60",05-03-2023
SHLB,"1,537.70","1,610.00","1,508.00","1,097.00","1,510.00","1,569.00","1,674,702.60",06-03-2023
SHLB,"1,510.00","1,538.00","1,452.40","1,315.00","1,474.90","1,510.00","1,956,137.00",07-03-2023
SHLB,"1,510.00","1,538.00","1,452.40","1,315.00","1,474.90","1,510.00","1,956,137.00",08-03-2023
SHLB,"1,474.90","1,533.00","1,474.90",900.00,"1,515.00","1,474.90","1,357,810.00",09-03-2023
SHLB,"1,474.90","1,533.00","1,474.90",900.00,"1,515.00","1,474.90","1,357,810.00",10-03-2023
SHLB,"1,474.90","1,533.00","1,474.90",900.00,"1,515.00","1,474.90","1,357,810.00",11-03-2023
SHLB,"1,530.00","1,540.00","1,485.00","1,130.00","1,525.00","1,515.00","1,702,694.00",12-03-2023
SHLB,"1,505.00","1,524.00","1,465.00",663.00,"1,519.00","1,525.00","991,290.30",13-03-2023
SHLB,"1,490.00","1,515.00","1,490.00",490.00,"1,495.00","1,519.00","733,230.00",14-03-2023
SHLB,"1,470.20","1,477.00","1,470.00",483.00,"1,471.00","1,495.00","710,657.00",15-03-2023
SHLB,"1,475.00","1,500.00","1,420.00","1,154.00","1,500.00","1,471.00","1,679,835.00",16-03-2023
SHLB,"1,475.00","1,500.00","1,420.00","1,154.00","1,500.00","1,471.00","1,679,835.00",17-03-2023
SHLB,"1,475.00","1,500.00","1,420.00","1,154.00","1,500.00","1,471.00","1,679,835.00",18-03-2023
SHLB,"1,470.00","1,470.00","1,350.00","8,230.00","1,390.00","1,500.00","11,148,561.00",19-03-2023
SHLB,"1,390.00","1,409.00","1,375.50",548.00,"1,380.00","1,390.00","762,357.00",20-03-2023
SHLB,"1,390.00","1,409.00","1,375.50",548.00,"1,380.00","1,390.00","762,357.00",21-03-2023
SHLB,"1,380.00","1,405.00","1,315.10","1,797.00","1,376.00","1,380.00","2,433,032.50",22-03-2023
SHLB,"1,348.50","1,375.00","1,250.00","2,006.00","1,282.00","1,376.00","2,612,993.50",23-03-2023
SHLB,"1,348.50","1,375.00","1,250.00","2,006.00","1,282.00","1,376.00","2,612,993.50",24-03-2023
SHLB,"1,348.50","1,375.00","1,250.00","2,006.00","1,282.00","1,376.00","2,612,993.50",25-03-2023
SHLB,"1,256.40","1,256.40","1,190.00","2,878.00","1,190.00","1,282.00","3,477,962.70",26-03-2023
SHLB,"1,167.00","1,194.00","1,102.00","2,014.00","1,194.00","1,190.00","2,263,591.90",27-03-2023
SHLB,"1,180.00","1,313.30","1,126.20","1,856.00","1,313.30","1,194.00","2,301,544.60",28-03-2023
SHLB,"1,290.00","1,290.00","1,241.00",757.00,"1,270.00","1,313.30","953,097.60",29-03-2023
SHLB,"1,265.00","1,265.00","1,221.10","1,091.00","1,230.00","1,270.00","1,343,826.00",30-03-2023
SHLB,"1,265.00","1,265.00","1,221.10","1,091.00","1,230.00","1,270.00","1,343,826.00",31-03-2023
SHLB,"1,265.00","1,265.00","1,221.10","1,091.00","1,230.00","1,270.00","1,343,826.00",01-04-2023
SHLB,"1,250.00","1,275.00","1,207.00",780.00,"1,228.00","1,230.00","971,869.00",02-04-2023
SHLB,"1,210.00","1,232.00","1,186.00",470.00,"1,232.00","1,228.00","565,536.00",03-04-2023
SHLB,"1,232.00","1,249.00","1,186.10",221.00,"1,220.00","1,232.00","269,069.00",04-04-2023
SHLB,"1,196.00","1,239.00","1,195.00",425.00,"1,225.00","1,220.00","515,086.00",05-04-2023
SHLB,"1,226.00","1,227.00","1,185.00",472.00,"1,206.00","1,225.00","564,381.00",06-04-2023
SHLB,"1,226.00","1,227.00","1,185.00",472.00,"1,206.00","1,225.00","564,381.00",07-04-2023
SHLB,"1,226.00","1,227.00","1,185.00",472.00,"1,206.00","1,225.00","564,381.00",08-04-2023
SHLB,"1,182.00","1,200.00","1,176.10",210.00,"1,190.50","1,206.00","248,721.00",09-04-2023
SHLB,"1,175.00","1,198.00","1,159.00",390.00,"1,198.00","1,190.50","455,868.00",10-04-2023
SHLB,"1,220.00","1,290.00","1,182.00",865.00,"1,290.00","1,198.00","1,051,504.00",11-04-2023
SHLB,"1,265.00","1,342.00","1,260.00","1,656.00","1,335.00","1,290.00","2,162,924.00",12-04-2023
