Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SHPC,320.0,326.4,314.0,"74,206.00",322.0,321.0,"23,897,161.30",10-08-2022
SHPC,320.0,326.4,314.0,"74,206.00",322.0,321.0,"23,897,161.30",10-08-2022
SHPC,320.0,328.4,317.5,"54,310.00",320.0,322.0,"17,503,470.80",11-08-2022
SHPC,320.0,328.4,317.5,"54,310.00",320.0,322.0,"17,503,470.80",12-08-2022
SHPC,320.0,328.4,317.5,"54,310.00",320.0,322.0,"17,503,470.80",13-08-2022
SHPC,320.2,324.0,314.0,"45,662.00",316.0,320.0,"14,464,990.40",14-08-2022
SHPC,315.0,331.0,310.1,"73,042.00",330.0,316.0,"23,653,809.10",15-08-2022
SHPC,333.0,336.5,321.1,"87,057.00",322.0,330.0,"28,585,233.60",16-08-2022
SHPC,320.0,330.0,316.5,"32,837.00",326.0,322.0,"10,693,985.70",17-08-2022
SHPC,320.0,335.0,320.0,"69,895.00",333.9,326.0,"23,109,762.40",18-08-2022
SHPC,320.0,335.0,320.0,"69,895.00",333.9,326.0,"23,109,762.40",19-08-2022
SHPC,320.0,335.0,320.0,"69,895.00",333.9,326.0,"23,109,762.40",20-08-2022
SHPC,340.0,340.0,328.0,"73,272.00",329.9,333.9,"24,476,114.10",21-08-2022
SHPC,327.0,331.0,326.2,"23,935.00",330.0,329.9,"7,851,065.00",22-08-2022
SHPC,329.9,329.9,320.6,"103,317.00",328.9,330.0,"33,522,839.70",23-08-2022
SHPC,329.0,330.0,325.0,"41,183.00",328.9,328.9,"13,510,725.20",24-08-2022
SHPC,323.0,331.5,322.1,"41,815.00",327.9,328.9,"13,645,727.50",25-08-2022
SHPC,321.4,326.0,320.6,"28,916.00",321.0,327.9,"9,310,186.80",26-08-2022
SHPC,321.4,326.0,320.6,"28,916.00",321.0,327.9,"9,310,186.80",27-08-2022
SHPC,316.1,322.0,311.1,"58,877.00",315.0,321.0,"18,560,634.40",28-08-2022
SHPC,310.1,319.0,310.0,"25,738.00",319.0,315.0,"8,110,571.50",29-08-2022
SHPC,319.0,324.0,314.6,"22,356.00",318.0,319.0,"7,100,567.30",30-08-2022
SHPC,318.0,318.0,309.2,"38,813.00",311.8,318.0,"12,081,589.60",31-08-2022
SHPC,316.0,316.0,306.0,"34,979.00",312.9,311.8,"10,845,869.90",01-09-2022
SHPC,307.0,315.0,307.0,"10,341.00",312.9,312.9,"3,217,268.60",02-09-2022
SHPC,307.0,315.0,307.0,"10,341.00",312.9,312.9,"3,217,268.60",03-09-2022
SHPC,317.9,317.9,310.1,"23,123.00",314.5,312.9,"7,236,608.40",04-09-2022
SHPC,312.0,316.0,308.5,"24,522.00",314.0,314.5,"7,671,812.00",05-09-2022
SHPC,320.2,320.2,288.6,"288,363.00",291.0,314.0,"85,587,285.00",06-09-2022
SHPC,288.0,291.0,279.6,"76,584.00",283.9,291.0,"21,589,474.40",07-09-2022
SHPC,281.0,284.0,278.0,"27,623.00",282.9,283.9,"7,750,822.20",08-09-2022
SHPC,281.0,284.0,278.0,"27,623.00",282.9,283.9,"7,750,822.20",09-09-2022
SHPC,281.0,284.0,278.0,"27,623.00",282.9,283.9,"7,750,822.20",10-09-2022
SHPC,284.4,284.4,274.2,"31,341.00",277.0,282.9,"8,696,130.40",11-09-2022
SHPC,274.0,276.9,271.5,"37,127.00",275.0,277.0,"10,112,418.10",12-09-2022
SHPC,276.0,279.7,274.1,"31,247.00",278.0,275.0,"8,649,591.00",13-09-2022
SHPC,276.0,289.5,276.0,"49,888.00",287.3,278.0,"14,164,095.90",14-09-2022
SHPC,291.0,291.0,272.1,"52,032.00",277.9,287.3,"14,432,315.20",15-09-2022
SHPC,272.4,275.0,262.0,"20,127.00",275.0,277.9,"5,422,101.30",16-09-2022
SHPC,272.4,275.0,262.0,"20,127.00",275.0,277.9,"5,422,101.30",17-09-2022
SHPC,269.5,270.0,263.8,"36,179.00",267.9,275.0,"9,634,091.10",18-09-2022
SHPC,269.5,270.0,263.8,"36,179.00",267.9,275.0,"9,634,091.10",19-09-2022
SHPC,268.0,268.0,257.5,"54,384.00",260.4,267.9,"14,099,354.30",20-09-2022
SHPC,262.0,264.7,255.5,"21,622.00",259.8,260.4,"5,601,747.90",21-09-2022
SHPC,260.0,260.0,256.2,"21,989.00",258.4,259.8,"5,659,846.90",22-09-2022
SHPC,260.0,260.0,256.2,"21,989.00",258.4,259.8,"5,659,846.90",23-09-2022
SHPC,260.0,260.0,256.2,"21,989.00",258.4,259.8,"5,659,846.90",24-09-2022
SHPC,256.2,257.0,255.1,"23,304.00",255.1,258.4,"5,960,721.00",25-09-2022
SHPC,256.2,257.0,255.1,"23,304.00",255.1,258.4,"5,960,721.00",26-09-2022
SHPC,255.1,260.9,254.0,"88,390.00",257.0,255.1,"22,619,589.90",27-09-2022
SHPC,260.9,260.9,250.3,"14,886.00",250.3,257.0,"3,759,412.10",28-09-2022
SHPC,251.0,254.5,251.0,"10,670.00",254.5,250.3,"2,694,515.80",29-09-2022
SHPC,251.0,254.5,251.0,"10,670.00",254.5,250.3,"2,694,515.80",30-09-2022
SHPC,251.0,254.5,251.0,"10,670.00",254.5,250.3,"2,694,515.80",01-10-2022
SHPC,251.0,254.5,251.0,"10,670.00",254.5,250.3,"2,694,515.80",02-10-2022
SHPC,251.0,254.5,251.0,"10,670.00",254.5,250.3,"2,694,515.80",03-10-2022
SHPC,251.0,254.5,251.0,"10,670.00",254.5,250.3,"2,694,515.80",04-10-2022
SHPC,251.0,254.5,251.0,"10,670.00",254.5,250.3,"2,694,515.80",05-10-2022
SHPC,251.0,254.5,251.0,"10,670.00",254.5,250.3,"2,694,515.80",06-10-2022
SHPC,251.0,254.5,251.0,"10,670.00",254.5,250.3,"2,694,515.80",07-10-2022
SHPC,251.0,254.5,251.0,"10,670.00",254.5,250.3,"2,694,515.80",08-10-2022
