Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SIFC,342.0,357.5,335.0,"15,106.00",352.0,347.0,"5,252,409.40",10-08-2022
SIFC,342.0,357.5,335.0,"15,106.00",352.0,347.0,"5,252,409.40",10-08-2022
SIFC,356.8,358.0,335.0,"14,963.00",337.0,352.0,"5,181,526.90",11-08-2022
SIFC,356.8,358.0,335.0,"14,963.00",337.0,352.0,"5,181,526.90",12-08-2022
SIFC,356.8,358.0,335.0,"14,963.00",337.0,352.0,"5,181,526.90",13-08-2022
SIFC,343.0,343.0,329.4,"17,281.00",335.0,337.0,"5,779,907.60",14-08-2022
SIFC,341.7,368.5,338.5,"35,861.00",368.5,335.0,"12,743,089.20",15-08-2022
SIFC,375.8,382.0,350.0,"50,616.00",359.0,368.5,"18,530,422.60",16-08-2022
SIFC,352.1,367.9,352.0,"18,929.00",360.0,359.0,"6,813,654.60",17-08-2022
SIFC,367.2,374.1,356.1,"22,726.00",371.0,360.0,"8,358,089.80",18-08-2022
SIFC,367.2,374.1,356.1,"22,726.00",371.0,360.0,"8,358,089.80",19-08-2022
SIFC,367.2,374.1,356.1,"22,726.00",371.0,360.0,"8,358,089.80",20-08-2022
SIFC,378.0,383.0,356.0,"20,594.00",365.0,371.0,"7,604,637.70",21-08-2022
SIFC,357.9,370.0,356.0,"9,490.00",361.0,365.0,"3,450,742.30",22-08-2022
SIFC,362.5,368.0,358.4,"5,422.00",361.5,361.0,"1,957,416.70",23-08-2022
SIFC,361.5,368.0,356.0,"12,436.00",362.0,361.5,"4,496,887.60",24-08-2022
SIFC,368.0,368.0,352.8,"13,586.00",352.9,362.0,"4,848,216.60",25-08-2022
SIFC,346.5,348.0,340.2,"14,943.00",347.0,352.9,"5,138,979.90",26-08-2022
SIFC,346.5,348.0,340.2,"14,943.00",347.0,352.9,"5,138,979.90",27-08-2022
SIFC,341.0,346.9,330.0,"25,825.00",330.1,347.0,"8,720,029.50",28-08-2022
SIFC,323.7,341.0,323.5,"19,335.00",339.0,330.1,"6,511,592.30",29-08-2022
SIFC,344.9,345.0,336.0,"5,216.00",338.9,339.0,"1,771,807.90",30-08-2022
SIFC,333.0,333.0,323.5,"5,898.00",323.5,338.9,"1,928,702.00",31-08-2022
SIFC,327.8,335.5,317.1,"11,330.00",333.8,323.5,"3,690,797.00",01-09-2022
SIFC,335.0,335.1,327.5,"3,811.00",328.0,333.8,"1,260,894.00",02-09-2022
SIFC,335.0,335.1,327.5,"3,811.00",328.0,333.8,"1,260,894.00",03-09-2022
SIFC,334.5,336.6,328.0,"7,542.00",330.0,328.0,"2,499,635.50",04-09-2022
SIFC,336.6,343.2,328.3,"5,553.00",328.3,330.0,"1,840,336.90",05-09-2022
SIFC,329.0,329.0,320.0,"7,909.00",320.0,328.3,"2,552,090.50",06-09-2022
SIFC,318.0,321.0,315.0,"13,817.00",319.8,320.0,"4,388,197.90",07-09-2022
SIFC,326.1,329.0,315.0,"7,580.00",329.0,319.8,"2,446,557.30",08-09-2022
SIFC,326.1,329.0,315.0,"7,580.00",329.0,319.8,"2,446,557.30",09-09-2022
SIFC,326.1,329.0,315.0,"7,580.00",329.0,319.8,"2,446,557.30",10-09-2022
SIFC,329.0,332.6,321.0,"6,069.00",327.0,329.0,"1,976,955.30",11-09-2022
SIFC,322.0,326.4,321.0,"3,802.00",324.0,327.0,"1,225,966.00",12-09-2022
SIFC,327.5,332.9,323.5,"8,087.00",331.9,324.0,"2,659,835.80",13-09-2022
SIFC,325.3,351.0,325.3,"20,095.00",350.0,331.9,"6,879,866.50",14-09-2022
SIFC,343.0,346.3,326.7,"23,410.00",327.0,350.0,"7,845,907.80",15-09-2022
SIFC,320.5,324.0,314.0,"13,013.00",324.0,327.0,"4,123,989.00",16-09-2022
SIFC,320.5,324.0,314.0,"13,013.00",324.0,327.0,"4,123,989.00",17-09-2022
SIFC,319.0,324.0,313.0,"7,779.00",317.0,324.0,"2,461,951.60",18-09-2022
SIFC,319.0,324.0,313.0,"7,779.00",317.0,324.0,"2,461,951.60",19-09-2022
SIFC,311.0,311.0,302.3,"8,680.00",304.0,317.0,"2,649,315.50",20-09-2022
SIFC,309.4,315.0,307.7,"5,491.00",312.9,304.0,"1,702,009.60",21-09-2022
SIFC,312.0,314.6,303.8,"4,028.00",306.0,312.9,"1,235,422.70",22-09-2022
SIFC,312.0,314.6,303.8,"4,028.00",306.0,312.9,"1,235,422.70",23-09-2022
SIFC,312.0,314.6,303.8,"4,028.00",306.0,312.9,"1,235,422.70",24-09-2022
SIFC,300.0,306.0,294.1,"5,990.00",299.9,306.0,"1,791,988.80",25-09-2022
SIFC,300.0,306.0,294.1,"5,990.00",299.9,306.0,"1,791,988.80",26-09-2022
SIFC,300.0,311.0,300.0,"5,145.00",304.0,299.9,"1,565,481.00",27-09-2022
SIFC,301.2,306.0,300.0,"2,365.00",306.0,304.0,"714,090.00",28-09-2022
SIFC,312.0,312.0,297.0,"8,091.00",297.0,306.0,"2,438,536.40",29-09-2022
SIFC,312.0,312.0,297.0,"8,091.00",297.0,306.0,"2,438,536.40",30-09-2022
SIFC,312.0,312.0,297.0,"8,091.00",297.0,306.0,"2,438,536.40",01-10-2022
SIFC,312.0,312.0,297.0,"8,091.00",297.0,306.0,"2,438,536.40",02-10-2022
SIFC,312.0,312.0,297.0,"8,091.00",297.0,306.0,"2,438,536.40",03-10-2022
SIFC,312.0,312.0,297.0,"8,091.00",297.0,306.0,"2,438,536.40",04-10-2022
SIFC,312.0,312.0,297.0,"8,091.00",297.0,306.0,"2,438,536.40",05-10-2022
SIFC,312.0,312.0,297.0,"8,091.00",297.0,306.0,"2,438,536.40",06-10-2022
SIFC,312.0,312.0,297.0,"8,091.00",297.0,306.0,"2,438,536.40",07-10-2022
SIFC,312.0,312.0,297.0,"8,091.00",297.0,306.0,"2,438,536.40",08-10-2022
SIFC,302.9,314.0,297.0,"5,252.00",313.0,297.0,"1,624,346.40",09-10-2022
SIFC,315.0,315.0,299.0,"7,780.00",301.0,313.0,"2,378,979.70",10-10-2022
SIFC,295.2,301.1,295.0,"21,117.00",300.0,301.0,"6,324,584.40",11-10-2022
SIFC,298.0,316.0,294.4,"8,240.00",312.0,300.0,"2,564,170.20",12-10-2022
SIFC,314.6,316.9,309.1,"5,777.00",316.0,312.0,"1,811,254.30",13-10-2022
SIFC,314.6,316.9,309.1,"5,777.00",316.0,312.0,"1,811,254.30",14-10-2022
SIFC,314.6,316.9,309.1,"5,777.00",316.0,312.0,"1,811,254.30",15-10-2022
SIFC,315.9,322.0,306.1,"21,257.00",314.0,316.0,"6,712,357.90",16-10-2022
SIFC,313.0,314.0,303.6,"2,253.00",311.8,314.0,"692,955.90",17-10-2022
SIFC,313.0,314.0,303.6,"2,253.00",311.8,314.0,"692,955.90",18-10-2022
SIFC,318.0,318.0,296.1,"6,744.00",300.0,311.8,"2,020,969.70",19-10-2022
SIFC,296.2,305.0,294.0,"2,230.00",303.0,300.0,"662,036.20",20-10-2022
